"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
2,1,20,"2-1-20","RE1-J","BOX 1",20,"Yes"
2,2,1,"2-2-1","RE1-J","BOX 1",51,"Yes"
2,2,13,"2-2-13","RE1-J","BOX 1",63,"Yes"
2,3,6,"2-3-6","RE1-J","BOV 1",131,"Yes"
2,3,11,"2-3-11","RE1-J","BOV 1",136,"Yes"
2,3,24,"2-3-24","RE1-J","BOV 1",149,"Yes"
2,4,3,"2-4-3","RE1-J","BOX 1",203,"No"
2,4,15,"2-4-15","RE1-J","BOX 1",215,"Yes"
2,4,16,"2-4-16","RE1-J","BOX 1",216,"Yes"
2,4,19,"2-4-19","RE1-J","BOX 1",219,"Yes"
2,4,22,"2-4-22","RE1-J","BOX 1",225,"Yes"
2,5,3,"2-5-3","RE1-J","BOX 1",278,"Yes"
2,5,6,"2-5-6","RE1-J","BOX 1",281,"Yes"
2,5,18,"2-5-18","RE1-J","BOX 1",293,"Yes"
2,6,3,"2-6-3","RE1-J","BOX 1",328,"Yes"
2,7,5,"2-7-5","RE1-J","BOX 1",405,"Yes"
2,7,6,"2-7-6","RE1-J","BOX 1",406,"Yes"
2,7,13,"2-7-13","RE1-J","BOX 1",413,"Yes"
2,7,25,"2-7-25","RE1-J","BOX 1",424,"Yes"
2,8,8,"2-8-8","RE1-J","BOX 1",458,"Yes"
2,8,12,"2-8-12","RE1-J","BOX 1",462,"Yes"
2,8,16,"2-8-16","RE1-J","BOX 1",466,"Yes"
2,9,9,"2-9-9","RE1-J","BOX 1",509,"Yes"
2,10,10,"2-10-10","RE1-J","BOX 1",557,"Yes"
2,12,6,"2-12-6","RE1-J","BOX 1",656,"Yes"
2,12,10,"2-12-10","RE1-J","BOX 1",660,"Yes"
2,13,6,"2-13-6","RE1-J","BOX 1",731,"Yes"
2,14,4,"2-14-4","RE1-J","BOX 1",754,"Yes"
2,14,6,"2-14-6","RE1-J","BOX 1",756,"Yes"
2,14,7,"2-14-7","RE1-J","BOX 1",757,"Yes"
2,14,18,"2-14-18","RE1-J","BOX 1",768,"Yes"
2,14,25,"2-14-25","RE1-J","BOX 1",775,"Yes"
5,1,8,"5-1-8","RE1-J","BOX 2",33,"No"
5,1,9,"5-1-9","RE1-J","BOX 2",34,"Yes"
5,1,20,"5-1-20","RE1-J","BOX 2",45,"Yes"
5,2,15,"5-2-15","RE1-J","BOX 2",90,"No"
5,3,4,"5-3-4","RE1-J","BOX 2",104,"Yes"
5,3,7,"5-3-7","3J","BOX 2",107,"Yes"
5,4,2,"5-4-2","RE1-J","BOX 2",152,"Yes"
5,4,3,"5-4-3","RE1-J","BOX 2",153,"Yes"
5,4,6,"5-4-6","RE1-J","BOX 2",156,"Yes"
5,4,24,"5-4-24","RE1-J","BOX 2",174,"Yes"
5,5,10,"5-5-10","RE1-J","BOX 2",185,"No"
5,6,7,"5-6-7","RE1-J","BOX 2",232,"Yes"
5,6,20,"5-6-20","RE1-J","BOX 2",245,"Yes"
5,6,22,"5-6-22","RE1-J","BOX 2",247,"Yes"
5,6,24,"5-6-24","RE1-J","BOX 2",249,"Yes"
5,7,12,"5-7-12","RE1-J","BOX 2",262,"Yes"
5,8,1,"5-8-1","RE1-J","BOX 2",301,"Yes"
5,8,2,"5-8-2","RE1-J","BOX 2",302,"Yes"
5,8,4,"5-8-4","RE1-J","BOX 2",304,"Yes"
5,8,6,"5-8-6","RE1-J","BOX 2",306,"Yes"
5,9,24,"5-9-24","RE1-J","BOX 2",374,"Yes"
5,10,6,"5-10-6","RE1-J","BOX 2",381,"Yes"
5,10,12,"5-10-12","RE1-J","BOX 2",387,"Yes"
5,11,4,"5-11-4","RE1-J","BOX 2",429,"Yes"
5,11,8,"5-11-8","RE1-J","BOX 2",432,"Yes"
5,11,13,"5-11-13","RE1-J","BOX 2",437,"Yes"
5,11,19,"5-11-19","RE1-J","BOX 2",443,"Yes"
5,11,22,"5-11-22","RE1-J","BOX 2",446,"Yes"
5,12,4,"5-12-4","RE1-J","BOX 2",499,"Yes"
5,12,13,"5-12-13","RE1-J","BOX 2",487,"Yes"
5,14,10,"5-14-10","RE1-J","BOX 2",585,"Yes"
5,14,17,"5-14-17","3J","BOX 2",592,"Yes"
5,15,4,"5-15-4","RE1-J","BOX 2",629,"Yes"
5,15,10,"5-15-10","RE1-J","BOX 2",635,"Yes"
5,16,1,"5-16-1","RE1-J","BOX 2",676,"Yes"
5,16,16,"5-16-16","RE1-J","BOX 2",690,"Yes"
5,16,21,"5-16-21","RE1-J","BOX 2",695,"Yes"
5,16,22,"5-16-22","RE1-J","BOX 2",696,"Yes"
5,16,25,"5-16-25","RE1-J","BOX 2",699,"Yes"
5,17,6,"5-17-6","RE1-J","BOX 2",706,"Yes"
5,17,19,"5-17-19","RE1-J","BOX 2",719,"Yes"
5,17,22,"5-17-22","3J","BOX 2",722,"Yes"
5,18,12,"5-18-12","RE1-J","BOX 2",787,"Yes"
5,18,24,"5-18-24","RE1-J","BOX 2",799,"Yes"
5,19,4,"5-19-4","RE1-J","BOX 2",804,"Yes"
5,19,9,"5-19-9","RE1-J","BOX 2",809,"Yes"
5,20,3,"5-20-3","RE1-J","BOX 2",813,"Yes"
5,20,15,"5-20-15","RE1-J","BOX 2",825,"Yes"
