"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,32,73,"1-32-73","Ballot 4 - Type 4","TC-102",14011,"Yes"
1,39,31,"1-39-31","Ballot 4 - Type 4","TC-092",16634,"Yes"
1,44,45,"1-44-45","Ballot 4 - Type 4","TC-073",18639,"Yes"
1,54,61,"1-54-61","Ballot 4 - Type 4","TC-103",22651,"Yes"
1,79,73,"1-79-73","Ballot 4 - Type 4","TC-095",31549,"Yes"
1,99,46,"1-99-46","Ballot 5 - Type 5","TC-136",39808,"Yes"
1,188,13,"1-188-13","Ballot 3 - Type 3","TC-287",107434,"Yes"
1,197,30,"1-197-30","Ballot 4 - Type 4","TC-291",110653,"Yes"
1,199,52,"1-199-52","Ballot 1 - Type 1","TC-291",111056,"Yes"
1,237,100,"1-237-100","Ballot 4 - Type 4","TC-310",124446,"Yes"
1,241,8,"1-241-8","Ballot 3 - Type 3","TC-322",126240,"Yes"
1,258,18,"1-258-18","Ballot 4 - Type 4","TC-328",130939,"Yes"
1,382,81,"1-382-81","Ballot 4 - Type 4","TC-415",171884,"Yes"
1,386,6,"1-386-6","Ballot 5 - Type 5","TC-421",173180,"Yes"
1,412,59,"1-412-59","Ballot 1 - Type 1","TC-445",185714,"Yes"
1,415,4,"1-415-4","Ballot 4 - Type 4","TC-448",186602,"Yes"
1,446,60,"1-446-60","Ballot 3 - Type 3","TC-460",196998,"Yes"
2,3,48,"2-3-48","Ballot 4 - Type 4","tc-058",11127,"Yes"
2,8,66,"2-8-66","Ballot 3 - Type 3","TC-074",17105,"Yes"
2,46,11,"2-46-11","Ballot 1 - Type 1","TC-140",38095,"Yes"
2,63,35,"2-63-35","Ballot 5 - Type 5","TC-145",47038,"Yes"
2,70,31,"2-70-31","Ballot 4 - Type 4","TC-145",47526,"Yes"
2,78,37,"2-78-37","Ballot 4 - Type 4","TC-174",48189,"Yes"
2,115,65,"2-115-65","Ballot 3 - Type 3","tc-182",67748,"Yes"
2,133,76,"2-133-76","Ballot 5 - Type 5","TC-204",73309,"Yes"
2,183,20,"2-183-20","Ballot 4 - Type 4","TC-306",119843,"Yes"
2,186,21,"2-186-21","Ballot 4 - Type 4","TC-306",120799,"Yes"
2,254,57,"2-254-57","Ballot 5 - Type 5","TC-382",151428,"Yes"
2,263,8,"2-263-8","Ballot 4 - Type 4","TC-384",155151,"Yes"
2,281,88,"2-281-88","Ballot 4 - Type 4","TC-396",162524,"Yes"
2,322,8,"2-322-8","Ballot 4 - Type 4","TC-428",181006,"Yes"
2,328,4,"2-328-4","Ballot 4 - Type 4","TC-440",184345,"Yes"
2,330,55,"2-330-55","Ballot 5 - Type 5","TC-450",187532,"Yes"
2,370,14,"2-370-14","Ballot 4 - Type 4","TC-480",206347,"Yes"
2,451,78,"2-451-78","Ballot 5 - Type 5","TC-539",250670,"Yes"
3,8,64,"3-8-64","Ballot 3 - Type 3","TC-060",3103,"Yes"
3,11,26,"3-11-26","Ballot 4 - Type 4","TC-060",4232,"Yes"
3,42,105,"3-42-105","Ballot 1 - Type 1","TC-139",37982,"Yes"
3,93,11,"3-93-11","Ballot 4 - Type 4","tc-179",61343,"Yes"
3,120,24,"3-120-24","Ballot 3 - Type 3","TC-214",70572,"Yes"
3,145,56,"3-145-56","Ballot 4 - Type 4","TC-219",77781,"Yes"
3,169,11,"3-169-11","Ballot 1 - Type 1","TC-235",85928,"Yes"
3,195,72,"3-195-72","Ballot 5 - Type 5","TC-245",97127,"Yes"
3,203,25,"3-203-25","Ballot 1 - Type 1","tc-272",98966,"Yes"
3,221,6,"3-221-6","Ballot 4 - Type 4","tc-278",103630,"Yes"
3,221,81,"3-221-81","Ballot 3 - Type 3","tc-278",103704,"Yes"
3,259,25,"3-259-25","Ballot 4 - Type 4","TC-304",118996,"Yes"
3,298,39,"3-298-39","Ballot 4 - Type 4","TC-336",132571,"Yes"
3,303,58,"3-303-58","Ballot 3 - Type 3","TC-335",133713,"Yes"
3,323,85,"3-323-85","Ballot 5 - Type 5","TC-349",140731,"Yes"
3,351,36,"3-351-36","Ballot 4 - Type 4","TC-366",152013,"Yes"
3,368,42,"3-368-42","Ballot 1 - Type 1","TC-395",159435,"Yes"
3,381,2,"3-381-2","Ballot 1 - Type 1","TC-402",163236,"Yes"
3,400,23,"3-400-23","Ballot 4 - Type 4","TC-411",170419,"Yes"
3,406,46,"3-406-46","Ballot 5 - Type 5","TC-422",172439,"Yes"
3,418,80,"3-418-80","Ballot 5 - Type 5","TC-434",177161,"Yes"
4,62,61,"4-62-61","Ballot 4 - Type 4","tc-196",58444,"Yes"
4,63,59,"4-63-59","Ballot 4 - Type 4","tc-196",58776,"Yes"
4,92,6,"4-92-6","Ballot 3 - Type 3","TC-210",71741,"Yes"
4,97,19,"4-97-19","Ballot 4 - Type 4","TC-210",73104,"Yes"
4,121,14,"4-121-14","Ballot 4 - Type 4","TC-237",91512,"Yes"
4,212,34,"4-212-34","Ballot 3 - Type 3","TC-610",260384,"Yes"
4,217,83,"4-217-83","Ballot 5 - Type 5","TC-619",261873,"Yes"
5,8,12,"5-8-12","Ballot 1 - Type 1","TC-049",3571,"Yes"
5,74,90,"5-74-90","Ballot 3 - Type 3","TC-129",39310,"Yes"
5,90,84,"5-90-84","Ballot 3 - Type 3","TC-167",46001,"Yes"
5,98,23,"5-98-23","Ballot 1 - Type 1","TC-277",141739,"Yes"
5,107,13,"5-107-13","Ballot 4 - Type 4","TC-283",108570,"Yes"
5,108,54,"5-108-54","Ballot 4 - Type 4","TC-283",108776,"Yes"
5,152,60,"5-152-60","Ballot 4 - Type 4","TC-437",179708,"Yes"
5,227,22,"5-227-22","Ballot 4 - Type 4","TC-563",240030,"Yes"
6,94,48,"6-94-48","Ballot 5 - Type 5","tc-195",57814,"Yes"
6,116,46,"6-116-46","Ballot 4 - Type 4","TC-211",69859,"Yes"
6,144,65,"6-144-65","Ballot 4 - Type 4","tc-216",81339,"Yes"
6,204,62,"6-204-62","Ballot 4 - Type 4","TC-274",108345,"Yes"
6,249,69,"6-249-69","Ballot 4 - Type 4","TC-324",128954,"Yes"
6,268,66,"6-268-66","Ballot 3 - Type 3","TC-340",139739,"Yes"
6,297,45,"6-297-45","Ballot 4 - Type 4","TC-386",151597,"Yes"
6,310,19,"6-310-19","Ballot 4 - Type 4","TC-392",159145,"Yes"
6,335,53,"6-335-53","Ballot 3 - Type 3","TC-416",173673,"Yes"
6,379,46,"6-379-46","Ballot 5 - Type 5","TC-459",195224,"Yes"
6,428,56,"6-428-56","Ballot 3 - Type 3","TC-507",222142,"Yes"
6,442,19,"6-442-19","Ballot 4 - Type 4","TC-549",230123,"Yes"
6,470,41,"6-470-41","Ballot 4 - Type 4","TC-583",245136,"Yes"
6,491,2,"6-491-2","Ballot 4 - Type 4","TC-607",259017,"Yes"
6,495,33,"6-495-33","Ballot 1 - Type 1","tc-617",262072,"Yes"
7,77,37,"7-77-37","Ballot 5 - Type 5","TC-133",38303,"Yes"
7,91,51,"7-91-51","Ballot 4 - Type 4","TC-118",43456,"Yes"
7,111,20,"7-111-20","Ballot 3 - Type 3","TC-150",54567,"Yes"
7,129,59,"7-129-59","Ballot 4 - Type 4","tc-176",63298,"Yes"
7,143,66,"7-143-66","Ballot 5 - Type 5","tc-226",80927,"Yes"
7,214,92,"7-214-92","Ballot 5 - Type 5","TC-494",207544,"Yes"
7,217,78,"7-217-78","Ballot 3 - Type 3","TC-494",208097,"Yes"
7,255,25,"7-255-25","Ballot 1 - Type 1","TC-518",226891,"Yes"
7,287,9,"7-287-9","Ballot 3 - Type 3","TC-609",260612,"Yes"
8,4,42,"8-4-42","Ballot 1 - Type 1","tc-097",15524,"Yes"
8,47,30,"8-47-30","Ballot 4 - Type 4","TC-431",181895,"Yes"
8,57,3,"8-57-3","Ballot 1 - Type 1","TC-467",199399,"Yes"
8,109,87,"8-109-87","Ballot 5 - Type 5","TC-515",225058,"Yes"
8,113,25,"8-113-25","Ballot 5 - Type 5","TC-550",228031,"Yes"
8,145,59,"8-145-59","Ballot 1 - Type 1","TC-538",240149,"Yes"
8,201,17,"8-201-17","Ballot 4 - Type 4","TC-628",264855,"Yes"
9,38,73,"9-38-73","Ballot 4 - Type 4","tc-252",84823,"Yes"
9,54,79,"9-54-79","Ballot 1 - Type 1","tc-253",90826,"Yes"
9,70,45,"9-70-45","Ballot 4 - Type 4","TC-339",139197,"Yes"
9,85,40,"9-85-40","Ballot 4 - Type 4","TC-469",202353,"Yes"
9,109,97,"9-109-97","Ballot 3 - Type 3","TC-475",215961,"Yes"
9,111,67,"9-111-67","Ballot 3 - Type 3","TC-509",217606,"Yes"
9,124,50,"9-124-50","Ballot 3 - Type 3","TC-513",222880,"Yes"
9,130,4,"9-130-4","Ballot 4 - Type 4","TC-517",226225,"Yes"
9,134,13,"9-134-13","Ballot 3 - Type 3","TC-517",226555,"Yes"
9,179,74,"9-179-74","Ballot 4 - Type 4","TC-576",242178,"Yes"
9,186,1,"9-186-1","Ballot 4 - Type 4","TC-567",243910,"Yes"
9,205,53,"9-205-53","Ballot 3 - Type 3","TC-593",251744,"Yes"
