"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
4,1,5,"4-1-5","CBFPDOUT","box2",1733,"Yes"
4,2,14,"4-2-14","CBFPDOUT","box2",1767,"Yes"
8,3,2,"8-3-2","CBFPDOUT",,52,"Yes"
8,5,3,"8-5-3","CARFPD",,102,"Yes"
8,6,9,"8-6-9","CBFPDOUT",,133,"Yes"
8,9,3,"8-9-3","CBFPDOUT",,202,"Yes"
8,10,9,"8-10-9","CBFPDOUT",,233,"Yes"
8,21,11,"8-21-11","TOWNCB",,489,"Yes"
8,36,4,"8-36-4","TOWNCB",,818,"Yes"
8,37,12,"8-37-12","CBFPDOUT",,848,"Yes"
8,38,21,"8-38-21","CBFPDOUT",,883,"Yes"
8,38,22,"8-38-22","TOWNCB",,884,"Yes"
8,44,8,"8-44-8","CBFPDOUT",,1020,"Yes"
8,49,13,"8-49-13","TOWNCB",,1141,"Yes"
8,56,16,"8-56-16","TOWNCB",,1320,"Yes"
8,68,4,"8-68-4","CBFPDOUT",,1575,"Yes"
