"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
3,1,9,"3-1-9","WW2",,8,"Yes"
3,6,12,"3-6-12","WW2",,137,"Yes"
3,9,4,"3-9-4","WW1",,204,"Yes"
3,9,5,"3-9-5","HC",,205,"Yes"
3,10,18,"3-10-18","HC",,243,"Yes"
3,11,1,"3-11-1","WW2",,251,"Yes"
3,11,8,"3-11-8","HSD",,257,"Yes"
3,16,11,"3-16-11","HSD",,386,"Yes"
3,19,21,"3-19-21","HSD",,471,"Yes"
3,24,2,"3-24-2","HC",,577,"Yes"
3,25,6,"3-25-6","WW2",,606,"Yes"
3,27,13,"3-27-13","HC",,663,"Yes"
3,28,19,"3-28-19","HSD",,694,"Yes"
3,29,18,"3-29-18","HSD",,718,"Yes"
3,30,16,"3-30-16","WW1",,741,"Yes"
3,31,6,"3-31-6","HSD",,756,"Yes"
3,31,8,"3-31-8","WW2",,758,"Yes"
3,39,4,"3-39-4","HSD",,954,"Yes"
3,40,15,"3-40-15","HSD",,989,"Yes"
3,41,10,"3-41-10","HSD",,1010,"Yes"
3,43,23,"3-43-23","WW1",,1073,"Yes"
3,49,8,"3-49-8","HSD",,1208,"Yes"
3,50,14,"3-50-14","HSD",,1237,"Yes"
3,52,25,"3-52-25","WW1",,1298,"Yes"
3,56,17,"3-56-17","HC",,1391,"Yes"
3,56,22,"3-56-22","HC",,1396,"Yes"
3,57,15,"3-57-15","HC",,1412,"Yes"
3,57,19,"3-57-19","HC",,1416,"Yes"
3,58,19,"3-58-19","HSD",,1442,"Yes"
3,61,11,"3-61-11","HC",,1509,"Yes"
3,63,9,"3-63-9","HC",,1557,"Yes"
3,64,23,"3-64-23","HSD",,1595,"Yes"
3,67,9,"3-67-9","WW3",,1657,"Yes"
3,71,10,"3-71-10","HSD",,1758,"Yes"
3,74,5,"3-74-5","HSD",,1828,"Yes"
3,75,15,"3-75-15","HSD",,1863,"Yes"
3,75,24,"3-75-24","HSD",,1872,"Yes"
3,77,19,"3-77-19","HC",,1917,"Yes"
3,77,22,"3-77-22","WW1",,1920,"Yes"
3,81,25,"3-81-25","WW1",,2023,"Yes"
3,82,23,"3-82-23","WW3",,2046,"Yes"
3,83,2,"3-83-2","WW2",,2050,"Yes"
3,85,12,"3-85-12","HSD",,2110,"Yes"
3,92,8,"3-92-8","WW2",,2281,"Yes"
3,92,13,"3-92-13","HSD",,2286,"Yes"
3,92,16,"3-92-16","HC",,2289,"Yes"
