"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
4,18,32,"4-18-32","3","Container #1",882,"Yes"
4,27,34,"4-27-34","4","Container #2",1332,"Yes"
4,36,50,"4-36-50","3","Container #2",1800,"Yes"
4,51,12,"4-51-12","3","Container #3",2512,"Yes"
4,57,32,"4-57-32","3","Container #3",2832,"Yes"
4,58,23,"4-58-23","2","Container #3",2873,"Yes"
4,69,19,"4-69-19","3","Container #4",3419,"Yes"
4,73,39,"4-73-39","3","Container #4",3638,"Yes"
4,77,10,"4-77-10","2","Container #4",3809,"Yes"
4,82,34,"4-82-34","4","Container #5",4084,"Yes"
4,83,3,"4-83-3","4","Container #5",4103,"Yes"
4,83,35,"4-83-35","4","Container #5",4134,"Yes"
4,99,23,"4-99-23","3","Container #5",4923,"Yes"
4,109,5,"4-109-5","2","Container #6",5405,"Yes"
4,127,2,"4-127-2","3","Container #7",6302,"Yes"
4,128,2,"4-128-2","3","Container #7",6352,"Yes"
4,151,16,"4-151-16","3","Container #8",7516,"Yes"
4,154,43,"4-154-43","3","Container #8",7692,"Yes"
4,157,11,"4-157-11","3","Container #8",7811,"Yes"
4,158,14,"4-158-14","3","Container #8",7864,"Yes"
4,161,41,"4-161-41","3","Container #9",8040,"Yes"
4,168,20,"4-168-20","2","Container #9",8370,"Yes"
4,170,19,"4-170-19","2","Container #9",8469,"Yes"
4,172,20,"4-172-20","3","Container #9",8570,"Yes"
4,194,30,"4-194-30","3","Container #10",9680,"Yes"
4,194,37,"4-194-37","2","Container #10",9687,"Yes"
4,205,33,"4-205-33","4","Container #11",10231,"Yes"
4,205,46,"4-205-46","3","Container #11",10244,"Yes"
