"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
200,5,10,"200-5-10","RE1",,108,"Yes"
200,6,20,"200-6-20","RE1",,141,"Yes"
200,11,23,"200-11-23","RE1DD",,223,"Yes"
200,15,4,"200-15-4","RE4A",,252,"Yes"
200,17,2,"200-17-2","RE1",,293,"Yes"
200,19,10,"200-19-10","RE6",,345,"Yes"
200,22,9,"200-22-9","RE1",,412,"Yes"
200,26,7,"200-26-7","RE1",,502,"Yes"
200,36,5,"200-36-5","RE6",,745,"Yes"
200,38,1,"200-38-1","RE1",,790,"Yes"
200,40,13,"200-40-13","RE4A",,849,"Yes"
200,46,3,"200-46-3","RE1",,968,"Yes"
200,46,6,"200-46-6","RE4A",,971,"Yes"
200,46,10,"200-46-10","RE6",,975,"Yes"
200,47,5,"200-47-5","RE4A",,994,"Yes"
200,60,17,"200-60-17","RE1",,1289,"Yes"
200,61,2,"200-61-2","RE1",,1299,"Yes"
200,64,2,"200-64-2","RE4A",,1372,"Yes"
200,76,18,"200-76-18","RE6",,1645,"Yes"
200,81,23,"200-81-23","RE1",,1771,"Yes"
200,82,8,"200-82-8","RE1",,1781,"Yes"
200,87,22,"200-87-22","RE1",,1919,"Yes"
200,93,6,"200-93-6","RE1",,2048,"Yes"
200,117,24,"200-117-24","RE4A",,2311,"Yes"
200,119,10,"200-119-10","RE1",,2345,"Yes"
200,120,10,"200-120-10","RE4A",,2370,"Yes"
200,122,6,"200-122-6","RE1",,2416,"Yes"
200,126,4,"200-126-4","RE6",,2486,"Yes"
200,127,22,"200-127-22","RE1",,2526,"Yes"
200,144,1,"200-144-1","RE6",,2897,"Yes"
200,145,1,"200-145-1","RE1",,2921,"Yes"
200,146,4,"200-146-4","RE1",,2948,"Yes"
200,152,23,"200-152-23","RE1",,3115,"Yes"
200,159,11,"200-159-11","RE1",,3232,"Yes"
200,159,17,"200-159-17","RE1",,3238,"Yes"
200,163,22,"200-163-22","RE1",,3343,"Yes"
200,163,23,"200-163-23","RE6",,3344,"Yes"
200,164,11,"200-164-11","RE6",,3357,"Yes"
200,165,10,"200-165-10","RE6",,3381,"Yes"
200,167,1,"200-167-1","RE1",,3422,"Yes"
200,169,2,"200-169-2","RE6",,3471,"No"
200,170,4,"200-170-4","RE1",,3498,"Yes"
200,170,23,"200-170-23","RE4A",,3515,"Yes"
200,171,2,"200-171-2","RE1",,3520,"Yes"
200,194,1,"200-194-1","RE1",,3659,"Yes"
200,205,16,"200-205-16","RE4A",,3777,"Yes"
200,211,15,"200-211-15","RE1",,3915,"Yes"
200,218,14,"200-218-14","RE6",,4053,"Yes"
200,218,21,"200-218-21","RE1DD",,4060,"Yes"
200,223,1,"200-223-1","RE1",,4149,"Yes"
200,228,3,"200-228-3","RE1",,4267,"Yes"
200,239,7,"200-239-7","RE1",,4540,"Yes"
200,261,11,"200-261-11","RE1",,4594,"Yes"
200,261,22,"200-261-22","RE1",,4605,"Yes"
200,266,18,"200-266-18","RE1DD",,4718,"Yes"
200,266,23,"200-266-23","RE1",,4723,"Yes"
200,267,13,"200-267-13","RE6",,4736,"Yes"
200,283,1,"200-283-1","RE4A",,4867,"Yes"
200,304,13,"200-304-13","RE6",,4906,"Yes"
200,309,11,"200-309-11","RE1",,5015,"Yes"
200,314,4,"200-314-4","RE1",,5127,"Yes"
200,314,6,"200-314-6","RE4A",,5129,"Yes"
200,314,9,"200-314-9","RE1",,5132,"Yes"
200,315,19,"200-315-19","RE1",,5164,"Yes"
200,320,20,"200-320-20","RE1",,5280,"Yes"
200,323,10,"200-323-10","RE6",,5339,"Yes"
200,327,21,"200-327-21","RE6",,5441,"Yes"
200,335,6,"200-335-6","RE6",,5591,"Yes"
200,338,14,"200-338-14","RE1",,5667,"Yes"
200,339,7,"200-339-7","RE4A",,5685,"Yes"
200,339,21,"200-339-21","RE1",,5701,"Yes"
200,341,2,"200-341-2","RE1",,5728,"Yes"
200,344,12,"200-344-12","RE4A",,5811,"Yes"
200,345,19,"200-345-19","RE1",,5843,"Yes"
200,353,1,"200-353-1","RE1",,6018,"Yes"
200,354,19,"200-354-19","RE1",,6059,"Yes"
200,358,18,"200-358-18","RE4A",,6132,"Yes"
200,360,17,"200-360-17","RE1",,6175,"Yes"
200,410,1,"200-410-1","RE1",,6345,"Yes"
200,412,1,"200-412-1","RE1",,6347,"Yes"
200,432,8,"200-432-8","RE1",,6462,"Yes"
