"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,2,25,"1-2-25","RE-3","Box 1",50,"Yes"
1,5,7,"1-5-7","RE-2 OUT","Box 1",107,"Yes"
1,6,25,"1-6-25","WARD 2","Box 1",150,"No"
1,9,13,"1-9-13","WARD 2","Box 1",213,"Yes"
1,11,5,"1-11-5","RE-3","Box 1",255,"Yes"
1,12,17,"1-12-17","RE-2 OUT","Box 1",292,"Yes"
1,13,3,"1-13-3","RE-3","Box 1",303,"Yes"
1,18,16,"1-18-16","WARD 3","Box 1",441,"Yes"
1,20,17,"1-20-17","RE-3","Box 1",492,"Yes"
1,20,25,"1-20-25","RE-3","Box 1",500,"Yes"
1,21,11,"1-21-11","RE-3","Box 1",511,"Yes"
1,22,5,"1-22-5","RE-13JT","Box 1",530,"Yes"
1,23,1,"1-23-1","RE-13JT","Box 1",551,"Yes"
1,25,1,"1-25-1","WARD 3","Box 1",601,"Yes"
1,28,14,"1-28-14","WARD 3","Box 1",689,"Yes"
1,29,12,"1-29-12","RE-13JT","Box 1",712,"Yes"
1,30,8,"1-30-8","WARD 2","Box 1",733,"Yes"
1,33,16,"1-33-16","WARD 3","Box 1",816,"Yes"
1,35,16,"1-35-16","RE-13JT","Box 1",866,"Yes"
1,35,24,"1-35-24","WARD 3","Box 1",874,"Yes"
1,38,14,"1-38-14","WARD 1","Box 2",939,"Yes"
1,41,18,"1-41-18","WARD 1","Box 2",1018,"Yes"
1,42,17,"1-42-17","WARD 2","Box 2",1042,"Yes"
1,43,25,"1-43-25","WARD 2","Box 2",1075,"Yes"
1,46,1,"1-46-1","RE-2 OUT","Box 2",1126,"Yes"
1,46,11,"1-46-11","RE-13JT","Box 2",1136,"Yes"
1,48,21,"1-48-21","RE-2 OUT","Box 2",1196,"Yes"
1,48,24,"1-48-24","RE-3","Box 2",1199,"No"
1,49,19,"1-49-19","WARD 1","Box 2",1219,"Yes"
1,51,1,"1-51-1","WARD 3","Box 2",1251,"Yes"
1,54,5,"1-54-5","WARD 3","Box 2",1330,"Yes"
1,54,9,"1-54-9","RE-3","Box 2",1334,"Yes"
1,54,11,"1-54-11","WARD 2","Box 2",1336,"Yes"
1,56,8,"1-56-8","WARD 1","Box 2",1383,"Yes"
1,57,21,"1-57-21","WARD 2","Box 2",1420,"Yes"
1,58,20,"1-58-20","WARD 3","Box 2",1445,"Yes"
1,59,6,"1-59-6","WARD 1","Box 2",1456,"Yes"
1,59,9,"1-59-9","RE-3","Box 2",1459,"Yes"
1,61,13,"1-61-13","WARD 3","Box 2",1513,"Yes"
1,62,5,"1-62-5","RE-3","Box 2",1530,"Yes"
1,63,2,"1-63-2","RE-2 OUT","Box 2",1552,"Yes"
1,64,14,"1-64-14","RE-13JT","Box 2",1589,"Yes"
1,66,9,"1-66-9","WARD 3","Box 2",1634,"Yes"
1,66,17,"1-66-17","WARD 3","Box 2",1642,"Yes"
1,71,6,"1-71-6","RE-13JT","Box 2",1756,"Yes"
1,72,4,"1-72-4","WARD 2","Box 2",1779,"Yes"
1,72,6,"1-72-6","RE-13JT","Box 2",1781,"Yes"
1,74,11,"1-74-11","RE-13JT","Box 3",1836,"Yes"
1,76,10,"1-76-10","WARD 3","Box 3",1860,"Yes"
1,79,15,"1-79-15","WARD 3","Box 3",1940,"Yes"
1,83,3,"1-83-3","RE-2 OUT","Box 3",2028,"Yes"
1,84,4,"1-84-4","RE-13JT","Box 3",2054,"Yes"
1,84,25,"1-84-25","RE-2 OUT","Box 3",2074,"Yes"
1,85,1,"1-85-1","WARD 1","Box 3",2076,"No"
1,86,10,"1-86-10","WARD 1","Box 3",2110,"Yes"
1,87,5,"1-87-5","WARD 2","Box 3",2130,"Yes"
1,87,24,"1-87-24","WARD 1","Box 3",2149,"Yes"
1,88,20,"1-88-20","RE-2 OUT","Box 3",2170,"Yes"
1,89,25,"1-89-25","WARD 1","Box 3",2199,"Yes"
1,90,11,"1-90-11","RE-3","Box 3",2211,"Yes"
1,90,16,"1-90-16","WARD 3","Box 3",2216,"Yes"
1,91,10,"1-91-10","WARD 3","Box 3",2234,"Yes"
1,91,23,"1-91-23","WARD 3","Box 3",2247,"Yes"
1,92,22,"1-92-22","WARD 1","Box 3",2272,"Yes"
1,93,12,"1-93-12","RE-13JT","Box 3",2287,"Yes"
1,96,7,"1-96-7","WARD 2","Box 3",2357,"Yes"
1,98,4,"1-98-4","WARD 1","Box 3",2404,"Yes"
1,98,11,"1-98-11","WARD 1","Box 3",2411,"Yes"
1,99,2,"1-99-2","WARD 1","Box 3",2427,"Yes"
1,101,9,"1-101-9","WARD 3","Box 3",2484,"Yes"
1,102,5,"1-102-5","RE-13JT","Box 3",2505,"Yes"
1,102,19,"1-102-19","RE-13JT","Box 3",2519,"Yes"
1,103,19,"1-103-19","WARD 2","Box 3",2544,"Yes"
1,104,10,"1-104-10","WARD 3","Box 3",2560,"No"
1,104,17,"1-104-17","WARD 2","Box 3",2567,"Yes"
1,104,19,"1-104-19","RE-2 OUT","Box 3",2569,"Yes"
1,107,8,"1-107-8","WARD 1","Box 3",2633,"Yes"
1,107,15,"1-107-15","WARD 2","Box 3",2640,"Yes"
1,108,9,"1-108-9","RE-2 OUT","Box 3",2659,"Yes"
