"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
2,1,6,"2-1-6","CITY-OF-MV",,6,"Yes"
2,3,3,"2-3-3","CITY-OF-MV",,53,"Yes"
2,3,7,"2-3-7","DN-SCHOOL",,56,"Yes"
2,7,4,"2-7-4","DN-SCHOOL",,154,"Yes"
2,10,21,"2-10-21","CITY-OF-MV",,246,"Yes"
2,14,4,"2-14-4","CITY-OF-MV",,329,"Yes"
2,14,17,"2-14-17","DN-SCHOOL",,340,"Yes"
2,14,21,"2-14-21","CITY-OF-MV",,350,"Yes"
2,15,18,"2-15-18","DN-SCHOOL",,368,"Yes"
2,17,12,"2-17-12","DN-SCHOOL",,412,"Yes"
2,17,15,"2-17-15","DN-SCHOOL",,415,"Yes"
2,18,10,"2-18-10","SARGENT",,435,"Yes"
2,23,3,"2-23-3","CITY-OF-MV",,553,"Yes"
2,25,17,"2-25-17","SARGENT",,617,"Yes"
2,27,6,"2-27-6","SARGENT",,656,"Yes"
2,33,5,"2-33-5","DN-SCHOOL",,805,"Yes"
2,37,16,"2-37-16","DN-SCHOOL",,915,"Yes"
2,39,13,"2-39-13","CITY-OF-MV",,963,"Yes"
2,40,21,"2-40-21","CITY-OF-MV",,996,"Yes"
2,42,2,"2-42-2","CITY-OF-MV",,1027,"Yes"
2,47,7,"2-47-7","DN-SCHOOL",,1156,"No"
2,47,16,"2-47-16","DN-SCHOOL",,1164,"Yes"
2,53,2,"2-53-2","DN-SCHOOL",,1302,"Yes"
2,57,4,"2-57-4","DN-SCHOOL",,1404,"Yes"
2,57,22,"2-57-22","DN-SCHOOL",,1422,"Yes"
2,61,3,"2-61-3","DN-SCHOOL",,1503,"Yes"
2,61,12,"2-61-12","CITY-OF-MV",,1512,"Yes"
2,62,23,"2-62-23","DN-SCHOOL",,1547,"Yes"
2,64,9,"2-64-9","CITY-OF-MV",,1583,"Yes"
2,64,21,"2-64-21","SARGENT",,1595,"Yes"
2,66,6,"2-66-6","DN-SCHOOL",,1631,"Yes"
2,67,15,"2-67-15","DN-SCHOOL",,1665,"Yes"
2,69,14,"2-69-14","DN-SCHOOL",,1714,"Yes"
2,70,12,"2-70-12","DN-SCHOOL",,1737,"Yes"
2,70,16,"2-70-16","CITY-OF-MV",,1741,"Yes"
2,76,1,"2-76-1","DN-SCHOOL",,1876,"Yes"
2,77,3,"2-77-3","CITY-OF-MV",,1903,"Yes"
2,77,13,"2-77-13","DN-SCHOOL",,1913,"Yes"
2,78,17,"2-78-17","DN-SCHOOL",,1942,"Yes"
2,80,7,"2-80-7","DN-SCHOOL",,1982,"Yes"
2,82,2,"2-82-2","DN-SCHOOL",,2027,"Yes"
2,84,19,"2-84-19","DN-SCHOOL",,2093,"Yes"
2,87,17,"2-87-17","CENTER",,2166,"Yes"
2,88,13,"2-88-13","DN-SCHOOL",,2188,"Yes"
2,89,2,"2-89-2","DN-SCHOOL",,2202,"Yes"
2,92,15,"2-92-15","CITY-OF-MV",,2290,"Yes"
2,98,5,"2-98-5","DN-SCHOOL",,2430,"Yes"
2,110,22,"2-110-22","DN-SCHOOL",,2722,"Yes"
2,111,3,"2-111-3","DN-SCHOOL",,2728,"Yes"
2,114,9,"2-114-9","CITY-OF-MV",,2808,"Yes"
