County,Device ID,Batch,# of Ballots,Location
Adams,1,1,208,Blue-1
Adams,1,2,271,Blue-1
Adams,1,3,218,Blue-2
Adams,1,4,253,Blue-2
Adams,1,5,295,Blue-3
Adams,1,6,302,Blue-3
Adams,1,7,330,Blue-4
Adams,1,8,269,Blue-4
Adams,1,9,267,Blue-5
Adams,1,10,318,Blue-5
Adams,1,11,328,Blue-6
Adams,1,12,271,Blue-6
Adams,1,13,300,Blue-7
Adams,1,14,298,Blue-7
Adams,1,15,305,Blue-8
Adams,1,16,295,Blue-8
Adams,1,17,444,Blue-9
Adams,1,18,53,Blue-9
Adams,1,19,240,Blue-10
Adams,1,20,359,Blue-10
Adams,1,21,270,Blue-11
Adams,1,22,326,Blue-11
Adams,1,23,296,Blue-12
Adams,1,24,302,Blue-12
Adams,1,25,289,Blue-13
Adams,1,26,309,Blue-13
Adams,1,27,311,Blue-14
Adams,1,28,287,Blue-14
Adams,1,29,279,Blue-15
Adams,1,30,320,Blue-15
Adams,1,31,292,Blue-16
Adams,1,32,308,Blue-16
Adams,1,33,302,Blue-17
Adams,1,34,297,Blue-17
Adams,1,35,290,Blue-18
Adams,1,36,200,Blue-18
Adams,1,37,282,Blue-19
Adams,1,38,317,Blue-19
Adams,1,39,365,Blue-20
Adams,1,40,234,Blue-20
Adams,1,41,306,Blue-21
Adams,1,42,293,Blue-21
Adams,1,43,277,Blue-22
Adams,1,44,322,Blue-22
Adams,1,45,331,Blue-23
Adams,1,46,268,Blue-23
Adams,1,47,331,Blue-24
Adams,1,48,268,Blue-24
Adams,1,49,346,Blue-25
Adams,1,50,269,Blue-25
Adams,1,51,332,Blue-26
Adams,1,52,267,Blue-26
Adams,1,53,295,Blue-27
Adams,1,54,305,Blue-27
Adams,1,55,334,Blue-28
Adams,1,56,266,Blue-28
Adams,1,57,274,Blue-29
Adams,1,58,302,Blue-29
Adams,1,59,289,Blue-30
Adams,1,60,310,Blue-30
Adams,1,61,268,Blue-31
Adams,1,62,331,Blue-31
Adams,1,63,297,Blue-32
Adams,1,64,302,Blue-32
Adams,1,65,338,Blue-33
Adams,1,66,261,Blue-33
Adams,1,67,327,Blue-34
Adams,1,68,268,Blue-34
Adams,1,69,305,Blue-35
Adams,1,70,305,Blue-35
Adams,1,71,292,Blue-36
Adams,1,72,199,Blue-36
Adams,1,73,341,Blue-37
Adams,1,74,259,Blue-37
Adams,1,75,308,Blue-38
Adams,1,76,291,Blue-38
Adams,1,77,284,Blue-39
Adams,1,78,315,Blue-39
Adams,1,79,287,Blue-40
Adams,1,80,311,Blue-40
Adams,1,81,314,Blue-41
Adams,1,82,286,Blue-41
Adams,1,83,329,Blue-42
Adams,1,84,255,Blue-42
Adams,1,85,341,Blue-43
Adams,1,86,259,Blue-43
Adams,1,87,200,Blue-44
Adams,1,88,261,Blue-44
Adams,1,89,358,Blue-45
Adams,1,90,241,Blue-45
Adams,1,91,293,Blue-46
Adams,1,92,306,Blue-46
Adams,1,93,339,Blue-47
Adams,1,94,260,Blue-47
Adams,1,95,308,Blue-48
Adams,1,96,289,Blue-48
Adams,1,97,276,Blue-49
Adams,1,98,321,Blue-49
Adams,1,99,247,Blue-50
Adams,1,100,339,Blue-50
Adams,1,101,275,Blue-51
Adams,1,102,324,Blue-51
Adams,1,103,298,Blue-52
Adams,1,104,281,Blue-52
Adams,1,105,325,Blue-53
Adams,1,106,269,Blue-53
Adams,1,107,263,Blue-54
Adams,1,108,247,Blue-54
Adams,1,109,311,Blue-55
Adams,1,110,252,Blue-55
Adams,1,111,355,Blue-56
Adams,1,112,244,Blue-56
Adams,1,113,321,Blue-57
Adams,1,114,268,Blue-57
Adams,1,115,289,Blue-58
Adams,1,116,308,Blue-58
Adams,1,117,289,Blue-59
Adams,1,118,308,Blue-59
Adams,2,1,331,Purple-1
Adams,2,2,269,Purple-1
Adams,2,3,292,Purple-2
Adams,2,4,307,Purple-2
Adams,2,5,344,Purple-3
Adams,2,6,253,Purple-3
Adams,2,7,314,Purple-4
Adams,2,8,285,Purple-4
Adams,2,9,301,Purple-5
Adams,2,10,299,Purple-5
Adams,2,11,312,Purple-6
Adams,2,12,285,Purple-6
Adams,2,13,280,Purple-7
Adams,2,14,317,Purple-7
Adams,2,15,297,Purple-8
Adams,2,16,301,Purple-8
Adams,2,17,308,Purple-9
Adams,2,18,290,Purple-9
Adams,2,19,294,Purple-10
Adams,2,20,304,Purple-10
Adams,3,1,199,Orange-1
Adams,3,2,290,Orange-1
Adams,3,3,247,Orange-2
Adams,3,4,352,Orange-2
Adams,3,5,258,Orange-3
Adams,3,6,340,Orange-3
Adams,3,7,252,Orange-4
Adams,3,8,348,Orange-4
Adams,3,9,273,Orange-5
Adams,3,10,322,Orange-5
Adams,3,11,282,Orange-6
Adams,3,12,315,Orange-6
Adams,3,13,278,Orange-7
Adams,3,14,322,Orange-7
Adams,3,15,317,Orange-8
Adams,3,16,283,Orange-8
Adams,3,17,293,Orange-9
Adams,3,18,304,Orange-9
Adams,3,19,281,Orange-10
Adams,3,20,319,Orange-10
Adams,3,21,297,Orange-11
Adams,3,22,225,Orange-11
Adams,3,23,225,Orange-12
Adams,3,24,278,Orange-12
Adams,3,25,317,Orange-13
Adams,3,26,283,Orange-13
Adams,3,27,230,Orange-14
Adams,3,28,354,Orange-14
Adams,3,29,251,Orange-15
Adams,3,30,348,Orange-15
Adams,3,31,251,Orange-16
Adams,3,32,260,Orange-16
Adams,3,33,254,Orange-17
Adams,3,34,236,Orange-17
Adams,3,35,286,Orange-18
Adams,3,36,314,Orange-18
Adams,3,37,321,Orange-19
Adams,3,38,277,Orange-19
Adams,3,39,327,Orange-20
Adams,3,40,271,Orange-20
Adams,3,41,288,Orange-21
Adams,3,42,312,Orange-21
Adams,3,43,326,Orange-22
Adams,3,44,271,Orange-22
Adams,3,45,280,Orange-23
Adams,3,46,232,Orange-23
Adams,3,47,295,Orange-24
Adams,3,48,305,Orange-24
Adams,3,49,335,Orange-25
Adams,3,50,263,Orange-25
Adams,3,51,289,Orange-26
Adams,3,52,311,Orange-26
Adams,3,53,237,Orange-27
Adams,3,54,199,Orange-27
Adams,3,55,299,Orange-28
Adams,3,56,299,Orange-28
Adams,3,57,298,Orange-29
Adams,3,58,200,Orange-29
Adams,3,59,284,Orange-30
Adams,3,60,263,Orange-30
Adams,3,61,250,Orange-31
Adams,3,62,253,Orange-31
Adams,3,63,305,Orange-32
Adams,3,64,293,Orange-32
Adams,3,65,300,Orange-33
Adams,3,66,300,Orange-33
Adams,3,67,312,Orange-34
Adams,3,68,286,Orange-34
Adams,3,69,310,Orange-35
Adams,3,70,286,Orange-35
Adams,3,71,312,Orange-36
Adams,3,72,278,Orange-36
Adams,3,73,271,Orange-37
Adams,3,74,329,Orange-37
Adams,3,75,318,Orange-38
Adams,3,76,281,Orange-38
Adams,3,77,286,Orange-39
Adams,3,78,311,Orange-39
Adams,3,79,237,Orange-40
Adams,3,80,268,Orange-40
Adams,4,1,144,Brown-1
