County,Device ID,Batch,# of Ballots,Location
Arapahoe,3,1,100,ICC 02-1
Arapahoe,3,2,100,ICC 02-1
Arapahoe,3,3,100,ICC 02-1
Arapahoe,3,4,100,ICC 02-1
Arapahoe,3,5,100,ICC 02-1
Arapahoe,3,6,100,ICC 02-1
Arapahoe,3,7,100,ICC 02-1
Arapahoe,3,8,99,ICC 02-1
Arapahoe,3,9,99,ICC 02-1
Arapahoe,3,10,100,ICC 02-1
Arapahoe,3,11,100,ICC 02-1
Arapahoe,3,12,99,ICC 02-1
Arapahoe,3,13,100,ICC 02-1
Arapahoe,3,14,99,ICC 02-1
Arapahoe,3,15,100,ICC 02-1
Arapahoe,3,16,100,ICC 02-2
Arapahoe,3,17,99,ICC 02-2
Arapahoe,3,18,100,ICC 02-2
Arapahoe,3,19,99,ICC 02-2
Arapahoe,3,20,100,ICC 02-2
Arapahoe,3,21,100,ICC 02-2
Arapahoe,3,22,99,ICC 02-2
Arapahoe,3,23,99,ICC 02-2
Arapahoe,3,24,99,ICC 02-2
Arapahoe,3,25,99,ICC 02-2
Arapahoe,3,26,99,ICC 02-2
Arapahoe,3,27,100,ICC 02-2
Arapahoe,3,28,99,ICC 02-2
Arapahoe,3,29,100,ICC 02-2
Arapahoe,3,30,100,ICC 02-2
Arapahoe,3,31,99,ICC 02-3
Arapahoe,3,32,100,ICC 02-3
Arapahoe,3,33,100,ICC 02-3
Arapahoe,3,34,99,ICC 02-3
Arapahoe,3,35,99,ICC 02-3
Arapahoe,3,36,99,ICC 02-3
Arapahoe,3,37,100,ICC 02-3
Arapahoe,3,38,100,ICC 02-3
Arapahoe,3,39,100,ICC 02-3
Arapahoe,3,40,100,ICC 02-3
Arapahoe,3,41,100,ICC 02-3
Arapahoe,3,42,100,ICC 02-3
Arapahoe,3,43,100,ICC 02-3
Arapahoe,3,44,99,ICC 02-3
Arapahoe,3,45,100,ICC 02-3
Arapahoe,3,46,99,ICC 02-4
Arapahoe,3,47,100,ICC 02-4
Arapahoe,3,48,100,ICC 02-4
Arapahoe,3,49,99,ICC 02-4
Arapahoe,3,50,100,ICC 02-4
Arapahoe,3,51,65,ICC 02-4
Arapahoe,3,52,100,ICC 02-4
Arapahoe,3,53,100,ICC 02-4
Arapahoe,3,54,100,ICC 02-4
Arapahoe,3,55,100,ICC 02-4
Arapahoe,3,56,99,ICC 02-4
Arapahoe,3,57,100,ICC 02-4
Arapahoe,3,58,100,ICC 02-4
Arapahoe,3,59,99,ICC 02-4
Arapahoe,3,60,100,ICC 02-4
Arapahoe,3,61,100,ICC 02-5
Arapahoe,3,62,98,ICC 02-5
Arapahoe,3,63,100,ICC 02-5
Arapahoe,3,64,100,ICC 02-5
Arapahoe,3,65,99,ICC 02-5
Arapahoe,3,66,99,ICC 02-5
Arapahoe,3,67,99,ICC 02-5
Arapahoe,3,68,100,ICC 02-5
Arapahoe,3,69,100,ICC 02-5
Arapahoe,3,70,100,ICC 02-5
Arapahoe,3,71,100,ICC 02-5
Arapahoe,3,72,100,ICC 02-5
Arapahoe,3,73,99,ICC 02-5
Arapahoe,3,74,100,ICC 02-5
Arapahoe,3,75,100,ICC 02-5
Arapahoe,3,76,100,ICC 02-6
Arapahoe,3,77,100,ICC 02-6
Arapahoe,3,78,100,ICC 02-6
Arapahoe,3,79,100,ICC 02-6
Arapahoe,3,80,99,ICC 02-6
Arapahoe,3,81,100,ICC 02-6
Arapahoe,3,82,100,ICC 02-6
Arapahoe,3,83,99,ICC 02-6
Arapahoe,3,84,100,ICC 02-6
Arapahoe,3,85,100,ICC 02-6
Arapahoe,3,86,100,ICC 02-6
Arapahoe,3,87,100,ICC 02-6
Arapahoe,3,88,100,ICC 02-6
Arapahoe,3,89,100,ICC 02-6
Arapahoe,3,90,99,ICC 02-6
Arapahoe,3,91,99,ICC 02-7
Arapahoe,3,92,100,ICC 02-7
Arapahoe,3,93,99,ICC 02-7
Arapahoe,3,94,100,ICC 02-7
Arapahoe,3,95,100,ICC 02-7
Arapahoe,3,96,100,ICC 02-7
Arapahoe,3,97,100,ICC 02-7
Arapahoe,3,98,99,ICC 02-7
Arapahoe,3,99,100,ICC 02-7
Arapahoe,3,100,100,ICC 02-7
Arapahoe,3,101,99,ICC 02-7
Arapahoe,3,102,100,ICC 02-7
Arapahoe,3,103,100,ICC 02-7
Arapahoe,3,104,99,ICC 02-7
Arapahoe,3,105,76,ICC 02-7
Arapahoe,3,106,98,ICC 02-8
Arapahoe,3,107,99,ICC 02-8
Arapahoe,3,108,100,ICC 02-8
Arapahoe,3,109,99,ICC 02-8
Arapahoe,3,110,100,ICC 02-8
Arapahoe,3,111,99,ICC 02-8
Arapahoe,3,112,100,ICC 02-8
Arapahoe,3,113,100,ICC 02-8
Arapahoe,3,114,100,ICC 02-8
Arapahoe,3,115,99,ICC 02-8
Arapahoe,3,116,100,ICC 02-8
Arapahoe,3,117,100,ICC 02-8
Arapahoe,3,118,100,ICC 02-8
Arapahoe,3,119,99,ICC 02-8
Arapahoe,3,120,100,ICC 02-8
Arapahoe,3,121,99,ICC 02-9
Arapahoe,3,122,100,ICC 02-9
Arapahoe,3,123,99,ICC 02-9
Arapahoe,3,124,100,ICC 02-9
Arapahoe,3,125,100,ICC 02-9
Arapahoe,3,126,98,ICC 02-9
Arapahoe,3,127,100,ICC 02-9
Arapahoe,3,128,100,ICC 02-9
Arapahoe,3,129,100,ICC 02-9
Arapahoe,3,130,100,ICC 02-9
Arapahoe,3,131,99,ICC 02-9
Arapahoe,3,132,100,ICC 02-9
Arapahoe,3,133,100,ICC 02-9
Arapahoe,3,134,99,ICC 02-9
Arapahoe,3,135,99,ICC 02-9
Arapahoe,3,136,100,ICC 02-10
Arapahoe,3,137,100,ICC 02-10
Arapahoe,3,138,99,ICC 02-10
Arapahoe,3,139,99,ICC 02-10
Arapahoe,3,140,100,ICC 02-10
Arapahoe,3,141,99,ICC 02-10
Arapahoe,3,142,99,ICC 02-10
Arapahoe,3,143,100,ICC 02-10
Arapahoe,3,144,97,ICC 02-10
Arapahoe,3,145,100,ICC 02-10
Arapahoe,3,146,100,ICC 02-10
Arapahoe,3,147,99,ICC 02-10
Arapahoe,3,148,99,ICC 02-10
Arapahoe,3,149,100,ICC 02-10
Arapahoe,3,150,100,ICC 02-10
Arapahoe,3,151,100,ICC 02-11
Arapahoe,3,152,100,ICC 02-11
Arapahoe,3,153,100,ICC 02-11
Arapahoe,3,154,99,ICC 02-11
Arapahoe,3,155,100,ICC 02-11
Arapahoe,3,156,100,ICC 02-11
Arapahoe,3,157,100,ICC 02-11
Arapahoe,3,158,100,ICC 02-11
Arapahoe,3,159,100,ICC 02-11
Arapahoe,3,160,99,ICC 02-11
Arapahoe,3,161,99,ICC 02-11
Arapahoe,3,162,100,ICC 02-11
Arapahoe,3,163,100,ICC 02-11
Arapahoe,3,164,100,ICC 02-11
Arapahoe,3,165,100,ICC 02-11
Arapahoe,3,166,100,ICC 02-12
Arapahoe,3,167,100,ICC 02-12
Arapahoe,3,168,100,ICC 02-12
Arapahoe,3,169,100,ICC 02-12
Arapahoe,3,170,100,ICC 02-12
Arapahoe,3,171,100,ICC 02-12
Arapahoe,3,172,98,ICC 02-12
Arapahoe,3,173,100,ICC 02-12
Arapahoe,3,174,100,ICC 02-12
Arapahoe,3,175,100,ICC 02-12
Arapahoe,3,176,100,ICC 02-12
Arapahoe,3,177,100,ICC 02-12
Arapahoe,3,178,100,ICC 02-12
Arapahoe,3,179,100,ICC 02-12
Arapahoe,3,180,100,ICC 02-12
Arapahoe,3,181,100,ICC 02-13
Arapahoe,3,182,100,ICC 02-13
Arapahoe,3,183,99,ICC 02-13
Arapahoe,3,184,100,ICC 02-13
Arapahoe,3,185,100,ICC 02-13
Arapahoe,3,186,99,ICC 02-13
Arapahoe,3,187,100,ICC 02-13
Arapahoe,3,188,100,ICC 02-13
Arapahoe,3,189,100,ICC 02-13
Arapahoe,3,190,100,ICC 02-13
Arapahoe,3,191,100,ICC 02-13
Arapahoe,3,192,98,ICC 02-13
Arapahoe,3,193,100,ICC 02-13
Arapahoe,3,194,100,ICC 02-13
Arapahoe,3,195,100,ICC 02-13
Arapahoe,3,196,99,ICC 02-14
Arapahoe,3,197,100,ICC 02-14
Arapahoe,3,198,100,ICC 02-14
Arapahoe,3,199,100,ICC 02-14
Arapahoe,3,200,100,ICC 02-14
Arapahoe,3,201,100,ICC 02-14
Arapahoe,3,202,100,ICC 02-14
Arapahoe,3,203,100,ICC 02-14
Arapahoe,3,204,100,ICC 02-14
Arapahoe,3,205,100,ICC 02-14
Arapahoe,3,206,100,ICC 02-14
Arapahoe,3,207,77,ICC 02-14
Arapahoe,3,208,100,ICC 02-14
Arapahoe,3,209,100,ICC 02-14
Arapahoe,3,210,100,ICC 02-14
Arapahoe,3,211,98,ICC 02-15
Arapahoe,3,212,100,ICC 02-15
Arapahoe,3,213,68,ICC 02-15
Arapahoe,3,214,100,ICC 02-15
Arapahoe,3,215,100,ICC 02-15
Arapahoe,3,216,64,ICC 02-15
Arapahoe,3,217,99,ICC 02-15
Arapahoe,3,218,48,ICC 02-15
Arapahoe,3,219,100,ICC 02-15
Arapahoe,3,220,99,ICC 02-15
Arapahoe,3,221,100,ICC 02-15
Arapahoe,3,222,100,ICC 02-15
Arapahoe,3,223,100,ICC 02-15
Arapahoe,3,224,11,ICC 02-15
Arapahoe,3,225,2,ICC 02-15
Arapahoe,3,226,43,ICC 02-16
Arapahoe,3,227,46,ICC 02-16
Arapahoe,3,228,101,ICC 02-16
Arapahoe,3,229,71,ICC 02-16
Arapahoe,3,230,9,ICC 02-16
Arapahoe,3,231,49,ICC 02-16
Arapahoe,3,232,70,ICC 02-16
Arapahoe,3,233,35,ICC 02-16
Arapahoe,4,1,100,ICC 03-1
Arapahoe,4,2,99,ICC 03-1
Arapahoe,4,3,100,ICC 03-1
Arapahoe,4,4,99,ICC 03-1
Arapahoe,4,5,99,ICC 03-1
Arapahoe,4,6,99,ICC 03-1
Arapahoe,4,7,100,ICC 03-1
Arapahoe,4,8,100,ICC 03-1
Arapahoe,4,9,99,ICC 03-1
Arapahoe,4,10,100,ICC 03-1
Arapahoe,4,11,100,ICC 03-1
Arapahoe,4,12,99,ICC 03-1
Arapahoe,4,13,100,ICC 03-1
Arapahoe,4,14,99,ICC 03-1
Arapahoe,4,15,99,ICC 03-1
Arapahoe,4,16,100,ICC 03-2
Arapahoe,4,17,99,ICC 03-2
Arapahoe,4,18,100,ICC 03-2
Arapahoe,4,19,100,ICC 03-2
Arapahoe,4,20,99,ICC 03-2
Arapahoe,4,21,100,ICC 03-2
Arapahoe,4,22,100,ICC 03-2
Arapahoe,4,23,100,ICC 03-2
Arapahoe,4,24,99,ICC 03-2
Arapahoe,4,25,100,ICC 03-2
Arapahoe,4,26,100,ICC 03-2
Arapahoe,4,27,99,ICC 03-2
Arapahoe,4,28,99,ICC 03-2
Arapahoe,4,29,100,ICC 03-2
Arapahoe,4,30,100,ICC 03-2
Arapahoe,4,31,100,ICC 03-3
Arapahoe,4,32,99,ICC 03-3
Arapahoe,4,33,100,ICC 03-3
Arapahoe,4,34,100,ICC 03-3
Arapahoe,4,35,100,ICC 03-3
Arapahoe,4,36,100,ICC 03-3
Arapahoe,4,37,100,ICC 03-3
Arapahoe,4,38,99,ICC 03-3
Arapahoe,4,39,100,ICC 03-3
Arapahoe,4,40,100,ICC 03-3
Arapahoe,4,41,100,ICC 03-3
Arapahoe,4,42,99,ICC 03-3
Arapahoe,4,43,99,ICC 03-3
Arapahoe,4,44,90,ICC 03-3
Arapahoe,4,45,100,ICC 03-3
Arapahoe,5,1,100,ICC 04-1
Arapahoe,5,2,100,ICC 04-1
Arapahoe,5,3,100,ICC 04-1
Arapahoe,5,4,100,ICC 04-1
Arapahoe,5,5,100,ICC 04-1
Arapahoe,5,6,100,ICC 04-1
Arapahoe,5,7,100,ICC 04-1
Arapahoe,5,8,99,ICC 04-1
Arapahoe,5,9,100,ICC 04-1
Arapahoe,5,10,99,ICC 04-1
Arapahoe,5,11,100,ICC 04-1
Arapahoe,5,12,99,ICC 04-1
Arapahoe,5,13,100,ICC 04-1
Arapahoe,5,14,99,ICC 04-1
Arapahoe,5,15,99,ICC 04-1
Arapahoe,5,16,99,ICC 04-2
Arapahoe,5,17,99,ICC 04-2
Arapahoe,5,18,100,ICC 04-2
Arapahoe,5,19,100,ICC 04-2
Arapahoe,5,20,100,ICC 04-2
Arapahoe,5,21,100,ICC 04-2
Arapahoe,5,22,99,ICC 04-2
Arapahoe,5,23,100,ICC 04-2
Arapahoe,5,24,100,ICC 04-2
Arapahoe,5,25,98,ICC 04-2
Arapahoe,5,26,100,ICC 04-2
Arapahoe,5,27,100,ICC 04-2
Arapahoe,5,28,99,ICC 04-2
Arapahoe,5,29,99,ICC 04-2
Arapahoe,5,30,99,ICC 04-2
Arapahoe,5,31,100,ICC 04-3
Arapahoe,5,32,43,ICC 04-3
Arapahoe,5,33,98,ICC 04-3
Arapahoe,5,34,100,ICC 04-3
Arapahoe,5,35,99,ICC 04-3
Arapahoe,5,36,100,ICC 04-3
Arapahoe,5,37,99,ICC 04-3
Arapahoe,5,38,99,ICC 04-3
Arapahoe,5,39,0,ICC 04-3
Arapahoe,5,40,100,ICC 04-3
Arapahoe,5,41,100,ICC 04-3
Arapahoe,5,42,100,ICC 04-3
Arapahoe,5,43,100,ICC 04-3
Arapahoe,5,44,100,ICC 04-3
Arapahoe,5,45,100,ICC 04-3
Arapahoe,5,46,100,ICC 04-4
Arapahoe,5,47,100,ICC 04-4
Arapahoe,5,48,99,ICC 04-4
Arapahoe,5,49,100,ICC 04-4
Arapahoe,5,50,100,ICC 04-4
Arapahoe,5,51,100,ICC 04-4
Arapahoe,5,52,100,ICC 04-4
Arapahoe,5,53,100,ICC 04-4
Arapahoe,5,54,100,ICC 04-4
Arapahoe,5,55,100,ICC 04-4
Arapahoe,5,56,100,ICC 04-4
Arapahoe,5,57,45,ICC 04-4
Arapahoe,5,58,100,ICC 04-4
Arapahoe,5,59,100,ICC 04-4
Arapahoe,5,60,77,ICC 04-4
Arapahoe,5,61,100,ICC 04-5
Arapahoe,5,62,99,ICC 04-5
Arapahoe,5,63,100,ICC 04-5
Arapahoe,5,64,99,ICC 04-5
Arapahoe,5,65,100,ICC 04-5
