County,Device ID,Batch,# of Ballot Cards,Location
BOULDER,1,1,146,1
BOULDER,1,2,142,1
BOULDER,1,3,147,1
BOULDER,1,4,140,1
BOULDER,1,5,142,1
BOULDER,1,6,139,1
BOULDER,1,7,147,1
BOULDER,1,8,147,1
BOULDER,1,9,133,11
BOULDER,1,10,141,11
BOULDER,1,11,144,11
BOULDER,1,12,146,11
BOULDER,1,13,146,11
BOULDER,1,14,144,11
BOULDER,1,15,149,11
BOULDER,1,16,145,11
BOULDER,1,17,150,21
BOULDER,1,18,149,21
BOULDER,1,19,119,21
BOULDER,1,20,150,21
BOULDER,1,21,150,21
BOULDER,1,22,149,21
BOULDER,1,23,148,21
BOULDER,1,24,149,21
BOULDER,1,25,150,31
BOULDER,1,26,149,31
BOULDER,1,27,150,31
BOULDER,1,28,150,31
BOULDER,1,29,149,31
BOULDER,1,30,150,31
BOULDER,1,31,149,31
BOULDER,1,32,150,31
BOULDER,1,33,150,32
BOULDER,1,34,149,32
BOULDER,1,35,149,32
BOULDER,1,36,147,32
BOULDER,1,37,149,32
BOULDER,1,38,148,32
BOULDER,1,39,149,32
BOULDER,1,40,149,32
BOULDER,1,41,149,41
BOULDER,1,42,149,41
BOULDER,1,43,149,41
BOULDER,1,44,148,41
BOULDER,1,45,148,41
BOULDER,1,46,150,41
BOULDER,1,47,148,41
BOULDER,1,48,150,41
BOULDER,1,49,150,54
BOULDER,1,50,148,54
BOULDER,1,51,148,54
BOULDER,1,52,150,54
BOULDER,1,53,148,54
BOULDER,1,54,146,54
BOULDER,1,55,149,54
BOULDER,1,56,149,54
BOULDER,1,57,149,55
BOULDER,1,58,150,55
BOULDER,1,59,150,55
BOULDER,1,60,150,55
BOULDER,1,61,149,55
BOULDER,1,62,148,55
BOULDER,1,63,150,55
BOULDER,1,64,149,55
BOULDER,1,65,150,60
BOULDER,1,66,148,60
BOULDER,1,67,148,60
BOULDER,1,68,149,60
BOULDER,1,69,534,60
BOULDER,2,1,145,2
BOULDER,2,2,136,2
BOULDER,2,3,147,2
BOULDER,2,4,136,2
BOULDER,2,5,145,2
BOULDER,2,6,146,2
BOULDER,2,7,143,2
BOULDER,2,8,145,2
BOULDER,2,9,146,12
BOULDER,2,10,148,12
BOULDER,2,11,142,12
BOULDER,2,12,148,12
BOULDER,2,13,150,12
BOULDER,2,14,146,12
BOULDER,2,15,148,12
BOULDER,2,16,149,12
BOULDER,2,17,149,33
BOULDER,2,18,148,33
BOULDER,2,19,149,33
BOULDER,2,20,149,33
BOULDER,2,21,147,33
BOULDER,2,22,149,33
BOULDER,2,23,149,33
BOULDER,2,24,146,33
BOULDER,2,25,149,22
BOULDER,2,26,149,22
BOULDER,2,27,150,22
BOULDER,2,28,149,22
BOULDER,2,29,149,22
BOULDER,2,30,150,22
BOULDER,2,31,148,22
BOULDER,2,32,150,22
BOULDER,2,33,148,49
BOULDER,2,34,150,49
BOULDER,2,35,146,49
BOULDER,2,36,150,49
BOULDER,2,37,150,49
BOULDER,2,38,148,49
BOULDER,2,39,150,49
BOULDER,2,40,149,49
BOULDER,2,41,150,51
BOULDER,2,42,146,51
BOULDER,2,43,149,51
BOULDER,2,44,149,51
BOULDER,2,45,150,51
BOULDER,2,46,149,51
BOULDER,2,47,149,51
BOULDER,2,48,149,51
BOULDER,2,49,148,52
BOULDER,2,50,150,52
BOULDER,2,51,150,52
BOULDER,2,52,149,52
BOULDER,2,53,148,52
BOULDER,2,54,150,52
BOULDER,2,55,150,52
BOULDER,2,56,150,52
BOULDER,2,57,150,61
BOULDER,2,58,150,61
BOULDER,2,59,150,61
BOULDER,2,60,148,61
BOULDER,2,61,148,61
BOULDER,2,62,149,61
BOULDER,2,63,148,61
BOULDER,2,64,149,61
BOULDER,3,1,140,3
BOULDER,3,2,146,3
BOULDER,3,3,144,3
BOULDER,3,4,145,3
BOULDER,3,5,146,3
BOULDER,3,6,143,3
BOULDER,3,7,134,3
BOULDER,3,8,148,3
BOULDER,3,9,147,13
BOULDER,3,10,147,13
BOULDER,3,11,149,13
BOULDER,3,12,150,13
BOULDER,3,13,150,13
BOULDER,3,14,149,13
BOULDER,3,15,150,13
BOULDER,3,16,149,13
BOULDER,3,17,149,23
BOULDER,3,18,150,23
BOULDER,3,19,146,23
BOULDER,3,20,147,23
BOULDER,3,21,150,23
BOULDER,3,22,147,23
BOULDER,3,23,149,23
BOULDER,3,24,150,23
BOULDER,3,25,150,34
BOULDER,3,26,147,34
BOULDER,3,27,148,34
BOULDER,3,28,147,34
BOULDER,3,29,149,34
BOULDER,3,30,149,34
BOULDER,3,31,147,34
BOULDER,3,32,146,34
BOULDER,3,33,150,43
BOULDER,3,34,146,43
BOULDER,3,35,148,43
BOULDER,3,36,149,43
BOULDER,3,37,150,43
BOULDER,3,38,148,43
BOULDER,3,39,149,43
BOULDER,3,40,150,43
BOULDER,3,41,150,42
BOULDER,3,42,145,42
BOULDER,3,43,150,42
BOULDER,3,44,150,42
BOULDER,3,45,146,42
BOULDER,3,46,149,42
BOULDER,3,47,147,42
BOULDER,3,48,149,42
BOULDER,3,49,149,53
BOULDER,3,50,148,53
BOULDER,3,51,149,53
BOULDER,3,52,150,53
BOULDER,3,53,149,53
BOULDER,3,54,150,53
BOULDER,3,55,148,53
BOULDER,3,56,150,53
BOULDER,3,57,149,62
BOULDER,3,58,148,62
BOULDER,3,59,149,62
BOULDER,3,60,149,62
BOULDER,3,61,150,62
BOULDER,3,62,146,62
BOULDER,3,63,149,62
BOULDER,3,64,149,62
BOULDER,3,65,150,74
BOULDER,3,66,150,74
BOULDER,3,67,148,74
BOULDER,3,68,149,74
BOULDER,3,69,150,74
BOULDER,3,70,148,74
BOULDER,3,71,150,74
BOULDER,3,72,146,74
BOULDER,4,1,143,4
BOULDER,4,2,145,4
BOULDER,4,3,142,4
BOULDER,4,4,136,4
BOULDER,4,5,137,4
BOULDER,4,6,138,4
BOULDER,4,7,141,4
BOULDER,4,8,131,4
BOULDER,4,9,141,14
BOULDER,4,10,150,14
BOULDER,4,11,148,14
BOULDER,4,12,147,14
BOULDER,4,13,142,14
BOULDER,4,14,149,14
BOULDER,4,15,147,14
BOULDER,4,16,150,14
BOULDER,4,17,150,24
BOULDER,4,18,148,24
BOULDER,4,19,149,24
BOULDER,4,20,150,24
BOULDER,4,21,149,24
BOULDER,4,22,149,24
BOULDER,4,23,150,24
BOULDER,4,24,150,24
BOULDER,4,25,150,36
BOULDER,4,26,150,36
BOULDER,4,27,150,36
BOULDER,4,28,149,36
BOULDER,4,29,147,36
BOULDER,4,30,149,36
BOULDER,4,31,149,36
BOULDER,4,32,149,36
BOULDER,4,33,148,35
BOULDER,4,34,150,35
BOULDER,4,35,150,35
BOULDER,4,36,148,35
BOULDER,4,37,149,35
BOULDER,4,38,148,35
BOULDER,4,39,146,35
BOULDER,4,40,149,35
BOULDER,4,41,150,44
BOULDER,4,42,149,44
BOULDER,4,43,149,44
BOULDER,4,44,150,44
BOULDER,4,45,148,44
BOULDER,4,46,150,44
BOULDER,4,47,148,44
BOULDER,4,48,150,44
BOULDER,4,49,150,45
BOULDER,4,50,146,45
BOULDER,4,51,149,45
BOULDER,4,52,150,45
BOULDER,4,53,148,45
BOULDER,4,54,144,45
BOULDER,4,55,148,45
BOULDER,4,56,150,45
BOULDER,4,57,150,63
BOULDER,4,58,148,63
BOULDER,4,59,147,63
BOULDER,4,60,148,63
BOULDER,4,61,149,63
BOULDER,4,62,149,63
BOULDER,4,63,150,63
BOULDER,4,64,150,63
BOULDER,4,65,150,68
BOULDER,4,66,147,68
BOULDER,4,67,147,68
BOULDER,4,68,148,68
BOULDER,4,69,147,68
BOULDER,4,70,143,68
BOULDER,4,71,149,68
BOULDER,4,72,150,68
BOULDER,5,1,147,5
BOULDER,5,2,136,5
BOULDER,5,3,144,5
BOULDER,5,4,144,5
BOULDER,5,5,141,5
BOULDER,5,6,145,5
BOULDER,5,7,140,5
BOULDER,5,8,144,5
BOULDER,5,9,145,15
BOULDER,5,10,146,15
BOULDER,5,11,144,15
BOULDER,5,12,149,15
BOULDER,5,13,150,15
BOULDER,5,14,149,15
BOULDER,5,15,148,15
BOULDER,5,16,145,15
BOULDER,5,17,150,25
BOULDER,5,18,147,25
BOULDER,5,19,149,25
BOULDER,5,20,150,25
BOULDER,5,21,150,25
BOULDER,5,22,147,25
BOULDER,5,23,148,25
BOULDER,5,24,149,25
BOULDER,5,25,150,37
BOULDER,5,26,147,37
BOULDER,5,27,150,37
BOULDER,5,28,148,37
BOULDER,5,29,148,37
BOULDER,5,30,149,37
BOULDER,5,31,149,37
BOULDER,5,32,150,37
BOULDER,5,33,150,69
BOULDER,5,34,148,69
BOULDER,5,35,148,69
BOULDER,5,36,148,69
BOULDER,5,37,150,69
BOULDER,5,38,150,69
BOULDER,5,39,150,69
BOULDER,5,40,147,69
BOULDER,5,41,149,70
BOULDER,5,42,148,70
BOULDER,5,43,149,70
BOULDER,5,44,150,70
BOULDER,5,45,150,70
BOULDER,5,46,147,70
BOULDER,5,47,150,70
BOULDER,5,48,150,70
BOULDER,5,49,150,71
BOULDER,5,50,149,71
BOULDER,5,51,149,71
BOULDER,5,52,150,71
BOULDER,5,53,146,71
BOULDER,5,54,149,71
BOULDER,5,55,150,71
BOULDER,5,56,147,71
BOULDER,5,57,149,79
BOULDER,5,58,150,79
BOULDER,5,59,148,79
BOULDER,5,60,146,79
BOULDER,5,61,149,79
BOULDER,5,62,149,79
BOULDER,5,63,148,79
BOULDER,5,64,34,79
BOULDER,5,65,150,80
BOULDER,5,66,149,80
BOULDER,5,67,149,80
BOULDER,5,68,149,80
BOULDER,5,69,150,80
BOULDER,5,70,154,80
BOULDER,5,71,147,80
BOULDER,5,72,150,80
BOULDER,5,73,149,83
BOULDER,5,74,149,83
BOULDER,5,75,149,83
BOULDER,5,76,31,83
BOULDER,5,77,180,83
BOULDER,6,1,145,6
BOULDER,6,2,141,6
BOULDER,6,3,145,6
BOULDER,6,4,130,6
BOULDER,6,5,141,6
BOULDER,6,6,144,6
BOULDER,6,7,143,6
BOULDER,6,8,149,6
BOULDER,6,9,149,16
BOULDER,6,10,143,16
BOULDER,6,11,146,16
BOULDER,6,12,150,16
BOULDER,6,13,148,16
BOULDER,6,14,148,16
BOULDER,6,15,149,16
BOULDER,6,16,150,16
BOULDER,6,17,149,26
BOULDER,6,18,145,26
BOULDER,6,19,149,26
BOULDER,6,20,149,26
BOULDER,6,21,148,26
BOULDER,6,22,150,26
BOULDER,6,23,150,26
BOULDER,6,24,149,26
BOULDER,6,25,150,38
BOULDER,6,26,150,38
BOULDER,6,27,148,38
BOULDER,6,28,147,38
BOULDER,6,29,149,38
BOULDER,6,30,141,38
BOULDER,6,31,149,38
BOULDER,6,32,149,38
BOULDER,6,33,150,58
BOULDER,6,34,150,58
BOULDER,6,35,148,58
BOULDER,6,36,148,58
BOULDER,6,37,149,58
BOULDER,6,38,146,58
BOULDER,6,39,150,58
BOULDER,6,40,150,58
BOULDER,6,41,148,64
BOULDER,6,42,149,64
BOULDER,6,43,149,64
BOULDER,6,44,149,64
BOULDER,6,45,150,64
BOULDER,6,46,149,64
BOULDER,6,47,150,64
BOULDER,6,48,150,64
BOULDER,6,49,149,76
BOULDER,6,50,150,76
BOULDER,6,51,150,76
BOULDER,6,52,150,76
BOULDER,6,53,149,76
BOULDER,6,54,148,76
BOULDER,6,55,150,76
BOULDER,6,56,148,76
BOULDER,6,57,149,81
BOULDER,6,58,149,81
BOULDER,6,59,150,81
BOULDER,6,60,598,81
BOULDER,7,1,150,7
BOULDER,7,2,149,7
