County,Device ID,Batch,# of Ballot Cards,Location
Eagle,100,1,25,Bin 1
Eagle,100,2,25,Bin 1
Eagle,100,3,25,Bin 1
Eagle,100,4,25,Bin 1
Eagle,100,5,25,Bin 1
Eagle,100,6,25,Bin 1
Eagle,100,7,9,Bin 1
Eagle,100,8,21,Bin 1
Eagle,100,9,25,Bin 1
Eagle,100,10,25,Bin 1
Eagle,100,11,25,Bin 1
Eagle,100,12,25,Bin 1
Eagle,100,13,25,Bin 1
Eagle,100,14,6,Bin 1
Eagle,100,15,25,Bin 1
Eagle,100,16,25,Bin 1
Eagle,100,17,25,Bin 1
Eagle,100,18,25,Bin 1
Eagle,100,19,25,Bin 1
Eagle,100,20,25,Bin 1
Eagle,100,21,25,Bin 1
Eagle,100,22,2,Bin 1
Eagle,100,23,25,Bin 1
Eagle,100,24,0,Bin 1
Eagle,100,25,25,Bin 1
Eagle,100,26,25,Bin 1
Eagle,100,27,25,Bin 2
Eagle,100,28,25,Bin 2
Eagle,100,29,25,Bin 2
Eagle,100,30,25,Bin 2
Eagle,100,31,25,Bin 2
Eagle,100,32,25,Bin 2
Eagle,100,33,25,Bin 2
Eagle,100,34,25,Bin 2
Eagle,100,35,25,Bin 2
Eagle,100,36,10,Bin 2
Eagle,100,37,25,Bin 2
Eagle,100,38,25,Bin 2
Eagle,100,39,25,Bin 2
Eagle,100,40,25,Bin 2
Eagle,100,41,25,Bin 2
Eagle,100,42,25,Bin 2
Eagle,100,43,25,Bin 2
Eagle,100,44,25,Bin 2
Eagle,100,45,25,Bin 2
Eagle,100,46,25,Bin 2
Eagle,100,47,25,Bin 2
Eagle,100,48,1,Bin 2
Eagle,100,49,24,Bin 2
Eagle,100,50,25,Bin 2
Eagle,100,51,25,Bin 3
Eagle,100,52,25,Bin 3
Eagle,100,53,25,Bin 3
Eagle,100,54,25,Bin 3
Eagle,100,55,25,Bin 3
Eagle,100,56,25,Bin 3
Eagle,100,57,25,Bin 3
Eagle,100,58,25,Bin 3
Eagle,100,59,25,Bin 3
Eagle,100,60,25,Bin 3
Eagle,100,61,25,Bin 3
Eagle,100,62,4,Bin 3
Eagle,100,63,25,Bin 3
Eagle,100,64,25,Bin 3
Eagle,100,65,25,Bin 3
Eagle,100,66,25,Bin 3
Eagle,100,67,25,Bin 3
Eagle,100,68,25,Bin 3
Eagle,100,69,25,Bin 3
Eagle,100,70,25,Bin 3
Eagle,100,71,25,Bin 3
Eagle,100,72,25,Bin 3
Eagle,100,73,25,Bin 3
Eagle,100,74,21,Bin 4
Eagle,100,75,25,Bin 4
Eagle,100,76,25,Bin 4
Eagle,100,77,25,Bin 4
Eagle,100,78,25,Bin 4
Eagle,100,79,25,Bin 4
Eagle,100,80,25,Bin 4
Eagle,100,81,25,Bin 4
Eagle,100,82,25,Bin 4
Eagle,100,83,25,Bin 4
Eagle,100,84,25,Bin 4
Eagle,100,85,25,Bin 4
Eagle,100,86,12,Bin 4
Eagle,100,87,25,Bin 4
Eagle,100,88,25,Bin 4
Eagle,100,89,25,Bin 4
Eagle,100,90,25,Bin 4
Eagle,100,91,25,Bin 4
Eagle,100,92,25,Bin 4
Eagle,100,93,25,Bin 4
Eagle,100,94,25,Bin 4
Eagle,100,95,25,Bin 4
Eagle,100,96,25,Bin 4
Eagle,100,97,25,Bin 4
Eagle,100,98,25,Bin 4
Eagle,100,99,25,Bin 4
Eagle,100,100,25,Bin 4
Eagle,100,101,25,Bin 4
Eagle,100,102,23,Bin 5
Eagle,100,103,25,Bin 5
Eagle,100,104,25,Bin 5
Eagle,100,105,25,Bin 5
Eagle,100,106,25,Bin 5
Eagle,100,107,18,Bin 5
Eagle,100,108,25,Bin 5
Eagle,100,109,25,Bin 5
Eagle,100,110,25,Bin 5
Eagle,100,111,25,Bin 5
Eagle,100,112,25,Bin 5
Eagle,100,113,25,Bin 5
Eagle,100,114,25,Bin 5
Eagle,100,115,25,Bin 5
Eagle,100,116,25,Bin 5
Eagle,100,117,25,Bin 5
Eagle,100,118,25,Bin 5
Eagle,100,119,25,Bin 5
Eagle,100,120,25,Bin 5
Eagle,100,121,25,Bin 5
Eagle,100,122,25,Bin 5
Eagle,100,123,25,Bin 5
Eagle,100,124,25,Bin 5
Eagle,100,125,25,Bin 5
Eagle,100,126,25,Bin 6
Eagle,100,127,25,Bin 6
Eagle,100,128,25,Bin 6
Eagle,100,129,25,Bin 6
Eagle,100,130,25,Bin 6
Eagle,100,131,25,Bin 6
Eagle,100,132,25,Bin 6
Eagle,100,133,25,Bin 6
Eagle,100,134,22,Bin 6
Eagle,100,135,25,Bin 6
Eagle,100,136,25,Bin 6
Eagle,100,137,25,Bin 6
Eagle,100,138,25,Bin 6
Eagle,100,139,25,Bin 6
Eagle,100,140,25,Bin 6
Eagle,100,141,25,Bin 6
Eagle,100,142,25,Bin 6
Eagle,100,143,25,Bin 6
Eagle,100,144,25,Bin 6
Eagle,100,145,25,Bin 6
Eagle,100,146,1,Bin 6
Eagle,100,147,3,Bin 6
Eagle,100,148,15,Bin 7
Eagle,100,149,14,Bin 7
Eagle,100,150,25,Bin 7
Eagle,100,151,25,Bin 7
Eagle,100,152,25,Bin 7
Eagle,100,153,25,Bin 7
Eagle,100,154,25,Bin 7
Eagle,100,155,25,Bin 7
Eagle,100,156,15,Bin 7
Eagle,100,157,25,Bin 7
Eagle,100,158,25,Bin 7
Eagle,100,159,25,Bin 7
Eagle,100,160,25,Bin 7
Eagle,100,161,25,Bin 7
Eagle,100,162,25,Bin 7
Eagle,100,163,25,Bin 7
Eagle,100,164,25,Bin 7
Eagle,100,165,25,Bin 7
Eagle,100,166,25,Bin 7
Eagle,100,167,25,Bin 7
Eagle,100,168,4,Bin 7
Eagle,100,169,25,Bin 7
Eagle,100,170,25,Bin 7
Eagle,100,171,25,Bin 7
Eagle,100,172,25,Bin 7
Eagle,100,173,25,Bin 8
Eagle,100,174,25,Bin 8
Eagle,100,175,25,Bin 8
Eagle,100,176,25,Bin 8
Eagle,100,177,25,Bin 8
Eagle,100,178,25,Bin 8
Eagle,100,179,25,Bin 8
Eagle,100,180,25,Bin 8
Eagle,100,181,25,Bin 8
Eagle,100,182,25,Bin 8
Eagle,100,183,25,Bin 8
Eagle,100,184,25,Bin 8
Eagle,100,185,25,Bin 8
Eagle,100,186,25,Bin 8
Eagle,100,187,25,Bin 8
Eagle,100,188,25,Bin 8
Eagle,100,189,25,Bin 8
Eagle,100,190,22,Bin 8
Eagle,100,191,25,Bin 8
Eagle,100,192,25,Bin 8
Eagle,100,193,25,Bin 8
Eagle,100,194,25,Bin 9
Eagle,100,195,25,Bin 9
Eagle,100,196,25,Bin 9
Eagle,100,197,25,Bin 9
Eagle,100,198,25,Bin 9
Eagle,100,199,25,Bin 9
Eagle,100,200,9,Bin 9
Eagle,100,201,25,Bin 9
Eagle,100,202,25,Bin 9
Eagle,100,203,25,Bin 9
Eagle,100,204,25,Bin 9
Eagle,100,205,25,Bin 9
Eagle,100,206,25,Bin 9
Eagle,100,207,25,Bin 9
Eagle,100,208,25,Bin 9
Eagle,100,209,25,Bin 9
Eagle,100,210,20,Bin 9
Eagle,100,211,25,Bin 9
Eagle,100,212,25,Bin 9
Eagle,100,213,25,Bin 9
Eagle,100,214,24,Bin 10
Eagle,100,215,25,Bin 10
Eagle,100,216,25,Bin 10
Eagle,100,217,25,Bin 10
Eagle,100,218,25,Bin 10
Eagle,100,219,4,Bin 10
Eagle,100,220,25,Bin 10
Eagle,100,221,25,Bin 10
Eagle,100,222,25,Bin 10
Eagle,100,223,25,Bin 10
Eagle,100,224,25,Bin 10
Eagle,100,225,25,Bin 10
Eagle,100,226,25,Bin 10
Eagle,100,227,5,Bin 10
Eagle,100,228,10,Bin 11
Eagle,100,229,25,Bin 11
Eagle,100,230,25,Bin 11
Eagle,100,231,25,Bin 11
Eagle,100,232,25,Bin 11
Eagle,100,233,25,Bin 11
Eagle,100,234,25,Bin 11
Eagle,100,235,25,Bin 11
Eagle,100,236,25,Bin 11
Eagle,100,237,25,Bin 11
Eagle,100,238,25,Bin 11
Eagle,100,239,23,Bin 11
Eagle,100,240,25,Bin 11
Eagle,100,241,25,Bin 11
Eagle,100,242,25,Bin 11
Eagle,100,243,25,Bin 11
Eagle,100,244,25,Bin 11
Eagle,100,245,25,Bin 11
Eagle,100,246,25,Bin 11
Eagle,100,247,25,Bin 11
Eagle,100,248,25,Bin 11
Eagle,100,249,25,Bin 11
Eagle,100,250,25,Bin 11
Eagle,100,251,25,Bin 11
Eagle,100,252,25,Bin 11
Eagle,100,253,25,Bin 12
Eagle,100,254,25,Bin 12
Eagle,100,255,6,Bin 12
Eagle,100,256,25,Bin 12
Eagle,100,257,25,Bin 12
Eagle,100,258,25,Bin 12
Eagle,100,259,25,Bin 12
Eagle,100,260,25,Bin 12
Eagle,100,261,25,Bin 12
Eagle,100,262,25,Bin 12
Eagle,100,263,25,Bin 12
Eagle,100,264,25,Bin 12
Eagle,100,265,25,Bin 12
Eagle,100,266,25,Bin 12
Eagle,100,267,25,Bin 12
Eagle,100,268,25,Bin 12
Eagle,100,269,13,Bin 12
Eagle,100,270,25,Bin 12
Eagle,100,271,25,Bin 12
Eagle,100,272,25,Bin 12
Eagle,100,273,25,Bin 12
Eagle,100,274,25,Bin 12
Eagle,100,275,25,Bin 12
Eagle,100,276,25,Bin 12
Eagle,100,277,25,Bin 12
Eagle,100,278,10,Bin 13
Eagle,100,279,25,Bin 13
Eagle,100,280,25,Bin 13
Eagle,100,281,25,Bin 13
Eagle,100,282,25,Bin 13
Eagle,100,283,25,Bin 13
Eagle,100,284,25,Bin 13
Eagle,100,285,25,Bin 13
Eagle,100,286,25,Bin 13
Eagle,100,287,25,Bin 13
Eagle,100,288,25,Bin 13
Eagle,100,289,2,Bin 13
Eagle,100,290,25,Bin 13
Eagle,100,291,25,Bin 13
Eagle,100,292,25,Bin 13
Eagle,100,293,25,Bin 13
Eagle,100,294,25,Bin 13
Eagle,100,295,25,Bin 13
Eagle,100,296,25,Bin 13
Eagle,100,297,7,Bin 13
Eagle,100,298,25,Bin 13
Eagle,100,299,25,Bin 13
Eagle,100,300,25,Bin 13
Eagle,100,301,25,Bin 14
Eagle,100,302,25,Bin 14
Eagle,100,303,25,Bin 14
Eagle,100,304,25,Bin 14
Eagle,100,305,25,Bin 14
Eagle,100,306,3,Bin 14
Eagle,100,307,25,Bin 14
Eagle,100,308,25,Bin 14
Eagle,100,309,25,Bin 14
Eagle,100,310,25,Bin 14
Eagle,100,311,25,Bin 14
Eagle,100,312,25,Bin 14
Eagle,100,313,23,Bin 14
Eagle,100,314,25,Bin 14
Eagle,100,315,25,Bin 14
Eagle,100,316,25,Bin 14
Eagle,100,317,25,Bin 14
Eagle,100,318,25,Bin 15
Eagle,100,319,13,Bin 15
Eagle,100,320,14,Bin 15
Eagle,100,321,25,Bin 15
Eagle,100,322,25,Bin 15
Eagle,100,323,25,Bin 15
Eagle,100,324,25,Bin 15
Eagle,100,325,25,Bin 15
Eagle,100,326,25,Bin 15
Eagle,100,327,25,Bin 15
Eagle,100,328,25,Bin 15
Eagle,100,329,25,Bin 15
Eagle,100,330,25,Bin 15
Eagle,100,331,25,Bin 15
Eagle,100,332,20,Bin 15
Eagle,100,333,25,Bin 15
Eagle,100,334,25,Bin 15
Eagle,100,335,25,Bin 15
Eagle,100,336,25,Bin 15
Eagle,100,337,25,Bin 15
Eagle,100,338,25,Bin 15
Eagle,100,339,25,Bin 15
Eagle,100,340,25,Bin 15
Eagle,100,341,25,Bin 15
Eagle,100,342,25,Bin 15
Eagle,100,343,9,Bin 15
Eagle,100,344,25,Bin 15
Eagle,100,345,25,Bin 16
Eagle,100,346,25,Bin 16
Eagle,100,347,25,Bin 16
Eagle,100,348,25,Bin 16
Eagle,100,349,25,Bin 16
Eagle,100,350,25,Bin 16
Eagle,100,351,7,Bin 16
Eagle,100,352,25,Bin 16
Eagle,100,353,25,Bin 16
Eagle,100,354,25,Bin 16
Eagle,100,355,25,Bin 16
Eagle,100,356,25,Bin 16
Eagle,100,357,25,Bin 16
Eagle,100,358,21,Bin 16
Eagle,100,359,25,Bin 16
Eagle,100,360,25,Bin 16
Eagle,100,361,25,Bin 16
Eagle,100,362,25,Bin 16
Eagle,100,363,25,Bin 16
Eagle,100,364,25,Bin 16
Eagle,100,365,25,Bin 16
Eagle,100,366,25,Bin 16
Eagle,100,367,24,Bin 16
Eagle,100,368,25,Bin 16
Eagle,100,369,25,Bin 16
Eagle,100,370,22,Bin 17
Eagle,100,371,25,Bin 17
Eagle,100,372,12,Bin 17
Eagle,100,373,25,Bin 17
