County name,Device ID,Batch,# of Ballot Cards,Location
Gilpin County,1,1,10,Box 1
Gilpin County,1,2,10,Box 1
Gilpin County,1,3,10,Box 1
Gilpin County,1,4,10,Box 1
Gilpin County,1,5,10,Box 1
Gilpin County,1,6,10,Box 1
Gilpin County,1,7,10,Box 1
Gilpin County,1,8,10,Box 1
Gilpin County,1,9,10,Box 1
Gilpin County,1,10,10,Box 1
Gilpin County,1,11,10,Box 1
Gilpin County,1,12,10,Box 1
Gilpin County,1,13,10,Box 1
Gilpin County,1,14,10,Box 1
Gilpin County,1,15,10,Box 1
Gilpin County,1,16,10,Box 1
Gilpin County,1,17,10,Box 1
Gilpin County,1,18,10,Box 1
Gilpin County,1,19,10,Box 1
Gilpin County,1,20,10,Box 1
Gilpin County,1,21,10,Box 1
Gilpin County,1,22,10,Box 1
Gilpin County,1,23,10,Box 1
Gilpin County,1,24,10,Box 1
Gilpin County,1,25,10,Box 1
Gilpin County,1,26,10,Box 1
Gilpin County,1,27,10,Box 1
Gilpin County,1,28,10,Box 1
Gilpin County,1,29,10,Box 1
Gilpin County,1,30,10,Box 1
Gilpin County,1,31,10,Box 1
Gilpin County,1,32,10,Box 1
Gilpin County,1,33,10,Box 1
Gilpin County,1,34,10,Box 1
Gilpin County,1,35,10,Box 1
Gilpin County,1,36,10,Box 1
Gilpin County,1,37,10,Box 1
Gilpin County,1,38,10,Box 1
Gilpin County,1,39,10,Box 1
Gilpin County,1,40,10,Box 1
Gilpin County,1,41,10,Box 1
Gilpin County,1,42,10,Box 1
Gilpin County,1,43,10,Box 1
Gilpin County,1,44,10,Box 1
Gilpin County,1,45,10,Box 1
Gilpin County,1,46,10,Box 1
Gilpin County,1,47,10,Box 1
Gilpin County,1,48,10,Box 1
Gilpin County,1,49,10,Box 1
Gilpin County,1,50,10,Box 1
Gilpin County,1,51,10,Box 1
Gilpin County,1,52,10,Box 1
Gilpin County,1,53,10,Box 1
Gilpin County,1,54,10,Box 1
Gilpin County,1,55,10,Box 1
Gilpin County,1,56,10,Box 1
Gilpin County,1,57,10,Box 1
Gilpin County,1,58,10,Box 1
Gilpin County,1,59,10,Box 1
Gilpin County,1,60,10,Box 1
Gilpin County,1,61,10,Box 1
Gilpin County,1,62,10,Box 1
Gilpin County,1,63,10,Box 1
Gilpin County,1,64,10,Box 1
Gilpin County,1,65,10,Box 1
Gilpin County,1,66,10,Box 1
Gilpin County,1,67,10,Box 1
Gilpin County,1,68,10,Box 1
Gilpin County,1,69,10,Box 1
Gilpin County,1,70,10,Box 1
Gilpin County,1,71,10,Box 1
Gilpin County,1,72,10,Box 1
Gilpin County,1,73,10,Box 1
Gilpin County,1,74,10,Box 2
Gilpin County,1,75,10,Box2
Gilpin County,1,76,10,Box 2
Gilpin County,1,77,10,Box 2
Gilpin County,1,78,10,Box 2
Gilpin County,1,79,10,Box 2
Gilpin County,1,80,10,Box 2
Gilpin County,1,81,10,Box 2
Gilpin County,1,82,10,Box 2
Gilpin County,1,83,10,Box 2
Gilpin County,1,84,10,Box 2
Gilpin County,1,85,10,Box 2
Gilpin County,1,86,10,Box 2
Gilpin County,1,87,10,Box 2
Gilpin County,1,88,10,Box 2
Gilpin County,1,89,10,Box 2
Gilpin County,1,90,10,Box 2
Gilpin County,1,91,10,Box 2
Gilpin County,1,92,10,Box 2
Gilpin County,1,93,10,Box 2
Gilpin County,1,94,10,Box 2
Gilpin County,1,95,10,Box 2
Gilpin County,1,96,10,Box 2
Gilpin County,1,97,10,Box 2
Gilpin County,1,98,10,Box 2
Gilpin County,1,99,10,Box 2
Gilpin County,1,100,10,Box 2
Gilpin County,1,101,10,Box 2
Gilpin County,1,102,10,Box 2
Gilpin County,1,103,10,Box 2
Gilpin County,1,104,10,Box 2
Gilpin County,1,105,10,Box 2
Gilpin County,1,106,10,Box 2
Gilpin County,1,107,10,Box 2
Gilpin County,1,108,10,Box 2
Gilpin County,1,109,10,Box 2
Gilpin County,1,110,10,Box 2
Gilpin County,1,111,10,Box 2
Gilpin County,1,112,10,Box 2
Gilpin County,1,113,10,Box 2
Gilpin County,1,114,10,Box 2
Gilpin County,1,115,10,Box 2
Gilpin County,1,116,10,Box 2
Gilpin County,1,117,10,Box 2
Gilpin County,1,118,10,Box 2
Gilpin County,1,119,10,Box 2
Gilpin County,1,120,10,Box 2
Gilpin County,1,121,10,Box 2
Gilpin County,1,122,10,Box 2
Gilpin County,1,123,10,Box 2
Gilpin County,1,124,10,Box 2
Gilpin County,1,125,10,Box 2
Gilpin County,1,126,10,Box 2
Gilpin County,1,127,10,Box 2
Gilpin County,1,128,10,Box 2
Gilpin County,1,129,10,Box 2
Gilpin County,1,130,10,Box 2
Gilpin County,1,131,10,Box 2
Gilpin County,1,132,10,Box 2
Gilpin County,1,133,10,Box 2
Gilpin County,1,134,10,Box 2
Gilpin County,1,135,10,Box 2
Gilpin County,1,136,10,Box 2
Gilpin County,1,137,10,Box 2
Gilpin County,1,138,10,Box 2
Gilpin County,1,139,10,Box 2
Gilpin County,1,140,4,Box 2
Gilpin County,1,141,9,Box 2
Gilpin County,1,142,10,Box 2
Gilpin County,1,143,5,Box 2
