County,Device ID,Batch,# of Ballots,Location
Gunnison,1,1,25,box 1
Gunnison,1,2,25,box 1
Gunnison,1,3,25,box 1
Gunnison,1,4,24,box 1
Gunnison,1,5,25,box 1
Gunnison,1,6,25,box 1
Gunnison,1,7,25,box 1
Gunnison,1,8,25,box 1
Gunnison,1,9,25,box 1
Gunnison,1,10,25,box 1
Gunnison,1,11,25,box 1
Gunnison,1,12,25,box 1
Gunnison,1,13,25,box 1
Gunnison,1,14,25,box 1
Gunnison,1,15,10,box 1
Gunnison,1,16,25,box 1
Gunnison,1,17,25,box 1
Gunnison,1,18,25,box 1
Gunnison,1,19,25,box 1
Gunnison,1,20,19,box 1
Gunnison,1,21,25,box 1
Gunnison,1,22,25,box1
Gunnison,1,23,25,box1
Gunnison,1,24,1,box1
Gunnison,1,25,25,box1
Gunnison,1,26,25,box1
Gunnison,1,27,25,box1
Gunnison,1,28,10,box1
Gunnison,1,29,25,box1
Gunnison,1,30,25,box1
Gunnison,1,31,25,box1
Gunnison,1,32,25,box1
Gunnison,1,33,25,box1
Gunnison,1,34,25,box1
Gunnison,1,35,25,box1
Gunnison,1,36,23,box1
Gunnison,1,37,25,box1
Gunnison,1,38,25,box1
Gunnison,1,39,25,box1
Gunnison,1,40,25,box1
Gunnison,1,41,25,box1
Gunnison,1,42,25,box1
Gunnison,1,43,25,box1
Gunnison,1,44,17,box1
Gunnison,1,45,25,box1
Gunnison,1,46,25,box1
Gunnison,1,47,25,box1
Gunnison,1,48,25,box1
Gunnison,1,49,25,box1
Gunnison,1,50,25,box1
Gunnison,1,51,25,box1
Gunnison,1,52,25,box1
Gunnison,1,53,25,box2
Gunnison,1,54,25,box2
Gunnison,1,55,25,box2
Gunnison,1,56,24,box2
Gunnison,1,57,25,box2
Gunnison,1,58,25,box2
Gunnison,1,59,25,box2
Gunnison,1,60,8,box2
Gunnison,1,61,10,box2
Gunnison,1,62,25,box2
Gunnison,1,63,25,box2
Gunnison,1,64,25,box2
Gunnison,1,65,25,box2
Gunnison,1,66,25,box2
Gunnison,1,67,25,box2
Gunnison,1,68,25,box2
Gunnison,1,69,25,box2
Gunnison,1,70,25,box2
Gunnison,1,71,25,box2
Gunnison,1,72,25,box2
Gunnison,1,73,25,box2
Gunnison,1,74,7,box2
Gunnison,4,1,25,box2
Gunnison,4,2,25,box2
Gunnison,4,3,25,box2
Gunnison,4,4,6,box2
Gunnison,3,1,1,box2
Gunnison,1,75,8,box2
