County,Device ID,Batch,# of Ballot Cards,Location
Kit Carson,2,1,25,Box 1
Kit Carson,2,2,25,Box 1
Kit Carson,2,3,25,Box 1
Kit Carson,2,4,25,Box 1
Kit Carson,2,5,25,Box 1
Kit Carson,2,6,11,Box 1
Kit Carson,2,7,25,Box 1
Kit Carson,2,8,25,Box 1
Kit Carson,2,9,25,Box 1
Kit Carson,2,10,25,Box 1
Kit Carson,2,11,25,Box 1
Kit Carson,2,12,5,Box 1
Kit Carson,2,13,25,Box 1
Kit Carson,2,14,25,Box 1
Kit Carson,2,15,25,Box 1
Kit Carson,2,16,25,Box 1
Kit Carson,2,17,14,Box 1
Kit Carson,2,18,25,Box 1
Kit Carson,2,19,25,Box 1
Kit Carson,2,20,25,Box 1
Kit Carson,2,21,25,Box 1
Kit Carson,2,22,20,Box 1
Kit Carson,2,23,25,Box 1
Kit Carson,2,24,25,Box 1
Kit Carson,2,25,25,Box 1
Kit Carson,2,26,25,Box 1
Kit Carson,2,27,20,Box 1
Kit Carson,2,28,25,Box 1
Kit Carson,2,29,25,Box 1
Kit Carson,2,30,25,Box 1
Kit Carson,2,31,25,Box 1
Kit Carson,2,32,18,Box 1
Kit Carson,2,33,25,Box 1
Kit Carson,2,34,25,Box 1
Kit Carson,2,35,25,Box 1
Kit Carson,2,36,25,Box 1
Kit Carson,2,37,12,Box 1
Kit Carson,2,38,25,Box 2
Kit Carson,2,39,25,Box 2
Kit Carson,2,40,25,Box 2
Kit Carson,2,41,25,Box 2
Kit Carson,2,42,13,Box 2
Kit Carson,2,43,25,Box 2
Kit Carson,2,44,25,Box 2
Kit Carson,2,45,25,Box 2
Kit Carson,2,46,25,Box 2
Kit Carson,2,47,23,Box 2
Kit Carson,2,48,25,Box 2
Kit Carson,2,49,25,Box 2
Kit Carson,2,50,25,Box 2
Kit Carson,2,51,25,Box 2
Kit Carson,2,52,7,Box 2
Kit Carson,2,53,25,Box 2
Kit Carson,2,54,25,Box 2
Kit Carson,2,55,23,Box 2
Kit Carson,2,56,25,Box 2
Kit Carson,2,57,25,Box 2
Kit Carson,2,58,3,Box 2
Kit Carson,2,59,25,Box 2
Kit Carson,2,60,4,Box 2
Kit Carson,2,61,13,Box 2
Kit Carson,2,62,25,Box 2
Kit Carson,2,63,8,Box 2
Kit Carson,2,64,27,Box 2
