COUNTY,DEVICE ID,BATCH,# OF BALLOTS,BALLOT LOCATION
LAKE,2,1,10,Bin #3
LAKE,2,2,10,Bin #3
LAKE,2,3,10,Bin #3
LAKE,2,4,10,Bin #3
LAKE,2,5,10,Bin #3
LAKE,2,6,10,Bin #3
LAKE,2,7,10,Bin #3
LAKE,2,8,10,Bin #3
LAKE,2,9,10,Bin #3
LAKE,2,10,10,Bin #3
LAKE,2,11,9,Bin #3
LAKE,2,12,10,Bin #3
LAKE,2,13,10,Bin #3
LAKE,2,14,10,Bin #3
LAKE,2,15,10,Bin #3
LAKE,2,16,10,Bin #3
LAKE,2,17,10,Bin #3
LAKE,2,18,10,Bin #3
LAKE,2,19,10,Bin #3
LAKE,2,20,10,Bin #3
LAKE,2,21,10,Bin #3
LAKE,2,22,10,Bin #3
LAKE,2,23,10,Bin #3
LAKE,2,24,10,Bin #3
LAKE,2,25,10,Bin #3
LAKE,2,26,10,Bin #3
LAKE,2,27,10,Bin #3
LAKE,2,28,10,Bin #3
LAKE,2,29,10,Bin #3
LAKE,2,30,10,Bin #3
LAKE,2,31,10,Bin #3
LAKE,2,32,10,Bin #3
LAKE,2,33,10,Bin #3
LAKE,2,34,10,Bin #3
LAKE,2,35,10,Bin #3
LAKE,2,36,10,Bin #3
LAKE,2,37,12,Bin #3
LAKE,2,38,12,Bin #3
LAKE,2,39,12,Bin #3
LAKE,2,40,12,Bin #3
LAKE,2,41,10,Bin #3
LAKE,2,42,10,Bin #3
LAKE,2,43,10,Bin #3
LAKE,2,44,10,Bin #3
LAKE,2,45,10,Bin #3
LAKE,2,46,10,Bin #3
LAKE,2,47,10,Bin #3
LAKE,2,48,10,Bin #3
LAKE,2,49,10,Bin #3
LAKE,2,50,10,Bin #3
LAKE,2,51,10,Bin #3
LAKE,2,52,10,Bin #3
LAKE,2,53,10,Bin #3
LAKE,2,54,10,Bin #3
LAKE,2,55,10,Bin #3
LAKE,2,56,10,Bin #3
LAKE,2,57,0,Bin #3
LAKE,2,58,10,Bin #3
LAKE,2,59,6,Bin #3
LAKE,2,60,0,Bin #3
LAKE,2,61,9,Bin #3
LAKE,2,62,10,Bin #3
LAKE,2,63,10,Bin #3
LAKE,2,64,10,Bin #3
LAKE,2,65,10,Bin #3
LAKE,2,66,10,Bin #3
LAKE,2,67,10,Bin #3
LAKE,2,68,10,Bin #3
LAKE,2,69,10,Bin #3
LAKE,2,70,10,Bin #3
LAKE,2,71,10,Bin #3
LAKE,2,72,12,Bin #3
LAKE,2,73,15,Bin #3
LAKE,2,74,10,Bin #3
LAKE,2,75,10,Bin #3
LAKE,2,76,10,Bin #3
LAKE,2,77,10,Bin #3
LAKE,2,78,10,Bin #3
LAKE,2,79,10,Bin #3
LAKE,2,80,7,Bin #3
LAKE,2,81,10,Bin #3
LAKE,2,82,10,Bin #3
LAKE,2,83,10,Bin #3
LAKE,2,84,10,Bin #3
LAKE,2,85,10,Bin #3
LAKE,2,86,10,Bin #3
LAKE,2,87,10,Bin #3
LAKE,2,88,10,Bin #3
LAKE,2,89,10,Bin #3
LAKE,2,90,10,Bin #3
LAKE,2,91,10,Bin #3
LAKE,2,92,10,Bin #3
LAKE,2,92,10,Bin #3
LAKE,2,93,10,Bin #3
LAKE,2,94,6,Bin #3
LAKE,2,95,7,Bin #3
LAKE,2,96,10,Bin #3
LAKE,2,97,10,Bin #3
LAKE,2,98,10,Bin #3
LAKE,2,99,10,Bin #3
LAKE,2,100,10,Bin #3
LAKE,2,101,10,Bin #3
LAKE,2,102,10,Bin #3
LAKE,2,103,10,Bin #3
LAKE,2,104,10,Bin #3
LAKE,2,105,10,Bin #5
LAKE,2,106,10,Bin #5
LAKE,2,107,10,Bin #5
LAKE,2,108,4,Bin #5
LAKE,2,109,10,Bin #5
LAKE,2,110,10,Bin #5
LAKE,2,111,10,Bin #5
LAKE,2,112,10,Bin #5
LAKE,2,113,8,Bin #5
LAKE,2,114,11,Bin #5
LAKE,2,115,10,Bin #5
LAKE,2,116,10,Bin #5
LAKE,2,117,10,Bin #5
LAKE,2,118,10,Bin #5
LAKE,2,119,10,Bin #5
LAKE,2,120,10,Bin #5
LAKE,2,121,10,Bin #5
LAKE,2,122,10,Bin #5
LAKE,2,123,3,Bin #5
LAKE,2,124,10,Bin #5
LAKE,2,125,10,Bin #5
LAKE,2,126,8,Bin #5
LAKE,2,127,3,Bin #5
