County,Device ID,Batch,# of Ballot Cards,Location
Larimer,4,1,100,20034
Larimer,4,2,100,20034
Larimer,4,3,100,20034
Larimer,4,4,100,20010
Larimer,4,5,100,20010
Larimer,4,6,99,20010
Larimer,4,7,100,20026
Larimer,4,8,100,20026
Larimer,4,9,100,20026
Larimer,4,10,98,20028
Larimer,4,11,100,20028
Larimer,4,12,100,20028
Larimer,4,13,100,20002
Larimer,4,14,100,20002
Larimer,4,15,100,20002
Larimer,4,16,100,20015
Larimer,4,17,100,20015
Larimer,4,18,100,20015
Larimer,4,19,99,20027
Larimer,4,20,100,20027
Larimer,4,21,100,20027
Larimer,4,22,100,20021
Larimer,4,23,100,20021
Larimer,4,24,100,20021
Larimer,4,25,100,20047
Larimer,4,26,100,20047
Larimer,4,27,99,20047
Larimer,4,28,100,20051
Larimer,4,29,100,20051
Larimer,4,30,100,20051
Larimer,4,31,100,20062
Larimer,4,32,100,20062
Larimer,4,33,100,20062
Larimer,4,34,100,20057
Larimer,4,35,100,20057
Larimer,4,36,100,20057
Larimer,4,37,99,20061
Larimer,4,38,100,20061
Larimer,4,39,100,20061
Larimer,4,40,100,20067
Larimer,4,41,100,20067
Larimer,4,42,100,20067
Larimer,4,43,100,20082
Larimer,4,44,99,20082
Larimer,4,45,100,20082
Larimer,4,46,99,20097
Larimer,4,47,100,20097
Larimer,4,48,100,20097
Larimer,4,49,100,20092
Larimer,4,50,99,20092
Larimer,4,51,100,20092
Larimer,4,52,100,20088
Larimer,4,53,100,20088
Larimer,4,54,100,20088
Larimer,4,55,8,3203
Larimer,4,56,18,3201
Larimer,4,57,1,9014
Larimer,4,58,3,9007
Larimer,4,59,1,9015
Larimer,4,60,100,20106
Larimer,4,61,100,20106
Larimer,4,62,100,20106
Larimer,4,63,100,20104
Larimer,4,64,100,20104
Larimer,4,65,100,20104
Larimer,4,66,100,20112
Larimer,4,67,100,20112
Larimer,4,68,99,20112
Larimer,4,69,100,20111
Larimer,4,70,100,20111
Larimer,4,71,100,20111
Larimer,4,72,99,20103
Larimer,4,73,100,20103
Larimer,4,74,100,20103
Larimer,4,75,100,20116
Larimer,4,76,27,20116
Larimer,4,77,100,20120
Larimer,4,78,100,20120
Larimer,4,79,100,20120
Larimer,4,80,99,20117
Larimer,4,81,100,20117
Larimer,4,82,100,20117
Larimer,4,83,100,20119
Larimer,4,84,100,20119
Larimer,4,85,100,20119
Larimer,4,86,1,9029
Larimer,4,87,1,9027
Larimer,4,88,3,9001
Larimer,4,89,2,9002
Larimer,4,90,2,9004
Larimer,4,91,3,9009
Larimer,4,92,1,9010
Larimer,4,93,1,9017
Larimer,4,94,1,9022
Larimer,4,95,1,9023
Larimer,4,96,2,9024
Larimer,4,98,15,1002
Larimer,4,99,5,1002
Larimer,4,100,11,1003
Larimer,4,101,4,1003
Larimer,4,102,17,1004
Larimer,4,103,4,1004
Larimer,4,105,100,20140
Larimer,4,106,99,20140
Larimer,4,107,100,20140
Larimer,4,108,100,20146
Larimer,4,109,99,20146
Larimer,4,110,99,20146
Larimer,4,111,100,20136
Larimer,4,112,100,20136
Larimer,4,113,100,20136
Larimer,4,114,2,9036
Larimer,4,115,6,9037
Larimer,4,116,4,9038
Larimer,4,117,2,9039
Larimer,4,118,2,9040
Larimer,4,119,3,1005
Larimer,4,120,99,20124
Larimer,4,121,100,20124
Larimer,4,122,100,20124
Larimer,4,123,98,20159
Larimer,4,124,100,20159
Larimer,4,125,54,20159
Larimer,4,126,21,1006
Larimer,4,127,4,1006
Larimer,4,128,100,20135
Larimer,4,129,100,20135
Larimer,4,130,100,20135
Larimer,4,131,100,20153
Larimer,4,132,99,20153
Larimer,4,133,99,20153
Larimer,4,134,100,20171
Larimer,4,135,100,20171
Larimer,4,136,34,20171
Larimer,4,137,100,20160
Larimer,4,138,100,20160
Larimer,4,139,100,20160
Larimer,4,140,2,9042
Larimer,4,141,2,9041
Larimer,4,142,1,3212
Larimer,4,143,6,3205
Larimer,4,144,11,3216
Larimer,4,145,100,20183
Larimer,4,146,100,20183
Larimer,4,147,100,20183
Larimer,4,148,100,20188
Larimer,4,149,100,20188
Larimer,4,150,100,20188
Larimer,4,151,100,20172
Larimer,4,152,100,20172
Larimer,4,153,100,20172
Larimer,4,154,100,20196
Larimer,4,155,100,20196
Larimer,4,156,100,20196
Larimer,4,157,100,20179
Larimer,4,158,100,20179
Larimer,4,159,100,20179
Larimer,4,160,100,20189
Larimer,4,161,32,20189
Larimer,4,162,18,1007
Larimer,4,163,5,1007
Larimer,4,164,4,3223
Larimer,4,165,100,20202
Larimer,4,166,100,20202
Larimer,4,167,98,20202
Larimer,4,168,5,9044
Larimer,4,169,3,9043
Larimer,4,170,10,3225
Larimer,4,171,100,20207
Larimer,4,172,100,20207
Larimer,4,173,82,20207
Larimer,4,174,100,20214
Larimer,4,175,100,20214
Larimer,4,176,100,20214
Larimer,4,177,99,20220
Larimer,4,178,100,20220
Larimer,4,179,40,20220
Larimer,4,180,100,20222
Larimer,4,181,100,20222
Larimer,4,182,100,20222
Larimer,4,183,100,20225
Larimer,4,184,100,20225
Larimer,4,185,39,20225
Larimer,4,186,100,20236
Larimer,4,187,100,20236
Larimer,4,188,100,20236
Larimer,4,189,100,20223
Larimer,4,190,100,20223
Larimer,4,191,100,20223
Larimer,4,192,99,20250
Larimer,4,193,100,20250
Larimer,4,194,19,20250
Larimer,4,195,100,20251
Larimer,4,196,100,20251
Larimer,4,197,100,20251
Larimer,4,198,99,20257
Larimer,4,199,100,20257
Larimer,4,200,100,20257
Larimer,4,201,99,20249
Larimer,4,202,100,20249
Larimer,4,203,100,20249
Larimer,4,204,99,20248
Larimer,4,205,100,20248
Larimer,4,206,100,20248
Larimer,4,207,1,9050
Larimer,4,208,12,1008
Larimer,4,209,3,1008
Larimer,4,210,17,9046
Larimer,4,211,1,9045
Larimer,4,212,99,20271
Larimer,4,213,100,20271
Larimer,4,214,100,20271
Larimer,4,215,100,20268
Larimer,4,216,100,20268
Larimer,4,217,100,20268
Larimer,4,218,50,3235
Larimer,4,219,42,3230
Larimer,4,220,7,3227
Larimer,4,221,99,20274
Larimer,4,222,100,20274
Larimer,4,223,100,20274
Larimer,4,224,14,1009
Larimer,4,225,9,1009
Larimer,4,226,100,20281
Larimer,4,227,100,20281
Larimer,4,228,100,20281
Larimer,4,229,100,20286
Larimer,4,230,100,20286
Larimer,4,231,100,20286
Larimer,4,232,100,20288
Larimer,4,233,99,20288
Larimer,4,234,101,20288
Larimer,4,235,3,9048
Larimer,4,236,7,9049
Larimer,4,237,1,9051
Larimer,4,238,9,9047
Larimer,4,239,10,1010
Larimer,4,240,100,20295
Larimer,4,241,100,20295
Larimer,4,242,100,20295
Larimer,4,243,100,20298
Larimer,4,244,100,20298
Larimer,4,245,100,20298
Larimer,4,246,67,20309
Larimer,4,247,100,20304
Larimer,4,248,100,20304
Larimer,4,249,100,20304
Larimer,4,250,10,1011
Larimer,5,1,100,20000
Larimer,5,2,100,20000
Larimer,5,3,99,20000
Larimer,5,4,100,20014
Larimer,5,5,100,20014
Larimer,5,6,87,20014
Larimer,5,7,99,20018
Larimer,5,8,99,20018
Larimer,5,9,100,20018
Larimer,5,10,100,20037
Larimer,5,11,99,20037
Larimer,5,12,62,20037
Larimer,5,13,99,20032
Larimer,5,14,100,20032
Larimer,5,15,99,20032
Larimer,5,16,100,20076
Larimer,5,17,100,20076
Larimer,5,18,100,20076
Larimer,5,19,14,8004
Larimer,5,20,23,8001
Larimer,5,21,14,8003
Larimer,5,22,100,20086
Larimer,5,23,100,20086
Larimer,5,24,100,20086
Larimer,5,25,35,8006
Larimer,6,1,100,20009
Larimer,6,2,100,20009
Larimer,6,3,100,20009
Larimer,6,4,100,20008
Larimer,6,5,100,20008
Larimer,6,6,100,20008
Larimer,6,7,100,20003
Larimer,6,8,100,20003
Larimer,6,9,100,20003
Larimer,6,10,100,20012
Larimer,6,11,100,20012
Larimer,6,12,100,20012
Larimer,6,13,99,20019
Larimer,6,14,100,20019
Larimer,6,15,100,20019
Larimer,6,16,100,20029
Larimer,6,17,100,20029
Larimer,6,18,100,20029
Larimer,6,19,100,20030
Larimer,6,20,100,20030
Larimer,6,21,99,20030
Larimer,6,22,100,20023
Larimer,6,23,100,20023
Larimer,6,24,100,20023
Larimer,6,25,100,20050
Larimer,6,26,100,20050
Larimer,6,27,100,20050
Larimer,6,28,99,20041
Larimer,6,29,100,20041
Larimer,6,30,100,20041
Larimer,6,31,100,20045
Larimer,6,32,100,20045
Larimer,6,33,100,20045
Larimer,6,34,99,20070
Larimer,6,35,100,20070
Larimer,6,36,100,20070
Larimer,6,37,100,20056
Larimer,6,38,100,20056
Larimer,6,39,99,20056
Larimer,6,40,100,20058
Larimer,6,41,100,20058
Larimer,6,42,48,20058
Larimer,6,43,98,20049
Larimer,6,44,100,20049
Larimer,6,45,100,20049
Larimer,6,46,81,20069
Larimer,6,47,100,20064
Larimer,6,48,100,20064
Larimer,6,49,100,20064
Larimer,6,50,99,20071
Larimer,6,51,99,20071
Larimer,6,52,100,20071
Larimer,6,53,16,20102
Larimer,6,54,97,20096
Larimer,6,55,99,20096
Larimer,6,56,98,20096
Larimer,6,57,100,20099
Larimer,6,58,100,20099
Larimer,6,59,100,20099
Larimer,6,60,100,20083
Larimer,6,61,99,20083
Larimer,6,62,100,20083
Larimer,6,63,100,20091
Larimer,6,64,99,20091
Larimer,6,65,99,20091
Larimer,6,66,99,20094
Larimer,6,67,100,20094
Larimer,6,68,100,20094
Larimer,6,69,5,3202
Larimer,6,70,1,9030
Larimer,6,71,1,9011
Larimer,6,72,1,9034
Larimer,6,73,2,9035
Larimer,6,74,2,9028
Larimer,6,75,99,20127
Larimer,6,76,99,20127
Larimer,6,77,100,20127
Larimer,6,78,99,20109
Larimer,6,79,100,20109
Larimer,6,80,100,20109
Larimer,6,81,99,20118
Larimer,6,82,99,20118
Larimer,6,83,100,20118
Larimer,6,84,100,20126
Larimer,6,85,100,20126
Larimer,6,86,100,20126
Larimer,6,87,100,20108
Larimer,6,88,99,20108
Larimer,6,89,99,20108
Larimer,6,90,100,20133
Larimer,6,91,62,20133
Larimer,6,92,98,20148
Larimer,6,93,82,20148
Larimer,6,94,100,20145
Larimer,6,95,99,20145
Larimer,6,96,100,20145
Larimer,6,97,100,20138
Larimer,6,98,99,20138
Larimer,6,99,100,20138
Larimer,6,100,100,20142
Larimer,6,101,99,20142
Larimer,6,102,100,20142
Larimer,6,103,99,20157
Larimer,6,104,100,20157
Larimer,6,105,100,20157
Larimer,6,106,100,20163
Larimer,6,107,100,20163
Larimer,6,108,18,20163
Larimer,6,109,100,20167
Larimer,6,110,100,20167
