County,Device ID,Batch,# of Ballot Cards,Location
Logan,1,1,25,1
Logan,1,2,25,1
Logan,1,3,25,1
Logan,1,4,25,1
Logan,1,5,25,1
Logan,1,6,25,1
Logan,1,7,25,1
Logan,1,8,25,1
Logan,1,9,25,1
Logan,1,10,25,1
Logan,1,11,25,1
Logan,1,12,25,1
Logan,1,13,29,1
Logan,1,14,25,2
Logan,1,15,25,2
Logan,1,16,25,2
Logan,1,17,25,2
Logan,1,18,25,2
Logan,1,19,25,2
Logan,1,20,25,2
Logan,1,21,25,2
Logan,1,22,25,2
Logan,1,23,25,2
Logan,1,24,28,2
Logan,1,25,25,3
Logan,1,26,25,3
Logan,1,27,25,3
Logan,1,28,25,3
Logan,1,29,25,3
Logan,1,30,25,3
Logan,1,31,25,3
Logan,1,32,25,3
Logan,1,33,25,3
Logan,1,34,25,3
Logan,1,35,27,3
Logan,1,36,25,4
Logan,1,37,25,4
Logan,1,38,25,4
Logan,1,39,25,4
Logan,1,40,25,4
Logan,1,41,25,4
Logan,1,42,25,4
Logan,1,43,25,4
Logan,1,44,21,4
Logan,1,45,25,5
Logan,1,46,25,5
Logan,1,47,25,5
Logan,1,48,25,5
Logan,1,49,25,5
Logan,1,50,25,5
Logan,1,51,25,5
Logan,1,52,25,5
Logan,1,53,25,5
Logan,1,54,25,5
Logan,1,55,25,5
Logan,1,56,25,5
Logan,1,57,25,5
Logan,1,58,20,5
Logan,1,59,25,6
Logan,1,60,25,6
Logan,1,61,25,6
Logan,1,62,25,6
Logan,1,63,25,6
Logan,1,64,25,6
Logan,1,65,25,6
Logan,1,66,25,6
Logan,1,67,32,6
Logan,1,68,25,7
Logan,1,69,25,7
Logan,1,70,25,7
Logan,1,71,25,7
Logan,1,72,25,7
Logan,1,73,25,7
Logan,1,74,25,7
Logan,1,75,25,7
Logan,1,76,12,7
Logan,1,77,25,7
Logan,1,78,25,8
Logan,1,79,25,8
Logan,1,80,25,8
Logan,1,81,25,8
Logan,1,82,25,8
Logan,1,83,25,8
Logan,1,84,25,8
Logan,1,85,25,8
Logan,1,86,25,8
Logan,1,87,25,8
Logan,1,88,25,8
Logan,1,89,27,8
Logan,1,90,25,8
Logan,1,91,25,9
Logan,1,92,25,9
Logan,1,93,25,9
Logan,1,94,25,9
Logan,1,95,25,9
Logan,1,96,25,9
Logan,1,97,25,9
Logan,1,98,22,9
Logan,1,99,25,10
Logan,1,100,25,10
Logan,1,101,25,10
Logan,1,102,25,10
Logan,1,103,25,10
Logan,1,104,25,10
Logan,1,105,25,10
Logan,1,106,25,10
Logan,1,107,18,10
Logan,1,108,25,10
Logan,1,109,25,11
Logan,1,110,25,11
Logan,1,111,25,11
Logan,1,112,25,11
Logan,1,113,25,11
Logan,1,114,25,11
Logan,1,115,12,11
Logan,1,116,25,11
Logan,1,117,25,12
Logan,1,118,25,12
Logan,1,119,25,12
Logan,1,120,25,12
Logan,1,121,25,12
Logan,1,122,25,12
Logan,1,123,25,12
Logan,1,124,25,12
Logan,1,125,25,12
Logan,1,126,25,12
Logan,1,127,25,12
Logan,1,128,25,12
Logan,1,129,6,12
Logan,1,130,25,13
Logan,1,131,25,13
Logan,1,132,25,13
Logan,1,133,25,13
Logan,1,134,25,13
Logan,1,135,25,13
Logan,1,136,25,13
Logan,1,137,25,13
Logan,1,138,25,13
Logan,1,139,25,13
Logan,1,140,25,13
Logan,1,141,25,13
Logan,1,142,25,13
Logan,1,143,25,13
Logan,1,144,24,13
Logan,1,145,25,14
Logan,1,146,25,14
Logan,1,147,25,14
Logan,1,148,25,14
Logan,1,149,25,14
Logan,1,150,25,14
Logan,1,151,25,14
Logan,1,152,25,14
Logan,1,153,20,14
Logan,1,154,25,14
Logan,1,155,25,14
Logan,1,156,25,14
Logan,1,157,25,14
Logan,1,158,25,14
Logan,1,159,25,14
Logan,1,160,10,14
Logan,1,161,25,14
Logan,1,162,25,15
Logan,1,163,25,15
Logan,1,164,25,15
Logan,1,165,25,15
Logan,1,166,25,15
Logan,1,167,25,15
Logan,1,168,10,15
Logan,1,169,25,15
Logan,1,170,25,15
Logan,1,171,12,15
Logan,1,172,25,15
Logan,1,173,25,15
Logan,1,174,25,15
Logan,1,175,28,15
Logan,1,176,25,15
Logan,1,177,25,15
Logan,1,178,9,15
Logan,1,179,25,15
Logan,1,180,30,15
Logan,1,181,31,15
Logan,1,182,33,15
Logan,1,183,21,16
Logan,1,184,25,16
Logan,1,185,25,16
Logan,1,186,25,16
Logan,1,187,12,16
Logan,1,188,25,16
Logan,1,189,26,16
Logan,1,190,25,16
Logan,1,191,10,16
Logan,1,192,25,16
Logan,1,193,22,16
Logan,1,194,24,16
Logan,1,195,25,16
Logan,1,196,16,16
Logan,1,197,21,17
