County,Device ID,Batch,# of Ballot Cards,Location
Morgan,2,1,20,box 1-G
Morgan,2,2,20,box 1-G
Morgan,2,3,20,box 1-G
Morgan,2,4,20,box 1-G
Morgan,2,5,20,box 1-G
Morgan,2,6,20,box 1-G
Morgan,2,7,20,box 1-G
Morgan,2,8,20,box 1-G
Morgan,2,9,20,box 1-G
Morgan,2,10,20,box 1-G
Morgan,2,11,20,box 1-G
Morgan,2,12,20,box 1-G
Morgan,2,13,20,box 1-G
Morgan,2,14,20,box 1-G
Morgan,2,15,20,box 1-G
Morgan,2,16,20,box 1-G
Morgan,2,17,20,box 1-G
Morgan,2,18,20,box 1-G
Morgan,2,19,20,box 1-G
Morgan,2,20,20,box 1-G
Morgan,2,21,20,box 1-G
Morgan,2,22,20,box 1-G
Morgan,2,23,20,box 1-G
Morgan,2,24,20,box 1-G
Morgan,2,25,20,box 1-G
Morgan,2,26,20,box 1-G
Morgan,2,27,20,box 1-G
Morgan,2,28,20,box 1-G
Morgan,2,29,20,box 1-G
Morgan,2,30,20,box 1-G
Morgan,2,31,20,box 1-G
Morgan,2,32,16,box 1-G
Morgan,2,33,20,box 1-G
Morgan,2,34,20,box 1-G
Morgan,2,35,20,box 1-G
Morgan,2,36,20,box 1-G
Morgan,2,37,20,box 1-G
Morgan,2,38,20,box 1-G
Morgan,2,39,20,box 1-G
Morgan,2,40,20,box 1-G
Morgan,2,41,20,box 1-G
Morgan,2,42,20,box 1-G
Morgan,2,43,20,box 1-G
Morgan,2,44,20,box 1-G
Morgan,2,45,20,box 1-G
Morgan,2,46,20,box 1-G
Morgan,2,47,20,box 1-G
Morgan,2,48,20,box 1-G
Morgan,2,49,20,box 1-G
Morgan,2,50,20,box 1-G
Morgan,2,51,20,box 1-G
Morgan,2,52,20,box 1-G
Morgan,2,53,20,box 1-G
Morgan,2,54,20,box 1-G
Morgan,2,55,20,box 1-G
Morgan,2,56,20,box 1-G
Morgan,2,57,20,box 1-G
Morgan,2,58,20,box 1-G
Morgan,2,59,20,box 1-G
Morgan,2,60,20,box 1-G
Morgan,2,61,20,box 1-G
Morgan,2,62,20,box 1-G
Morgan,2,63,20,box 1-G
Morgan,2,64,20,box 1-G
Morgan,2,65,20,box 1-G
Morgan,2,66,20,box 1-G
Morgan,2,67,20,box 1-G
Morgan,2,68,8,box 1-G
Morgan,2,69,20,box 2-G
Morgan,2,70,20,box 2-G
Morgan,2,71,20,box 2-G
Morgan,2,72,20,box 2-G
Morgan,2,73,20,box 2-G
Morgan,2,74,20,box 2-G
Morgan,2,75,20,box 2-G
Morgan,2,76,20,box 2-G
Morgan,2,77,20,box 2-G
Morgan,2,78,20,box 2-G
Morgan,2,79,20,box 2-G
Morgan,2,80,20,box 2-G
Morgan,2,81,20,box 2-G
Morgan,2,82,20,box 2-G
Morgan,2,83,20,box 2-G
Morgan,2,84,12,box 2-G
Morgan,2,85,20,box 2-G
