County,Device Id,Batch,# of ballots,Location, 
Phillips,1,1,25,vault,
Phillips,1,2,25,vault,
Phillips,1,3,25,vault,
Phillips,1,4,25,vault,
Phillips,1,5,25,vault,
Phillips,1,6,25,vault,
Phillips,1,7,25,vault,
Phillips,1,8,25,vault,
Phillips,1,9,25,vault,
Phillips,1,10,25,vault,
Phillips,1,11,25,vault,
Phillips,1,12,25,vault,
Phillips,1,13,25,vault,
Phillips,1,14,25,vault,
Phillips,1,15,25,vault,
Phillips,1,16,25,vault,
Phillips,1,17,25,vault,
Phillips,1,18,25,vault,
Phillips,1,19,25,vault,
Phillips,1,20,25,vault,
Phillips,1,21,25,vault,
Phillips,1,22,25,vault,
Phillips,1,23,25,vault,
Phillips,1,24,25,vault,
Phillips,1,25,25,vault,
Phillips,1,26,25,vault,
Phillips,1,27,25,vault,
Phillips,1,28,25,vault,
Phillips,1,29,25,vault,
Phillips,1,30,25,vault,
Phillips,1,31,25,vault,
Phillips,1,32,25,vault,
Phillips,1,33,25,vault,
Phillips,1,34,25,vault,
Phillips,1,35,25,vault,
Phillips,1,36,25,vault,
Phillips,1,37,25,vault,
Phillips,1,38,25,vault,
Phillips,1,39,25,city dup,
Phillips,1,40,25,city dup,
Phillips,1,41,25,city dup,
Phillips,1,42,25,city dup,
Phillips,1,43,25,city dup,
Phillips,1,44,25,city dup,
Phillips,1,45,25,city dup,
Phillips,1,46,25,city dup,
Phillips,1,47,25,city dup,
Phillips,1,48,25,city dup,
Phillips,1,49,25,city dup,
Phillips,1,50,25,city dup,
Phillips,1,51,25,city dup,
Phillips,1,52,25,city dup,
Phillips,1,53,25,city dup,
Phillips,1,54,25,city dup,
Phillips,1,55,25,city dup,
Phillips,1,56,25,city dup,
Phillips,1,57,25,city dup,
Phillips,1,58,17,city dup,
Phillips,1,59,19,landowner,
Phillips,1,60,4,cured let,
