County,Device ID,Batch,# of Ballots,Location
Teller,1,1,25,Bin #1
Teller,1,2,25,Bin #1
Teller,1,3,15,Bin #1
Teller,1,4,25,Bin #1
Teller,1,5,25,Bin #1
Teller,1,6,17,Bin #1
Teller,1,7,24,Bin #1
Teller,1,8,25,Bin #1
Teller,1,9,25,Bin #1
Teller,1,10,8,Bin #1
Teller,1,11,17,Bin #1
Teller,1,12,19,Bin #1
Teller,1,13,25,Bin #1
Teller,1,14,25,Bin #1
Teller,1,15,25,Bin #1
Teller,1,16,4,Bin #1
Teller,1,17,4,Bin #1
Teller,1,18,25,Bin #1
Teller,1,19,10,Bin #1
Teller,1,20,3,Bin #1
Teller,1,21,24,Bin #1
Teller,1,22,12,Bin #1
Teller,1,23,14,Bin #1
Teller,1,24,25,Bin #1
Teller,1,25,25,Bin #1
Teller,1,26,25,Bin #1
Teller,1,27,25,Bin #1
Teller,1,28,25,Bin #1
Teller,1,29,10,Bin #1
Teller,1,30,25,Bin #1
Teller,1,31,19,Bin #1
Teller,1,32,6,Bin #1
Teller,1,33,24,Bin #1
Teller,1,34,14,Bin #1
Teller,1,35,24,Bin #1
Teller,1,36,13,Bin #1
Teller,1,37,25,Bin #1
Teller,1,38,25,Bin #1
Teller,1,39,3,Bin #2
Teller,1,40,21,Bin #2
Teller,1,41,25,Bin #2
Teller,1,42,24,Bin #2
Teller,1,43,9,Bin #2
Teller,1,44,25,Bin #2
Teller,1,45,25,Bin #2
Teller,1,46,17,Bin #2
Teller,1,48,10,Bin #2
Teller,1,49,25,Bin #2
Teller,1,50,25,Bin #2
Teller,1,51,25,Bin #2
Teller,1,52,22,Bin #2
Teller,1,53,6,Bin #2
Teller,1,54,20,Bin #2
Teller,1,55,14,Bin #2
Teller,1,56,3,Bin #2
