County,Device ID,Batch,# of Ballot Cards,Location
Weld,101,1,100,Box 2
Weld,101,2,100,Box 2
Weld,101,3,100,Box 2
Weld,101,4,100,Box 2
Weld,101,5,100,Box 2
Weld,101,6,100,Box 2
Weld,101,7,100,Box 3
Weld,101,8,100,Box 3
Weld,101,9,100,Box 3
Weld,101,10,100,Box 3
Weld,101,11,100,Box 3
Weld,101,12,100,Box 3
Weld,101,13,100,Box 5
Weld,101,14,100,Box 5
Weld,101,15,100,Box 5
Weld,101,16,100,Box 5
Weld,101,17,100,Box 5
Weld,101,18,100,Box 5
Weld,101,19,100,Box 6
Weld,101,20,100,Box 6
Weld,101,21,100,Box 6
Weld,101,22,100,Box 6
Weld,101,23,100,Box 6
Weld,101,24,100,Box 6
Weld,101,25,100,Box 8
Weld,101,26,100,Box 8
Weld,101,27,100,Box 8
Weld,101,28,100,Box 8
Weld,101,29,100,Box 8
Weld,101,30,100,Box 8
Weld,101,31,100,Box 10
Weld,101,32,100,Box 10
Weld,101,33,100,Box 10
Weld,101,34,100,Box 10
Weld,101,35,100,Box 10
Weld,101,36,100,Box 10
Weld,101,37,99,Box 12
Weld,101,38,100,Box 12
Weld,101,39,99,Box 12
Weld,101,40,100,Box 12
Weld,101,41,100,Box 12
Weld,101,42,100,Box 12
Weld,101,43,100,Box 13
Weld,101,44,99,Box 13
Weld,101,45,100,Box 13
Weld,101,46,100,Box 13
Weld,101,47,100,Box 13
Weld,101,48,100,Box 13
Weld,101,49,100,Box 16
Weld,101,50,99,Box 16
Weld,101,51,100,Box 16
Weld,101,52,100,Box 16
Weld,101,53,100,Box 16
Weld,101,54,100,Box 16
Weld,101,55,100,Box 17
Weld,101,56,100,Box 17
Weld,101,57,100,Box 17
Weld,101,58,100,Box 17
Weld,101,59,100,Box 17
Weld,101,60,100,Box 17
Weld,101,61,100,Box 19
Weld,101,62,100,Box 19
Weld,101,63,100,Box 19
Weld,101,64,100,Box 19
Weld,101,65,100,Box 19
Weld,101,66,100,Box 19
Weld,101,67,100,Box 21
Weld,101,68,100,Box 21
Weld,101,69,99,Box 21
Weld,101,70,100,Box 21
Weld,101,71,100,Box 21
Weld,101,72,100,Box 21
Weld,101,73,91,Box 22
Weld,101,74,100,Box 22
Weld,101,75,100,Box 22
Weld,101,76,100,Box 22
Weld,101,77,100,Box 22
Weld,101,78,99,Box 22
Weld,101,79,100,Box 24
Weld,101,80,100,Box 24
Weld,101,81,100,Box 24
Weld,101,82,100,Box 24
Weld,101,83,98,Box 24
Weld,101,84,100,Box 24
Weld,101,85,100,Box 27
Weld,101,86,100,Box 27
Weld,101,87,100,Box 27
Weld,101,88,100,Box 27
Weld,101,89,99,Box 27
Weld,101,90,100,Box 27
Weld,101,91,100,Box 29
Weld,101,92,100,Box 29
Weld,101,93,100,Box 29
Weld,101,94,100,Box 29
Weld,101,95,99,Box 29
Weld,101,96,100,Box 29
Weld,101,97,100,Box 30
Weld,101,98,100,Box 30
Weld,101,99,100,Box 30
Weld,101,100,100,Box 30
Weld,101,101,100,Box 30
Weld,101,102,100,Box 30
Weld,101,103,100,Box 32
Weld,101,104,100,Box 32
Weld,101,105,100,Box 32
Weld,101,106,100,Box 32
Weld,101,107,100,Box 32
Weld,101,108,100,Box 32
Weld,101,109,100,Box 34
Weld,101,110,100,Box 34
Weld,101,111,100,Box 34
Weld,101,112,100,Box 34
Weld,101,113,100,Box 34
Weld,101,114,99,Box 34
Weld,101,115,100,Box 36
Weld,101,116,100,Box 36
Weld,101,117,100,Box 36
Weld,101,118,99,Box 36
Weld,101,119,100,Box 36
Weld,101,120,100,Box 36
Weld,101,121,100,Box 39
Weld,101,122,100,Box 39
Weld,101,123,100,Box 39
Weld,101,124,100,Box 39
Weld,101,125,99,Box 39
Weld,101,126,100,Box 39
Weld,101,127,100,Box 40
Weld,101,128,100,Box 40
Weld,101,129,100,Box 40
Weld,101,130,100,Box 40
Weld,101,131,100,Box 40
Weld,101,132,100,Box 40
Weld,101,133,100,Box 42
Weld,101,134,100,Box 42
Weld,101,135,100,Box 42
Weld,101,136,100,Box 42
Weld,101,137,100,Box 42
Weld,101,138,99,Box 42
Weld,101,139,100,Box 43
Weld,101,140,100,Box 43
Weld,101,141,100,Box 43
Weld,101,142,100,Box 43
Weld,101,143,100,Box 43
Weld,101,144,100,Box 43
Weld,101,145,100,Box 46
Weld,101,146,100,Box 46
Weld,101,147,100,Box 46
Weld,101,148,100,Box 46
Weld,101,149,100,Box 46
Weld,101,150,99,Box 46
Weld,101,151,100,Box 48
Weld,101,152,99,Box 48
Weld,101,153,100,Box 48
Weld,101,154,100,Box 48
Weld,101,155,100,Box 48
Weld,101,156,99,Box 48
Weld,101,157,100,Box 50
Weld,101,158,100,Box 50
Weld,101,159,100,Box 50
Weld,101,160,100,Box 50
Weld,101,161,100,Box 50
Weld,101,162,100,Box 50
Weld,101,163,99,Box 52
Weld,101,164,100,Box 52
Weld,101,165,100,Box 52
Weld,101,166,100,Box 52
Weld,101,167,100,Box 52
Weld,101,168,100,Box 52
Weld,101,169,100,Box 54
Weld,101,170,100,Box 54
Weld,101,171,100,Box 54
Weld,101,172,100,Box 54
Weld,101,173,100,Box 54
Weld,101,174,100,Box 54
Weld,101,175,100,Box 56
Weld,101,176,100,Box 56
Weld,101,177,100,Box 56
Weld,101,178,100,Box 56
Weld,101,179,100,Box 56
Weld,101,180,100,Box 56
Weld,101,181,99,Box 57
Weld,101,182,100,Box 57
Weld,101,183,100,Box 57
Weld,101,184,100,Box 57
Weld,101,185,100,Box 57
Weld,101,186,100,Box 57
Weld,101,187,100,Box 59
Weld,101,188,100,Box 59
Weld,101,189,100,Box 59
Weld,101,190,100,Box 59
Weld,101,191,100,Box 59
Weld,101,192,100,Box 59
Weld,101,193,100,Box 61
Weld,101,194,99,Box 61
Weld,101,195,100,Box 61
Weld,101,196,100,Box 61
Weld,101,197,100,Box 61
Weld,101,198,100,Box 61
Weld,101,199,100,Box 64
Weld,101,200,100,Box 64
Weld,101,201,100,Box 64
Weld,101,202,98,Box 64
Weld,101,203,100,Box 64
Weld,101,204,100,Box 64
Weld,101,205,99,Box 66
Weld,101,206,100,Box 66
Weld,101,207,100,Box 66
Weld,101,208,100,Box 66
Weld,101,209,100,Box 66
Weld,101,210,100,Box 66
Weld,101,211,100,Box 67
Weld,101,212,100,Box 67
Weld,101,213,100,Box 67
Weld,101,214,99,Box 67
Weld,101,215,100,Box 67
Weld,101,216,100,Box 67
Weld,101,217,100,Box 69
Weld,101,218,100,Box 69
Weld,101,219,100,Box 69
Weld,101,220,100,Box 69
Weld,101,221,99,Box 69
Weld,101,222,100,Box 69
Weld,101,223,100,Box 71
Weld,101,224,100,Box 71
Weld,101,225,100,Box 71
Weld,101,226,100,Box 71
Weld,101,227,99,Box 71
Weld,101,228,99,Box 71
Weld,101,229,100,Box 73
Weld,101,230,100,Box 73
Weld,101,231,100,Box 73
Weld,102,199,99,Box 73
Weld,101,232,100,Box 73
Weld,101,233,100,Box 73
Weld,101,234,100,Box 75
Weld,101,235,100,Box 75
Weld,101,236,100,Box 75
Weld,101,237,100,Box 75
Weld,101,238,100,Box 75
Weld,101,239,100,Box 75
Weld,101,240,100,Box 76
Weld,101,241,100,Box 76
Weld,101,242,100,Box 76
Weld,101,243,100,Box 76
Weld,101,244,100,Box 76
Weld,101,245,98,Box 76
Weld,101,246,99,Box 80
Weld,101,247,100,Box 80
Weld,101,248,100,Box 80
Weld,101,249,100,Box 80
Weld,101,250,100,Box 80
Weld,101,251,101,Box 80
Weld,101,252,100,Box 81
Weld,101,253,100,Box 81
Weld,101,254,100,Box 81
Weld,101,255,100,Box 81
Weld,101,256,100,Box 81
Weld,102,1,100,Box 1
Weld,102,2,100,Box 1
Weld,102,3,100,Box 1
Weld,102,4,100,Box 1
Weld,102,5,100,Box 1
Weld,102,6,100,Box 1
Weld,102,7,100,Box 4
Weld,102,8,100,Box 4
Weld,102,9,100,Box 4
Weld,102,10,100,Box 4
Weld,102,11,100,Box 4
Weld,102,12,100,Box 4
Weld,102,13,100,Box 7
Weld,102,14,100,Box 7
Weld,102,15,100,Box 7
Weld,102,16,100,Box 7
Weld,102,17,100,Box 7
Weld,102,18,100,Box 7
Weld,102,19,100,Box 9
Weld,102,20,100,Box 9
Weld,102,21,100,Box 9
Weld,102,22,100,Box 9
Weld,102,23,99,Box 9
Weld,102,24,100,Box 9
Weld,102,25,100,Box 11
Weld,102,26,100,Box 11
Weld,102,27,100,Box 11
Weld,102,28,100,Box 11
Weld,102,29,100,Box 11
Weld,102,30,99,Box 11
Weld,102,31,100,Box 14
Weld,102,32,100,Box 14
Weld,102,33,100,Box 14
Weld,102,34,100,Box 14
Weld,102,35,100,Box 14
Weld,102,36,100,Box 14
Weld,102,37,100,Box 15
Weld,102,38,100,Box 15
Weld,102,39,100,Box 15
Weld,102,40,100,Box 15
Weld,102,41,100,Box 15
Weld,102,42,100,Box 15
Weld,102,43,100,Box 18
Weld,102,44,100,Box 18
Weld,102,45,99,Box 18
Weld,102,46,100,Box 18
Weld,102,47,100,Box 18
Weld,102,48,100,Box 18
Weld,102,49,100,Box 20
Weld,102,50,100,Box 20
Weld,102,51,100,Box 20
Weld,102,52,100,Box 20
Weld,102,53,100,Box 20
Weld,102,54,100,Box 20
Weld,102,55,100,Box 23
Weld,102,56,100,Box 23
Weld,102,57,100,Box 23
Weld,102,58,99,Box 23
Weld,102,59,99,Box 23
Weld,102,60,99,Box 23
Weld,102,61,98,Box 25
Weld,102,62,99,Box 25
Weld,102,63,100,Box 25
Weld,102,64,100,Box 25
Weld,102,65,100,Box 25
Weld,102,66,99,Box 25
Weld,102,67,100,Box 26
Weld,102,68,100,Box 26
Weld,102,69,100,Box 26
Weld,102,70,100,Box 26
Weld,102,71,100,Box 26
Weld,102,72,100,Box 26
Weld,102,73,100,Box 28
Weld,102,74,100,Box 28
Weld,102,75,100,Box 28
Weld,102,76,100,Box 28
Weld,102,77,100,Box 28
Weld,102,78,100,Box 28
Weld,102,79,100,Box 31
Weld,102,80,100,Box 31
Weld,102,81,100,Box 31
Weld,102,82,100,Box 31
Weld,102,83,100,Box 31
Weld,102,84,100,Box 31
Weld,102,85,100,Box 33
Weld,102,86,100,Box 33
Weld,102,87,100,Box 33
Weld,102,88,99,Box 33
Weld,102,89,100,Box 33
Weld,102,90,100,Box 33
Weld,102,91,100,Box 35
Weld,102,92,100,Box 35
Weld,102,93,100,Box 35
Weld,102,94,100,Box 35
Weld,102,95,100,Box 35
Weld,102,96,99,Box 35
Weld,102,97,100,Box 37
Weld,102,98,100,Box 37
Weld,102,99,100,Box 37
Weld,102,100,100,Box 37
Weld,102,101,94,Box 37
Weld,102,102,100,Box 37
Weld,102,103,100,Box 38
Weld,102,104,100,Box 38
Weld,102,105,100,Box 38
Weld,102,106,100,Box 38
Weld,102,107,100,Box 38
Weld,102,108,98,Box 38
Weld,102,109,99,Box 41
Weld,102,110,100,Box 41
Weld,102,111,100,Box 41
Weld,102,112,100,Box 41
Weld,102,113,100,Box 41
Weld,102,114,100,Box 41
Weld,102,115,100,Box 44
Weld,102,116,100,Box 44
Weld,102,117,100,Box 44
Weld,102,118,100,Box 44
Weld,102,119,100,Box 44
Weld,102,120,99,Box 44
Weld,102,121,100,Box 45
Weld,102,122,100,Box 45
Weld,102,123,100,Box 45
Weld,102,124,100,Box 45
Weld,102,125,99,Box 45
Weld,102,126,99,Box 45
Weld,102,127,100,Box 47
Weld,102,128,100,Box 47
Weld,102,129,100,Box 47
Weld,102,130,98,Box 47
Weld,102,131,100,Box 47
Weld,102,132,100,Box 47
Weld,102,133,100,Box 49
Weld,102,134,99,Box 49
Weld,102,135,100,Box 49
Weld,102,136,100,Box 49
Weld,102,137,100,Box 49
Weld,102,138,100,Box 49
Weld,102,139,100,Box 51
Weld,102,140,99,Box 51
Weld,102,141,100,Box 51
Weld,102,142,100,Box 51
Weld,102,143,100,Box 51
Weld,102,144,100,Box 51
Weld,102,145,100,Box 53
Weld,102,146,99,Box 53
Weld,102,147,98,Box 53
Weld,102,148,100,Box 53
Weld,102,149,100,Box 53
Weld,102,150,100,Box 53
Weld,102,151,100,Box 55
Weld,102,152,100,Box 55
Weld,102,153,100,Box 55
Weld,102,154,99,Box 55
Weld,102,155,100,Box 55
Weld,102,156,100,Box 55
Weld,102,157,100,Box 58
Weld,102,158,100,Box 58
Weld,102,159,100,Box 58
Weld,102,160,100,Box 58
Weld,102,161,100,Box 58
Weld,102,162,100,Box 58
Weld,102,163,100,Box 60
Weld,102,164,98,Box 60
Weld,102,165,100,Box 60
Weld,102,166,100,Box 60
Weld,102,167,99,Box 60
Weld,102,168,100,Box 60
Weld,102,169,99,Box 62
Weld,102,170,100,Box 62
Weld,102,171,100,Box 62
Weld,102,172,100,Box 62
Weld,102,173,100,Box 62
Weld,102,174,100,Box 62
Weld,102,175,100,Box 63
Weld,102,176,100,Box 63
Weld,102,177,100,Box 63
Weld,102,178,99,Box 63
Weld,102,179,100,Box 63
Weld,102,180,100,Box 63
Weld,102,181,100,Box 65
Weld,102,182,100,Box 65
Weld,102,183,100,Box 65
Weld,102,184,100,Box 65
Weld,102,185,100,Box 65
Weld,102,186,99,Box 65
Weld,102,187,100,Box 68
Weld,102,188,100,Box 68
Weld,102,189,100,Box 68
Weld,102,190,100,Box 68
Weld,102,191,100,Box 68
Weld,102,192,100,Box 68
Weld,102,193,100,Box 70
Weld,102,194,100,Box 70
Weld,102,195,100,Box 70
Weld,102,196,100,Box 70
Weld,102,197,99,Box 70
Weld,102,198,100,Box 70
Weld,102,200,100,Box 72
Weld,102,201,100,Box 72
Weld,102,202,98,Box 72
