"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,1,50,"1-1-50","DS-10D","1",4939,"Yes"
1,4,87,"1-4-87","DS-07D","1",5866,"Yes"
1,7,73,"1-7-73","DS-05R","1",6305,"Yes"
1,11,61,"1-11-61","DS-07D","11",11902,"Yes"
1,16,54,"1-16-54","DS-16D","11",15283,"Yes"
1,16,100,"1-16-100","DS-22D","11",15329,"Yes"
1,21,29,"1-21-29","DS-01D","32",23748,"Yes"
1,25,106,"1-25-106","DS-19D","21",26217,"Yes"
1,30,99,"1-30-99","DS-11R","21",26955,"Yes"
1,34,41,"1-34-41","DS-01D","38",33582,"Yes"
1,37,131,"1-37-131","DS-05R","38",39412,"Yes"
1,38,131,"1-38-131","DS-04D","38",40133,"Yes"
1,44,36,"1-44-36","DS-01D","41",45811,"Yes"
1,49,11,"1-49-11","DS-19D","44",48612,"Yes"
1,52,95,"1-52-95","DS-22D","44",64369,"Yes"
1,58,1,"1-58-1","DS-04D","59",68040,"Yes"
1,59,40,"1-59-40","DS-01D","59",69557,"Yes"
1,60,3,"1-60-3","DS-01D","59",70115,"Yes"
1,60,111,"1-60-111","DS-01D","59",70220,"Yes"
1,63,122,"1-63-122","DS-04D","59",71910,"Yes"
1,73,10,"1-73-10","DS-10D","81",77028,"Yes"
1,74,28,"1-74-28","DS-04D","81",77192,"Yes"
1,75,137,"1-75-137","DS-16D","81",77597,"Yes"
1,75,149,"1-75-149","DS-22D","81",77609,"Yes"
2,2,81,"2-2-81","DS-05R","2",17389,"Yes"
2,6,20,"2-6-20","DS-02R","2",18952,"Yes"
2,6,76,"2-6-76","DS-02R","2",19008,"Yes"
2,9,84,"2-9-84","DS-16D","12",27533,"Yes"
2,19,54,"2-19-54","DS-07D","22",37850,"Yes"
2,20,6,"2-20-6","DS-04D","22",41327,"Yes"
2,25,138,"2-25-138","DS-07D","50",49771,"Yes"
2,30,46,"2-30-46","DS-04D","50",50421,"Yes"
2,34,108,"2-34-108","DS-01D","51",51077,"Yes"
2,35,116,"2-35-116","DS-10D","51",51235,"Yes"
2,36,79,"2-36-79","DS-10D","51",56403,"Yes"
2,45,88,"2-45-88","DS-01D","63",61158,"Yes"
3,2,94,"3-2-94","DS-01D","3",6598,"Yes"
3,4,115,"3-4-115","DS-04D","3",6919,"Yes"
3,16,147,"3-16-147","DS-10D","23",20311,"Yes"
3,24,131,"3-24-131","DS-04D","13",29813,"Yes"
3,31,94,"3-31-94","DS-14R","37",33782,"Yes"
3,34,57,"3-34-57","DS-01D","49",46579,"Yes"
3,36,27,"3-36-27","DS-01D","49",47583,"Yes"
3,37,29,"3-37-29","DS-04D","49",48476,"Yes"
