"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,3,20,"1-3-20","DEM","Box 1",70,"Yes"
1,4,20,"1-4-20","REP","Box 1",95,"Yes"
1,5,14,"1-5-14","DEM","Box 1",114,"Yes"
1,8,13,"1-8-13","DEM","Box 1",188,"Yes"
1,10,8,"1-10-8","REP","Box 1",233,"Yes"
1,10,23,"1-10-23","REP","Box 1",248,"Yes"
1,13,5,"1-13-5","DEM","Box 1",305,"Yes"
1,13,22,"1-13-22","REP","Box 1",322,"Yes"
1,16,10,"1-16-10","DEM","Box 1",385,"Yes"
1,20,2,"1-20-2","DEM","Box 1",477,"Yes"
1,24,17,"1-24-17","DEM","Box 1",592,"Yes"
1,28,25,"1-28-25","DEM","Box 1",700,"Yes"
1,29,8,"1-29-8","DEM","Box 1",708,"Yes"
1,31,17,"1-31-17","REP","Box 1",767,"Yes"
1,32,19,"1-32-19","REP","Box 1",794,"Yes"
1,36,13,"1-36-13","REP","Box 1",888,"Yes"
1,36,24,"1-36-24","REP","Box 1",899,"Yes"
1,39,5,"1-39-5","DEM","Box 1",955,"Yes"
1,39,20,"1-39-20","DEM","Box 1",970,"Yes"
1,40,14,"1-40-14","DEM","Box 1",1000,"Yes"
1,41,11,"1-41-11","DEM","Box 2",1011,"Yes"
1,42,15,"1-42-15","DEM","Box 2",1040,"Yes"
1,44,13,"1-44-13","DEM","Box 2",1088,"Yes"
1,45,18,"1-45-18","REP","Box 2",1118,"Yes"
1,49,16,"1-49-16","DEM","Box 2",1215,"Yes"
1,51,3,"1-51-3","DEM","Box 2",1252,"Yes"
1,54,1,"1-54-1","DEM","Box 2",1325,"Yes"
1,56,1,"1-56-1","DEM","Box 2",1375,"Yes"
1,56,14,"1-56-14","DEM","Box 2",1388,"Yes"
1,57,11,"1-57-11","DEM","Box 2",1410,"Yes"
1,57,23,"1-57-23","DEM","Box 2",1421,"Yes"
1,59,5,"1-59-5","DEM","Box 2",1454,"Yes"
1,59,14,"1-59-14","REP","Box 2",1463,"Yes"
1,60,2,"1-60-2","REP","Box 2",1476,"Yes"
1,60,11,"1-60-11","REP","Box 2",1485,"Yes"
1,64,3,"1-64-3","REP","Box 2",1577,"Yes"
1,65,9,"1-65-9","DEM","Box 2",1608,"Yes"
1,68,12,"1-68-12","REP","Box 2",1686,"Yes"
1,68,16,"1-68-16","REP","Box 2",1689,"Yes"
1,69,17,"1-69-17","DEM","Box 2",1716,"Yes"
1,70,13,"1-70-13","REP","Box 2",1737,"Yes"
1,71,11,"1-71-11","REP","Box 2",1760,"Yes"
1,71,24,"1-71-24","REP","Box 2",1773,"Yes"
1,72,24,"1-72-24","REP","Box 2",1797,"Yes"
1,74,4,"1-74-4","REP","Box 2",1828,"Yes"
1,75,11,"1-75-11","REP","Box 2",1860,"Yes"
1,76,19,"1-76-19","REP","Box 2",1893,"Yes"
1,77,8,"1-77-8","REP","Box 2",1906,"Yes"
1,78,9,"1-78-9","DEM","Box 2",1933,"Yes"
1,79,14,"1-79-14","DEM","Box 2",1963,"Yes"
1,83,19,"1-83-19","REP","Box 3 ",2068,"Yes"
1,84,4,"1-84-4","DEM","Box 3 ",2078,"Yes"
1,86,6,"1-86-6","DEM","Box 3 ",2130,"Yes"
1,88,19,"1-88-19","REP","Box 3 ",2193,"Yes"
1,90,2,"1-90-2","REP","Box 3 ",2226,"Yes"
1,92,11,"1-92-11","DEM","Box 3 ",2285,"Yes"
1,93,16,"1-93-16","DEM","Box 3 ",2315,"Yes"
1,94,6,"1-94-6","REP","Box 3 ",2330,"Yes"
1,97,5,"1-97-5","DEM","Box 3 ",2404,"Yes"
1,97,20,"1-97-20","DEM","Box 3 ",2418,"Yes"
1,101,6,"1-101-6","DEM","Box 3 ",2505,"Yes"
1,103,2,"1-103-2","DEM","Box 3 ",2551,"Yes"
1,103,5,"1-103-5","DEM","Box 3 ",2554,"Yes"
1,104,1,"1-104-1","DEM","Box 3 ",2575,"Yes"
1,104,24,"1-104-24","DEM","Box 3 ",2598,"Yes"
1,109,5,"1-109-5","REP","Box 3 ",2704,"Yes"
1,110,11,"1-110-11","REP","Box 3 ",2735,"Yes"
1,113,11,"1-113-11","REP","Box 3 ",2809,"Yes"
1,117,15,"1-117-15","REP","Box 3 ",2914,"Yes"
1,121,2,"1-121-2","REP","Box 3 ",3001,"Yes"
1,122,6,"1-122-6","REP","Box 4",3030,"Yes"
