"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
2,1,4,"2-1-4","DEM","Red Bag 1",3,"Yes"
2,1,5,"2-1-5","DEM","Red Bag 1",16,"Yes"
2,1,6,"2-1-6","DEM","Red Bag 1",4,"Yes"
2,2,1,"2-2-1","REP","Red Bag 1",26,"Yes"
2,2,16,"2-2-16","REP","Red Bag 1",41,"Yes"
2,2,21,"2-2-21","REP","Red Bag 1",46,"Yes"
2,2,22,"2-2-22","REP","Red Bag 1",47,"Yes"
2,3,1,"2-3-1","REP","Red Bag 1",51,"Yes"
2,3,2,"2-3-2","REP","Red Bag 1",52,"Yes"
2,3,7,"2-3-7","REP","Red Bag 1",57,"Yes"
2,4,4,"2-4-4","REP","Red Bag 1",79,"Yes"
2,4,6,"2-4-6","REP","Red Bag 1",81,"Yes"
2,4,9,"2-4-9","DEM","Red Bag 1",84,"Yes"
2,5,2,"2-5-2","REP","Red Bag 1",102,"Yes"
2,5,9,"2-5-9","REP","Red Bag 1",108,"Yes"
2,5,13,"2-5-13","REP","Red Bag 1",112,"Yes"
2,5,14,"2-5-14","REP","Red Bag 1",113,"Yes"
2,5,19,"2-5-19","REP","Red Bag 1",118,"Yes"
2,6,14,"2-6-14","REP","Red Bag 1",139,"Yes"
2,6,25,"2-6-25","REP","Red Bag 1",150,"Yes"
2,7,15,"2-7-15","REP","Red Bag 1",163,"Yes"
2,7,20,"2-7-20","REP","Red Bag 1",168,"Yes"
2,8,14,"2-8-14","REP","Red Bag 1",189,"Yes"
2,9,9,"2-9-9","REP","Red Bag 1",209,"Yes"
2,9,13,"2-9-13","REP","Red Bag 1",213,"Yes"
2,9,21,"2-9-21","REP","Red Bag 1",221,"Yes"
2,9,22,"2-9-22","REP","Red Bag 1",222,"Yes"
2,10,1,"2-10-1","REP","Red Bag 1",226,"Yes"
2,10,18,"2-10-18","REP","Red Bag 1",242,"Yes"
2,11,7,"2-11-7","REP","Red Bag 1",257,"Yes"
2,11,11,"2-11-11","REP","Red Bag 1",261,"Yes"
2,11,22,"2-11-22","REP","Red Bag 1",271,"Yes"
2,12,2,"2-12-2","REP","Red Bag 1",277,"Yes"
2,12,13,"2-12-13","REP","Red Bag 1",288,"Yes"
2,12,18,"2-12-18","REP","Red Bag 1",293,"No"
2,12,19,"2-12-19","REP","Red Bag 1",294,"Yes"
