"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
100,5,7,"100-5-7","DEM_CD3","1",107,"Yes"
100,5,13,"100-5-13","DEM_CD3","1",113,"Yes"
100,7,16,"100-7-16","DEM_CD3","1",149,"Yes"
100,9,24,"100-9-24","DEM_CD3","1",199,"Yes"
100,22,21,"100-22-21","REP_CD3","1",481,"Yes"
100,25,2,"100-25-2","REP_CD3","1",514,"Yes"
100,32,9,"100-32-9","REP_CD3","2",652,"Yes"
100,38,15,"100-38-15","DEM_CD2","2",808,"Yes"
100,38,19,"100-38-19","DEM_CD2","2",812,"Yes"
100,50,2,"100-50-2","DEM_CD2","2",1052,"Yes"
100,57,3,"100-57-3","DEM_CD3","3",1211,"Yes"
100,60,8,"100-60-8","REP_CD3","3",1276,"Yes"
100,63,10,"100-63-10","REP_CD3","3",1330,"Yes"
100,63,24,"100-63-24","REP_CD3","3",1344,"Yes"
100,65,19,"100-65-19","REP_CD3","3",1387,"Yes"
100,80,11,"100-80-11","DEM_CD3","4",1734,"Yes"
100,81,11,"100-81-11","DEM_CD3","4",1755,"Yes"
100,83,17,"100-83-17","DEM_CD2","4",1811,"Yes"
100,94,22,"100-94-22","DEM_CD3","4",2067,"Yes"
100,98,11,"100-98-11","DEM_CD3","4",2157,"Yes"
100,98,12,"100-98-12","DEM_CD3","4",2158,"Yes"
100,107,6,"100-107-6","REP_CD3","5",2374,"Yes"
100,108,22,"100-108-22","REP_CD3","5",2415,"Yes"
100,114,1,"100-114-1","REP_CD3","5",2526,"Yes"
100,122,18,"100-122-18","DEM_CD3","6",2743,"Yes"
100,129,1,"100-129-1","DEM_CD3","6",2900,"Yes"
100,130,7,"100-130-7","DEM_CD2","6",2922,"Yes"
100,132,15,"100-132-15","DEM_CD3","6",2979,"Yes"
100,132,25,"100-132-25","DEM_CD3","6",2989,"Yes"
100,150,5,"100-150-5","DEM_CD2","7",3292,"Yes"
100,158,13,"100-158-13","DEM_CD3","7",3469,"Yes"
100,159,24,"100-159-24","DEM_CD3","7",3505,"Yes"
100,169,5,"100-169-5","DEM_CD2","7",3715,"No"
100,169,21,"100-169-21","DEM_CD2","7",3731,"Yes"
100,170,7,"100-170-7","DEM_CD3","7",3742,"Yes"
100,171,9,"100-171-9","DEM_CD3","7",3769,"Yes"
100,173,16,"100-173-16","REP_CD2","8",3825,"Yes"
100,174,8,"100-174-8","REP_CD3","8",3842,"Yes"
100,182,23,"100-182-23","DEM_CD3","8",4047,"Yes"
100,190,13,"100-190-13","REP_CD3","9",4167,"Yes"
100,194,13,"100-194-13","REP_CD3","9",4249,"Yes"
100,198,10,"100-198-10","REP_CD3","9",4334,"Yes"
100,202,12,"100-202-12","DEM_CD2","9",4429,"Yes"
100,203,10,"100-203-10","DEM_CD3","9",4452,"Yes"
100,209,8,"100-209-8","REP_CD3","9",4586,"Yes"
100,210,19,"100-210-19","REP_CD3","9",4622,"Yes"
100,211,7,"100-211-7","DEM_CD3","10",4635,"Yes"
100,226,19,"100-226-19","DEM_CD2","10",4983,"Yes"
100,229,19,"100-229-19","DEM_CD3","10",5058,"Yes"
100,241,2,"100-241-2","DEM_CD3","11",5282,"Yes"
100,250,16,"100-250-16","DEM_CD2","11",5492,"Yes"
100,255,13,"100-255-13","REP_CD3","11",5597,"Yes"
100,256,17,"100-256-17","DEM_CD3","11",5626,"Yes"
100,288,7,"100-288-7","DEM_CD3","12",6214,"Yes"
100,301,22,"100-301-22","REP_CD3","13",6485,"Yes"
100,304,11,"100-304-11","DEM_CD3","13",6524,"Yes"
100,305,11,"100-305-11","DEM_CD3","13",6550,"Yes"
100,314,24,"100-314-24","DEM_CD3","13",6746,"Yes"
100,323,13,"100-323-13","REP_CD2","14",6945,"Yes"
100,331,23,"100-331-23","DEM_CD3","14",7117,"Yes"
100,338,24,"100-338-24","DEM_CD3","14",7291,"Yes"
100,339,3,"100-339-3","REP_CD3","14",7295,"Yes"
100,343,4,"100-343-4","DEM_CD3","14",7385,"Yes"
100,343,15,"100-343-15","DEM_CD3","14",7396,"Yes"
100,345,17,"100-345-17","REP_CD3","15",7447,"Yes"
100,347,1,"100-347-1","REP_CD3","15",7481,"Yes"
100,350,13,"100-350-13","DEM_CD3","15",7549,"Yes"
100,351,9,"100-351-9","DEM_CD3","15",7560,"Yes"
100,362,5,"100-362-5","DEM_CD3","15",7780,"Yes"
100,363,25,"100-363-25","DEM_CD2","15",7825,"Yes"
100,368,17,"100-368-17","DEM_CD3","16",7938,"Yes"
100,370,3,"100-370-3","DEM_CD3","16",7969,"Yes"
100,374,11,"100-374-11","REP_CD2","16",8040,"Yes"
100,375,14,"100-375-14","REP_CD3","16",8068,"Yes"
100,380,3,"100-380-3","REP_CD3","16",8166,"Yes"
100,384,2,"100-384-2","DEM_CD3","16",8252,"Yes"
100,389,10,"100-389-10","DEM_CD3","16",8373,"Yes"
100,391,13,"100-391-13","REP_CD2","16",8426,"Yes"
