"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,1,9,"1-1-9","REP","Admin",9,"Yes"
1,1,18,"1-1-18","DEM","Admin",18,"Yes"
1,2,10,"1-2-10","DEM","Admin",35,"Yes"
1,2,12,"1-2-12","REP","Admin",37,"Yes"
1,2,24,"1-2-24","DEM","Admin",49,"Yes"
1,3,5,"1-3-5","DEM","Admin",55,"Yes"
1,3,6,"1-3-6","DEM","Admin",56,"Yes"
1,3,12,"1-3-12","REP","Admin",62,"Yes"
1,3,17,"1-3-17","DEM","Admin",67,"Yes"
1,4,12,"1-4-12","DEM","Admin",87,"Yes"
1,5,2,"1-5-2","REP","Admin",102,"Yes"
1,6,6,"1-6-6","REP","Admin",131,"Yes"
1,6,20,"1-6-20","REP","Admin",145,"Yes"
1,7,20,"1-7-20","REP","Admin",170,"Yes"
1,8,3,"1-8-3","DEM","Admin",178,"Yes"
1,8,7,"1-8-7","DEM","Admin",182,"Yes"
1,8,13,"1-8-13","REP","Admin",188,"Yes"
1,8,15,"1-8-15","REP","Admin",190,"Yes"
1,8,21,"1-8-21","REP","Admin",196,"Yes"
1,9,2,"1-9-2","REP","Admin",202,"Yes"
1,9,14,"1-9-14","REP","Admin",214,"Yes"
1,10,4,"1-10-4","REP","Admin",229,"Yes"
1,10,12,"1-10-12","REP","Admin",237,"Yes"
1,10,17,"1-10-17","REP","Admin",242,"Yes"
1,11,3,"1-11-3","REP","Admin",253,"Yes"
1,11,7,"1-11-7","REP","Admin",257,"Yes"
1,12,2,"1-12-2","DEM","Admin",277,"Yes"
1,12,6,"1-12-6","DEM","Admin",281,"Yes"
1,12,7,"1-12-7","DEM","Admin",282,"Yes"
1,12,9,"1-12-9","DEM","Admin",284,"Yes"
1,12,17,"1-12-17","DEM","Admin",292,"Yes"
1,12,19,"1-12-19","DEM","Admin",294,"Yes"
1,13,2,"1-13-2","DEM","Admin",302,"Yes"
1,13,17,"1-13-17","DEM","Admin",317,"No"
1,14,4,"1-14-4","DEM","Admin",329,"Yes"
1,14,6,"1-14-6","DEM","Admin",331,"Yes"
1,14,9,"1-14-9","DEM","Admin",334,"Yes"
1,14,15,"1-14-15","REP","Admin",340,"Yes"
1,14,23,"1-14-23","REP","Admin",348,"Yes"
1,14,25,"1-14-25","DEM","Admin",350,"No"
1,15,18,"1-15-18","REP","Admin",368,"Yes"
1,15,19,"1-15-19","REP","Admin",369,"Yes"
1,15,20,"1-15-20","REP","Admin",370,"Yes"
1,15,21,"1-15-21","REP","Admin",371,"Yes"
1,16,6,"1-16-6","REP","Admin",381,"Yes"
1,16,8,"1-16-8","REP","Admin",383,"Yes"
1,16,10,"1-16-10","REP","Admin",385,"No"
1,16,11,"1-16-11","REP","Admin",386,"Yes"
1,16,13,"1-16-13","REP","Admin",388,"Yes"
1,16,24,"1-16-24","DEM","Admin",399,"Yes"
1,17,11,"1-17-11","REP","Admin",411,"Yes"
1,17,14,"1-17-14","REP","Admin",414,"Yes"
1,17,18,"1-17-18","REP","Admin",418,"Yes"
1,17,22,"1-17-22","REP","Admin",422,"Yes"
1,18,2,"1-18-2","REP","Admin",427,"Yes"
1,18,11,"1-18-11","REP","Admin",436,"Yes"
1,18,20,"1-18-20","REP","Admin",445,"Yes"
1,19,4,"1-19-4","REP","Admin",454,"Yes"
1,19,10,"1-19-10","REP","Admin",460,"Yes"
1,19,13,"1-19-13","REP","Admin",463,"Yes"
1,19,16,"1-19-16","REP","Admin",466,"Yes"
1,19,21,"1-19-21","REP","Admin",471,"Yes"
1,21,20,"1-21-20","REP","Admin",525,"Yes"
1,21,21,"1-21-21","DEM","Admin",520,"Yes"
1,22,13,"1-22-13","REP","Admin",538,"Yes"
1,22,22,"1-22-22","REP","Admin",547,"Yes"
1,23,11,"1-23-11","DEM","Admin",561,"Yes"
1,24,2,"1-24-2","DEM","Admin",577,"Yes"
1,24,6,"1-24-6","REP","Admin",581,"Yes"
1,24,24,"1-24-24","REP","Admin",599,"Yes"
1,25,4,"1-25-4","REP","Admin",604,"No"
1,25,9,"1-25-9","REP","Admin",609,"Yes"
1,25,15,"1-25-15","REP","Admin",614,"Yes"
1,26,8,"1-26-8","DEM","Admin",633,"Yes"
1,26,14,"1-26-14","DEM","Admin",650,"Yes"
1,27,5,"1-27-5","DEM","Admin",655,"Yes"
1,27,9,"1-27-9","REP","Admin",659,"Yes"
1,27,12,"1-27-12","REP","Admin",662,"Yes"
1,27,25,"1-27-25","REP","Admin",675,"Yes"
1,28,1,"1-28-1","REP","Admin",676,"Yes"
1,30,9,"1-30-9","DEM","Admin",734,"Yes"
1,30,12,"1-30-12","REP","Admin",737,"Yes"
1,30,13,"1-30-13","DEM","Admin",738,"Yes"
1,31,14,"1-31-14","DEM","Admin",775,"Yes"
1,32,16,"1-32-16","REP","Admin",791,"Yes"
1,32,20,"1-32-20","REP","Admin",795,"Yes"
1,33,1,"1-33-1","REP","Admin",801,"Yes"
1,33,21,"1-33-21","REP","Admin",821,"Yes"
1,34,16,"1-34-16","REP","Admin",841,"Yes"
1,35,10,"1-35-10","REP","Admin",860,"Yes"
1,35,23,"1-35-23","REP","Admin",872,"Yes"
1,36,2,"1-36-2","REP","Admin",877,"Yes"
1,36,13,"1-36-13","DEM","Admin",888,"Yes"
1,36,14,"1-36-14","DEM","Admin",889,"Yes"
1,37,2,"1-37-2","REP","Admin",902,"Yes"
1,37,13,"1-37-13","REP","Admin",913,"Yes"
1,37,23,"1-37-23","DEM","Admin",923,"Yes"
1,38,6,"1-38-6","DEM","Admin",931,"No"
1,38,8,"1-38-8","DEM","Admin",933,"Yes"
1,39,8,"1-39-8","DEM","Admin",958,"Yes"
1,39,12,"1-39-12","DEM","Admin",962,"Yes"
1,39,14,"1-39-14","DEM","Admin",964,"Yes"
1,39,23,"1-39-23","DEM","Admin",973,"Yes"
1,41,5,"1-41-5","DEM","Admin",1005,"Yes"
1,41,10,"1-41-10","REP","Admin",1010,"Yes"
1,41,23,"1-41-23","REP","Admin",1023,"Yes"
1,42,2,"1-42-2","DEM","Admin",1027,"No"
1,42,21,"1-42-21","REP","Admin",1046,"Yes"
1,42,23,"1-42-23","REP","Admin",1048,"Yes"
1,42,25,"1-42-25","REP","Admin",1050,"Yes"
1,43,6,"1-43-6","REP","Admin",1056,"Yes"
1,43,9,"1-43-9","REP","Admin",1059,"Yes"
1,43,11,"1-43-11","REP","Admin",1061,"Yes"
1,44,5,"1-44-5","DEM","Admin",1080,"Yes"
1,44,9,"1-44-9","DEM","Admin",1084,"Yes"
1,44,17,"1-44-17","REP","Admin",1092,"Yes"
1,44,21,"1-44-21","REP","Admin",1096,"Yes"
1,44,22,"1-44-22","REP","Admin",1097,"Yes"
1,44,25,"1-44-25","REP","Admin",1100,"Yes"
1,45,4,"1-45-4","REP","Admin",1104,"Yes"
1,45,23,"1-45-23","REP","Admin",1123,"Yes"
1,46,9,"1-46-9","REP","Admin",1134,"Yes"
1,46,10,"1-46-10","REP","Admin",1135,"Yes"
1,46,16,"1-46-16","REP","Admin",1141,"No"
1,46,21,"1-46-21","REP","Admin",1146,"Yes"
1,47,3,"1-47-3","REP","Admin",1153,"Yes"
1,47,8,"1-47-8","REP","Admin",1158,"Yes"
1,47,14,"1-47-14","REP","Admin",1164,"Yes"
1,47,18,"1-47-18","DEM","Admin",1168,"No"
1,48,4,"1-48-4","REP","Admin",1179,"Yes"
1,48,21,"1-48-21","DEM","Admin",1196,"Yes"
1,48,23,"1-48-23","DEM","Admin",1200,"Yes"
1,49,3,"1-49-3","DEM","Admin",1203,"Yes"
1,49,5,"1-49-5","DEM","Admin",1205,"Yes"
1,49,6,"1-49-6","DEM","Admin",1206,"Yes"
1,49,13,"1-49-13","DEM","Admin",1213,"Yes"
1,49,15,"1-49-15","DEM","Admin",1215,"Yes"
1,49,22,"1-49-22","DEM","Admin",1222,"Yes"
1,50,12,"1-50-12","DEM","Admin",1236,"No"
1,51,8,"1-51-8","REP","Admin",1258,"Yes"
1,51,10,"1-51-10","REP","Admin",1260,"Yes"
1,52,25,"1-52-25","DEM","Admin",1300,"Yes"
1,53,2,"1-53-2","DEM","Admin",1302,"Yes"
1,53,6,"1-53-6","REP","Admin",1306,"Yes"
1,53,9,"1-53-9","DEM","Admin",1309,"Yes"
1,53,14,"1-53-14","REP","Admin",1314,"No"
1,54,14,"1-54-14","REP","Admin",1339,"Yes"
1,55,13,"1-55-13","DEM","Admin",1363,"Yes"
1,55,20,"1-55-20","DEM","Admin",1370,"Yes"
1,56,1,"1-56-1","REP","Admin",1376,"Yes"
1,56,8,"1-56-8","DEM","Admin",1383,"Yes"
1,56,9,"1-56-9","DEM","Admin",1384,"Yes"
1,56,10,"1-56-10","DEM","Admin",1385,"Yes"
1,56,11,"1-56-11","DEM","Admin",1386,"Yes"
1,56,13,"1-56-13","DEM","Admin",1388,"Yes"
1,57,3,"1-57-3","DEM","Admin",1403,"Yes"
1,57,10,"1-57-10","DEM","Admin",1410,"Yes"
1,58,12,"1-58-12","REP","Admin",1437,"Yes"
1,58,16,"1-58-16","DEM","Admin",1441,"Yes"
1,58,24,"1-58-24","DEM","Admin",1449,"Yes"
1,58,25,"1-58-25","DEM","Admin",1450,"No"
1,59,12,"1-59-12","REP","Admin",1462,"Yes"
1,59,15,"1-59-15","DEM","Admin",1465,"Yes"
1,59,20,"1-59-20","REP","Admin",1470,"Yes"
1,60,6,"1-60-6","REP","Admin",1481,"Yes"
1,60,13,"1-60-13","REP","Admin",1488,"Yes"
1,60,16,"1-60-16","REP","Admin",1491,"Yes"
1,60,18,"1-60-18","REP","Admin",1493,"Yes"
1,60,23,"1-60-23","REP","Admin",1498,"Yes"
1,61,2,"1-61-2","REP","Admin",1502,"Yes"
1,63,15,"1-63-15","DEM","Admin",1565,"No"
1,64,1,"1-64-1","REP","Admin",1576,"Yes"
1,64,2,"1-64-2","REP","Admin",1577,"Yes"
1,65,1,"1-65-1","REP","Admin",1601,"Yes"
1,65,3,"1-65-3","REP","Admin",1603,"No"
1,65,6,"1-65-6","REP","Admin",1606,"Yes"
1,65,7,"1-65-7","REP","Admin",1607,"Yes"
1,65,9,"1-65-9","REP","Admin",1609,"Yes"
1,65,13,"1-65-13","REP","Admin",1613,"Yes"
1,65,22,"1-65-22","REP","Admin",1622,"No"
1,68,8,"1-68-8","DEM","Admin",1683,"Yes"
1,68,13,"1-68-13","DEM","Admin",1688,"Yes"
1,68,15,"1-68-15","DEM","Admin",1690,"Yes"
1,69,8,"1-69-8","DEM","Admin",1708,"Yes"
1,69,18,"1-69-18","DEM","Admin",1718,"Yes"
1,69,24,"1-69-24","DEM","Admin",1724,"Yes"
1,69,25,"1-69-25","DEM","Admin",1725,"Yes"
1,70,13,"1-70-13","DEM","Admin",1738,"Yes"
1,70,25,"1-70-25","REP","Admin",1750,"Yes"
1,72,19,"1-72-19","REP","Admin",1794,"Yes"
1,73,21,"1-73-21","DEM","Admin",1821,"Yes"
1,73,23,"1-73-23","DEM","Admin",1823,"Yes"
1,74,7,"1-74-7","REP","Admin",1832,"Yes"
1,74,16,"1-74-16","DEM","Admin",1841,"Yes"
1,75,1,"1-75-1","REP","Admin",1851,"Yes"
1,75,6,"1-75-6","DEM","Admin",1856,"Yes"
