"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,1,4,"1-1-4","REP","Tote 1",4,"Yes"
1,2,3,"1-2-3","DEM","Tote 1",28,"Yes"
1,2,4,"1-2-4","DEM","Tote 1",29,"Yes"
1,2,8,"1-2-8","DEM","Tote 1",33,"Yes"
1,2,11,"1-2-11","DEM","Tote 1",36,"Yes"
1,2,25,"1-2-25","REP","Tote 1",50,"Yes"
1,3,4,"1-3-4","REP","Tote 1",54,"Yes"
1,3,13,"1-3-13","REP","Tote 1",63,"Yes"
1,5,2,"1-5-2","REP","Tote 1",102,"Yes"
1,6,9,"1-6-9","REP","Tote 1",121,"Yes"
1,6,11,"1-6-11","REP","Tote 1",123,"Yes"
1,8,9,"1-8-9","DEM","Tote 1",171,"Yes"
1,8,19,"1-8-19","DEM","Tote 1",181,"Yes"
1,8,21,"1-8-21","DEM","Tote 1",183,"Yes"
1,9,21,"1-9-21","REP","Tote 1",208,"No"
1,9,22,"1-9-22","REP","Tote 1",209,"Yes"
1,10,4,"1-10-4","REP","Tote 1",216,"Yes"
1,10,8,"1-10-8","DEM","Tote 1",220,"Yes"
1,12,7,"1-12-7","REP","Tote 1",252,"Yes"
1,12,16,"1-12-16","REP","Tote 1",261,"Yes"
1,13,17,"1-13-17","REP","Tote 1",287,"Yes"
1,16,11,"1-16-11","REP","Tote 1",336,"Yes"
1,16,24,"1-16-24","REP","Tote 1",349,"Yes"
1,17,5,"1-17-5","REP","Tote 1",355,"Yes"
1,17,8,"1-17-8","REP","Tote 1",358,"Yes"
1,18,4,"1-18-4","DEM","Tote 1",379,"Yes"
1,18,11,"1-18-11","DEM","Tote 1",386,"Yes"
1,18,13,"1-18-13","DEM","Tote 1",387,"Yes"
1,19,22,"1-19-22","REP","Tote 1",422,"Yes"
1,20,4,"1-20-4","REP","Tote 1",429,"Yes"
1,21,9,"1-21-9","REP","Tote 1",456,"Yes"
1,21,14,"1-21-14","REP","Tote 1",461,"Yes"
1,21,19,"1-21-19","REP","Tote 1",466,"Yes"
1,22,2,"1-22-2","REP","Tote 1",474,"Yes"
1,22,19,"1-22-19","REP","Tote 1",491,"Yes"
1,23,5,"1-23-5","REP","Tote 1",502,"Yes"
1,23,15,"1-23-15","REP","Tote 1",512,"Yes"
1,24,25,"1-24-25","REP","Tote 1",546,"Yes"
1,26,2,"1-26-2","REP","Tote 1",568,"Yes"
1,27,2,"1-27-2","DEM","Tote 1",593,"Yes"
1,27,12,"1-27-12","REP","Tote 1",603,"Yes"
1,27,23,"1-27-23","REP","Tote 1",614,"No"
1,28,4,"1-28-4","DEM","Tote 1",620,"Yes"
1,29,15,"1-29-15","REP","Tote 1",635,"Yes"
1,29,22,"1-29-22","REP","Tote 1",642,"Yes"
1,29,24,"1-29-24","REP","Tote 1",644,"Yes"
1,30,2,"1-30-2","REP","Tote 1",647,"Yes"
1,31,23,"1-31-23","DEM","Tote 1",693,"Yes"
1,32,24,"1-32-24","REP","Tote 1",719,"Yes"
1,33,7,"1-33-7","REP","Tote 1",727,"Yes"
1,33,9,"1-33-9","REP","Tote 1",729,"Yes"
1,34,15,"1-34-15","REP","Tote 1",753,"Yes"
1,36,9,"1-36-9","REP","Tote 1",797,"Yes"
1,36,15,"1-36-15","REP","Tote 1",803,"Yes"
1,37,2,"1-37-2","DEM","Tote 1",815,"Yes"
1,37,3,"1-37-3","DEM","Tote 1",816,"Yes"
1,37,16,"1-37-16","DEM","Tote 1",829,"Yes"
1,37,22,"1-37-22","REP","Tote 1",835,"Yes"
1,38,14,"1-38-14","REP","Tote 1",852,"Yes"
1,40,1,"1-40-1","REP","Tote 1",884,"Yes"
1,40,16,"1-40-16","REP","Tote 1",899,"Yes"
1,42,5,"1-42-5","REP","Tote 1",958,"Yes"
1,42,6,"1-42-6","DEM","Tote 1",938,"Yes"
1,42,15,"1-42-15","REP","Tote 1",947,"Yes"
1,42,22,"1-42-22","REP","Tote 1",954,"Yes"
1,44,7,"1-44-7","REP","Tote 1",969,"Yes"
1,45,11,"1-45-11","REP","Tote 1",998,"Yes"
1,45,13,"1-45-13","REP","Tote 1",1000,"Yes"
1,45,21,"1-45-21","REP","Tote 1",1008,"Yes"
1,47,13,"1-47-13","REP","Tote 1",1050,"Yes"
1,48,4,"1-48-4","REP","Tote 1",1066,"Yes"
1,49,7,"1-49-7","REP","Tote 2",1088,"Yes"
1,50,6,"1-50-6","DEM","Tote 2",1112,"Yes"
1,50,7,"1-50-7","DEM","Tote 2",1113,"Yes"
1,50,16,"1-50-16","DEM","Tote 2",1121,"Yes"
1,51,6,"1-51-6","REP","Tote 2",1137,"Yes"
1,52,3,"1-52-3","REP","Tote 2",1159,"Yes"
1,52,6,"1-52-6","REP","Tote 2",1162,"Yes"
1,52,17,"1-52-17","REP","Tote 2",1173,"Yes"
1,54,17,"1-54-17","REP","Tote 2",1203,"Yes"
1,54,21,"1-54-21","REP","Tote 2",1207,"Yes"
1,55,11,"1-55-11","REP","Tote 2",1222,"Yes"
1,55,15,"1-55-15","REP","Tote 2",1226,"Yes"
1,55,16,"1-55-16","REP","Tote 2",1227,"Yes"
