"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,2,20,"1-2-20","REP","4",219,"Yes"
1,3,1,"1-3-1","REP","4",226,"Yes"
1,4,22,"1-4-22","REP","4",297,"Yes"
1,6,12,"1-6-12","REP","4",387,"Yes"
1,6,25,"1-6-25","REP","4",400,"Yes"
1,7,6,"1-7-6","REP","4",431,"Yes"
1,8,6,"1-8-6","DEM","4",456,"Yes"
1,8,8,"1-8-8","REP","4",458,"Yes"
1,12,15,"1-12-15","REP","4",665,"Yes"
1,13,20,"1-13-20","REP","4",694,"Yes"
1,13,22,"1-13-22","REP","4",696,"Yes"
1,14,12,"1-14-12","REP","4",737,"Yes"
1,15,12,"1-15-12","DEM","4",762,"Yes"
1,15,19,"1-15-19","REP","4",769,"Yes"
1,15,21,"1-15-21","DEM","4",771,"Yes"
1,19,9,"1-19-9","REP","4",934,"Yes"
1,19,20,"1-19-20","DEM","4",945,"Yes"
1,20,6,"1-20-6","DEM","4",956,"Yes"
1,23,1,"1-23-1","REP","4",1151,"Yes"
1,26,3,"1-26-3","REP","4",1303,"Yes"
1,26,5,"1-26-5","REP","4",1305,"Yes"
1,26,9,"1-26-9","REP","4",1309,"Yes"
1,28,14,"1-28-14","REP","4",1389,"Yes"
1,29,11,"1-29-11","REP","4",1411,"Yes"
1,29,19,"1-29-19","REP","4",1419,"Yes"
1,32,15,"1-32-15","REP","4",1564,"Yes"
1,32,25,"1-32-25","REP","4",1574,"Yes"
1,33,9,"1-33-9","REP","4",1609,"Yes"
1,39,11,"1-39-11","REP","4",1961,"Yes"
1,39,25,"1-39-25","REP","4",1975,"Yes"
1,40,11,"1-40-11","REP","4",1986,"Yes"
1,41,8,"1-41-8","DEM","4",2033,"Yes"
1,41,12,"1-41-12","REP","4",2037,"Yes"
1,43,6,"1-43-6","REP","4",2081,"Yes"
1,45,13,"1-45-13","REP","4",2138,"Yes"
1,48,15,"1-48-15","REP","4",2215,"Yes"
1,50,22,"1-50-22","REP","4",2471,"Yes"
1,51,11,"1-51-11","DEM","4",2511,"Yes"
1,54,21,"1-54-21","DEM","6",2671,"Yes"
1,56,18,"1-56-18","REP","6",2792,"Yes"
1,57,10,"1-57-10","REP","6",2835,"Yes"
1,57,13,"1-57-13","REP","6",2838,"Yes"
1,60,11,"1-60-11","DEM","6",2935,"Yes"
1,62,10,"1-62-10","DEM","6",2985,"Yes"
1,63,20,"1-63-20","REP","6",3019,"Yes"
1,64,2,"1-64-2","DEM","6",3027,"Yes"
1,66,14,"1-66-14","DEM","6",4132,"Yes"
1,66,15,"1-66-15","REP","6",4133,"Yes"
1,67,3,"1-67-3","DEM",,4196,"Yes"
1,68,19,"1-68-19","DEM","6",4237,"Yes"
1,70,21,"1-70-21","REP","6",4289,"Yes"
3,1,9,"3-1-9","REP",,9,"Yes"
3,1,13,"3-1-13","DEM",,13,"Yes"
3,2,13,"3-2-13","DEM",,38,"Yes"
3,3,13,"3-3-13","REP",,63,"Yes"
3,4,25,"3-4-25","DEM",,100,"Yes"
3,7,22,"3-7-22","REP",,197,"Yes"
3,9,2,"3-9-2","REP",,302,"Yes"
3,9,6,"3-9-6","REP",,306,"No"
3,9,23,"3-9-23","DEM",,323,"Yes"
3,11,10,"3-11-10","DEM",,410,"Yes"
3,12,10,"3-12-10","DEM",,485,"Yes"
3,13,13,"3-13-13","REP",,513,"Yes"
3,14,7,"3-14-7","REP",,582,"Yes"
3,14,8,"3-14-8","REP",,583,"No"
3,15,10,"3-15-10","DEM",,635,"Yes"
3,15,21,"3-15-21","REP",,645,"Yes"
3,17,21,"3-17-21","DEM",,796,"Yes"
3,33,6,"3-33-6","DEM",,1631,"Yes"
3,33,19,"3-33-19","REP",,1644,"Yes"
3,34,21,"3-34-21","DEM",,1721,"Yes"
3,35,21,"3-35-21","REP",,1746,"Yes"
3,37,23,"3-37-23","DEM",,1798,"Yes"
3,39,16,"3-39-16","DEM",,1915,"Yes"
3,40,1,"3-40-1","REP",,1926,"Yes"
3,42,15,"3-42-15","REP",,2240,"Yes"
3,43,23,"3-43-23","REP",,2273,"Yes"
3,45,15,"3-45-15","REP",,2315,"Yes"
3,48,18,"3-48-18","REP",,2393,"Yes"
3,52,15,"3-52-15","REP",,2565,"Yes"
3,52,19,"3-52-19","DEM",,2569,"Yes"
3,53,19,"3-53-19","DEM",,2644,"Yes"
3,55,16,"3-55-16","REP",,2715,"Yes"
3,55,17,"3-55-17","DEM",,2716,"Yes"
3,58,9,"3-58-9","DEM",,2859,"Yes"
3,58,20,"3-58-20","REP",,2870,"Yes"
3,60,5,"3-60-5","REP",,3105,"Yes"
3,60,21,"3-60-21","REP",,3121,"Yes"
3,61,3,"3-61-3","DEM",,3128,"Yes"
3,63,16,"3-63-16","REP",,3191,"Yes"
3,63,24,"3-63-24","REP",,3199,"Yes"
3,65,17,"3-65-17","REP",,3242,"Yes"
3,68,8,"3-68-8","REP",,3308,"Yes"
3,68,10,"3-68-10","DEM",,3310,"Yes"
3,71,12,"3-71-12","REP",,3387,"Yes"
3,74,10,"3-74-10","DEM",,3460,"Yes"
3,75,21,"3-75-21","DEM",,3496,"Yes"
3,79,11,"3-79-11","DEM",,3586,"Yes"
3,84,23,"3-84-23","DEM",,3723,"Yes"
3,86,19,"3-86-19","REP",,3768,"Yes"
3,87,13,"3-87-13","REP",,3788,"Yes"
3,89,3,"3-89-3","REP",,3828,"Yes"
3,89,12,"3-89-12","DEM",,3837,"Yes"
3,90,24,"3-90-24","DEM",,3874,"Yes"
3,92,24,"3-92-24","DEM",,3924,"Yes"
3,93,2,"3-93-2","DEM",,3927,"Yes"
3,95,13,"3-95-13","DEM",,3981,"Yes"
3,97,9,"3-97-9","REP",,4027,"Yes"
3,101,21,"3-101-21","DEM",,4164,"Yes"
3,102,25,"3-102-25","DEM",,4193,"Yes"
