"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
1,4,21,"1-4-21","Democrat",,93,"Yes"
1,5,20,"1-5-20","Democrat",,114,"Yes"
1,7,10,"1-7-10","Republican",,159,"Yes"
1,8,15,"1-8-15","Democrat",,189,"Yes"
1,15,18,"1-15-18","Republican",,368,"Yes"
1,17,4,"1-17-4","Republican",,403,"Yes"
1,19,14,"1-19-14","Republican",,460,"Yes"
1,19,25,"1-19-25","Republican",,471,"Yes"
1,22,9,"1-22-9","Republican",,533,"Yes"
1,25,4,"1-25-4","Democrat",,617,"Yes"
1,29,5,"1-29-5","Republican",,704,"Yes"
1,33,2,"1-33-2","Democrat",,801,"Yes"
1,34,12,"1-34-12","Republican",,835,"Yes"
1,35,25,"1-35-25","Democrat",,872,"Yes"
1,41,7,"1-41-7","Republican",,1002,"Yes"
1,42,10,"1-42-10","Democrat",,1033,"Yes"
1,54,5,"1-54-5","Democrat",,1327,"Yes"
1,56,6,"1-56-6","Democrat",,1378,"Yes"
1,57,1,"1-57-1","Republican",,1419,"Yes"
1,57,12,"1-57-12","Democrat",,1406,"Yes"
1,59,6,"1-59-6","Democrat",,1452,"Yes"
1,64,12,"1-64-12","Republican",,1580,"Yes"
1,69,4,"1-69-4","Democrat",,1696,"Yes"
1,70,7,"1-70-7","Republican",,1722,"Yes"
1,71,7,"1-71-7","Democrat",,1764,"Yes"
1,73,4,"1-73-4","Republican",,1794,"Yes"
1,73,5,"1-73-5","Democrat",,1795,"Yes"
1,73,15,"1-73-15","Republican",,1805,"Yes"
1,74,10,"1-74-10","Democrat",,1823,"Yes"
1,77,16,"1-77-16","Republican",,1906,"Yes"
1,78,10,"1-78-10","Republican",,1925,"Yes"
1,79,7,"1-79-7","Democrat",,1947,"Yes"
1,86,19,"1-86-19","Democrat",,2132,"Yes"
1,86,24,"1-86-24","Democrat",,2136,"Yes"
1,88,21,"1-88-21","Democrat",,2184,"Yes"
1,90,18,"1-90-18","Democrat",,2230,"Yes"
1,93,5,"1-93-5","Democrat",,2294,"Yes"
1,93,14,"1-93-14","Democrat",,2301,"Yes"
1,98,4,"1-98-4","Democrat",,2415,"Yes"
1,102,21,"1-102-21","Democrat",,2531,"Yes"
1,103,18,"1-103-18","Republican",,2554,"Yes"
1,107,23,"1-107-23","Democrat",,2661,"Yes"
1,113,2,"1-113-2","Democrat",,2788,"Yes"
1,115,20,"1-115-20","Democrat",,2852,"Yes"
1,121,13,"1-121-13","Republican",,2998,"Yes"
1,122,24,"1-122-24","Republican",,3033,"Yes"
1,126,6,"1-126-6","Republican",,3116,"Yes"
1,129,12,"1-129-12","Democrat",,3197,"Yes"
1,130,22,"1-130-22","Democrat",,3229,"Yes"
1,130,23,"1-130-23","Democrat",,3230,"Yes"
1,137,10,"1-137-10","Republican",,3394,"Yes"
1,137,21,"1-137-21","Democrat",,3405,"Yes"
1,138,5,"1-138-5","Democrat",,3431,"Yes"
1,139,2,"1-139-2","Democrat",,3437,"Yes"
1,143,14,"1-143-14","Democrat",,3547,"Yes"
1,143,23,"1-143-23","Democrat",,3556,"Yes"
1,148,22,"1-148-22","Democrat",,3679,"Yes"
1,150,16,"1-150-16","Democrat",,3721,"Yes"
1,153,11,"1-153-11","Republican",,3792,"Yes"
1,158,22,"1-158-22","Democrat",,3930,"Yes"
1,164,14,"1-164-14","Democrat",,4070,"Yes"
1,165,3,"1-165-3","Democrat",,4083,"Yes"
1,166,4,"1-166-4","Republican",,4110,"Yes"
1,168,4,"1-168-4","Democrat",,4160,"Yes"
1,169,5,"1-169-5","Republican",,4186,"Yes"
1,169,17,"1-169-17","Democrat",,4197,"Yes"
1,170,24,"1-170-24","Democrat",,4231,"Yes"
1,171,24,"1-171-24","Democrat",,4254,"Yes"
1,177,4,"1-177-4","Democrat",,4383,"Yes"
1,178,6,"1-178-6","Republican",,4411,"Yes"
1,181,23,"1-181-23","Republican",,4499,"Yes"
1,184,9,"1-184-9","Democrat",,4562,"No"
1,189,17,"1-189-17","Republican",,4697,"Yes"
1,190,17,"1-190-17","Republican",,4721,"Yes"
1,194,3,"1-194-3","Democrat",,4804,"Yes"
1,195,16,"1-195-16","Democrat",,4842,"Yes"
1,200,3,"1-200-3","Democrat",,4943,"Yes"
1,200,7,"1-200-7","Democrat",,4947,"Yes"
1,200,14,"1-200-14","Democrat",,4953,"Yes"
1,201,18,"1-201-18","Democrat",,4981,"Yes"
1,211,9,"1-211-9","Democrat",,5219,"No"
1,213,21,"1-213-21","Democrat",,5262,"Yes"
1,217,16,"1-217-16","Democrat",,5362,"Yes"
