"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
2,1,7,"2-1-7","DEM",,7,"Yes"
2,1,12,"2-1-12","REP",,12,"Yes"
2,1,21,"2-1-21","REP",,21,"Yes"
2,2,8,"2-2-8","DEM",,33,"Yes"
2,4,22,"2-4-22","REP",,97,"Yes"
2,5,8,"2-5-8","REP",,108,"Yes"
2,5,10,"2-5-10","DEM",,110,"Yes"
2,6,7,"2-6-7","DEM",,132,"Yes"
2,6,9,"2-6-9","REP",,133,"Yes"
2,6,12,"2-6-12","DEM",,136,"Yes"
2,6,18,"2-6-18","REP",,142,"Yes"
2,7,2,"2-7-2","REP",,152,"Yes"
2,7,24,"2-7-24","DEM",,174,"Yes"
2,8,1,"2-8-1","DEM",,176,"Yes"
2,8,9,"2-8-9","DEM",,184,"Yes"
2,8,19,"2-8-19","REP",,194,"Yes"
2,8,20,"2-8-20","REP",,195,"Yes"
2,8,23,"2-8-23","DEM",,198,"Yes"
2,9,1,"2-9-1","REP",,201,"Yes"
2,9,2,"2-9-2","REP",,202,"Yes"
2,9,5,"2-9-5","REP",,205,"Yes"
2,9,8,"2-9-8","REP",,208,"Yes"
2,10,6,"2-10-6","DEM",,231,"Yes"
2,11,2,"2-11-2","DEM",,252,"Yes"
2,11,5,"2-11-5","DEM",,255,"Yes"
2,11,14,"2-11-14","REP",,264,"Yes"
2,13,20,"2-13-20","DEM",,320,"Yes"
2,14,3,"2-14-3","DEM",,328,"Yes"
2,14,11,"2-14-11","REP",,336,"Yes"
2,14,12,"2-14-12","DEM",,337,"Yes"
2,14,14,"2-14-14","REP",,339,"No"
2,14,16,"2-14-16","DEM",,341,"Yes"
2,15,7,"2-15-7","REP",,357,"Yes"
2,15,15,"2-15-15","DEM",,365,"Yes"
2,17,6,"2-17-6","DEM",,406,"No"
2,17,9,"2-17-9","DEM",,409,"Yes"
2,18,4,"2-18-4","REP",,429,"Yes"
2,18,10,"2-18-10","DEM",,435,"Yes"
2,18,12,"2-18-12","DEM",,437,"Yes"
2,18,19,"2-18-19","DEM",,444,"Yes"
2,19,9,"2-19-9","REP",,459,"Yes"
2,20,5,"2-20-5","DEM",,480,"No"
2,22,4,"2-22-4","DEM",,529,"Yes"
2,23,14,"2-23-14","DEM",,564,"No"
2,24,2,"2-24-2","DEM",,577,"Yes"
2,24,3,"2-24-3","REP",,578,"Yes"
2,24,8,"2-24-8","REP",,583,"Yes"
2,24,17,"2-24-17","REP",,592,"Yes"
2,24,19,"2-24-19","REP",,594,"Yes"
2,24,20,"2-24-20","DEM",,595,"Yes"
2,25,12,"2-25-12","DEM",,611,"Yes"
2,25,18,"2-25-18","DEM",,617,"Yes"
2,25,24,"2-25-24","DEM",,623,"Yes"
2,26,3,"2-26-3","DEM",,628,"Yes"
2,26,7,"2-26-7","REP",,632,"No"
2,27,7,"2-27-7","DEM",,657,"Yes"
2,27,9,"2-27-9","REP",,659,"Yes"
2,27,10,"2-27-10","REP",,660,"Yes"
2,27,12,"2-27-12","DEM",,662,"Yes"
2,27,19,"2-27-19","DEM",,669,"Yes"
2,28,5,"2-28-5","DEM",,680,"Yes"
2,28,12,"2-28-12","REP",,687,"Yes"
2,28,13,"2-28-13","DEM",,688,"Yes"
2,29,4,"2-29-4","REP",,704,"Yes"
2,29,13,"2-29-13","DEM",,713,"Yes"
2,29,20,"2-29-20","DEM",,720,"Yes"
2,29,21,"2-29-21","DEM",,721,"Yes"
2,30,6,"2-30-6","DEM",,731,"Yes"
2,30,9,"2-30-9","DEM",,750,"Yes"
2,30,13,"2-30-13","DEM",,737,"Yes"
2,31,8,"2-31-8","DEM",,758,"Yes"
2,32,2,"2-32-2","REP",,777,"Yes"
2,32,6,"2-32-6","DEM",,781,"Yes"
2,32,18,"2-32-18","REP",,793,"Yes"
2,33,5,"2-33-5","DEM",,805,"Yes"
2,33,19,"2-33-19","DEM",,819,"Yes"
2,33,20,"2-33-20","DEM",,820,"Yes"
2,34,10,"2-34-10","DEM",,835,"Yes"
2,34,15,"2-34-15","REP",,840,"Yes"
2,34,22,"2-34-22","REP",,847,"Yes"
2,35,10,"2-35-10","DEM",,860,"Yes"
2,35,23,"2-35-23","DEM",,873,"Yes"
2,37,2,"2-37-2","REP",,902,"Yes"
2,37,4,"2-37-4","DEM",,904,"Yes"
2,37,5,"2-37-5","DEM",,905,"Yes"
2,37,9,"2-37-9","DEM",,909,"Yes"
2,37,18,"2-37-18","DEM",,918,"Yes"
2,37,20,"2-37-20","REP",,920,"Yes"
2,37,25,"2-37-25","DEM",,925,"Yes"
2,38,4,"2-38-4","DEM",,928,"Yes"
2,38,23,"2-38-23","DEM",,947,"Yes"
2,39,8,"2-39-8","REP",,957,"Yes"
2,39,9,"2-39-9","REP",,958,"Yes"
2,39,10,"2-39-10","DEM",,959,"Yes"
2,39,12,"2-39-12","DEM",,961,"Yes"
2,39,16,"2-39-16","REP",,965,"Yes"
2,39,24,"2-39-24","DEM",,973,"Yes"
2,40,1,"2-40-1","DEM",,976,"Yes"
2,40,3,"2-40-3","DEM",,978,"Yes"
2,40,22,"2-40-22","DEM",,997,"Yes"
2,41,1,"2-41-1","REP",,1001,"Yes"
2,41,20,"2-41-20","DEM",,1020,"No"
2,41,22,"2-41-22","DEM",,1022,"Yes"
2,42,19,"2-42-19","REP",,1044,"Yes"
2,43,11,"2-43-11","DEM",,1061,"Yes"
2,44,2,"2-44-2","DEM",,1077,"No"
2,44,25,"2-44-25","DEM",,1100,"Yes"
2,45,9,"2-45-9","DEM",,1109,"Yes"
2,45,21,"2-45-21","DEM",,1121,"Yes"
2,46,13,"2-46-13","DEM",,1138,"Yes"
2,46,15,"2-46-15","DEM",,1140,"Yes"
2,47,1,"2-47-1","REP",,1151,"Yes"
2,47,2,"2-47-2","DEM",,1152,"Yes"
2,47,7,"2-47-7","REP",,1157,"Yes"
2,47,13,"2-47-13","DEM",,1163,"No"
2,47,21,"2-47-21","REP",,1171,"Yes"
2,47,23,"2-47-23","REP",,1173,"No"
2,48,11,"2-48-11","DEM",,1186,"Yes"
2,49,22,"2-49-22","DEM",,1222,"Yes"
2,50,6,"2-50-6","DEM",,1231,"Yes"
2,50,13,"2-50-13","DEM",,1238,"Yes"
2,50,17,"2-50-17","DEM",,1242,"No"
2,50,20,"2-50-20","DEM",,1245,"No"
2,51,19,"2-51-19","DEM",,1269,"Yes"
2,52,12,"2-52-12","REP",,1286,"Yes"
2,52,13,"2-52-13","DEM",,1287,"Yes"
2,52,15,"2-52-15","DEM",,1289,"Yes"
2,53,19,"2-53-19","DEM",,1319,"Yes"
2,53,20,"2-53-20","DEM",,1320,"Yes"
2,54,13,"2-54-13","DEM",,1338,"No"
2,55,8,"2-55-8","DEM",,1357,"Yes"
2,56,6,"2-56-6","DEM",,1372,"Yes"
2,56,16,"2-56-16","REP",,1382,"Yes"
2,56,17,"2-56-17","REP",,1383,"Yes"
