"scanner_id","batch_id","record_id","imprinted_id","ballot_type","storage_location","cvr_number","audited"
2,1,1,"2-1-1","REP","1",25,"Yes"
2,1,11,"2-1-11","REP","1",10,"Yes"
2,1,14,"2-1-14","REP","1",13,"Yes"
2,1,22,"2-1-22","REP","1",21,"Yes"
2,2,3,"2-2-3","REP","1",28,"Yes"
2,2,5,"2-2-5","REP","1",30,"Yes"
2,2,6,"2-2-6","REP","1",31,"Yes"
2,2,13,"2-2-13","REP","1",38,"Yes"
2,2,14,"2-2-14","REP","1",39,"Yes"
2,2,19,"2-2-19","REP","1",44,"Yes"
2,3,7,"2-3-7","REP","1",57,"Yes"
2,3,15,"2-3-15","REP","1",65,"Yes"
2,3,16,"2-3-16","REP","1",66,"Yes"
2,3,17,"2-3-17","REP","1",67,"No"
2,4,2,"2-4-2","REP","1",77,"Yes"
2,4,7,"2-4-7","REP","1",82,"Yes"
2,4,11,"2-4-11","REP","1",86,"Yes"
2,4,20,"2-4-20","REP","1",95,"Yes"
2,4,23,"2-4-23","REP","1",98,"Yes"
2,4,24,"2-4-24","DEM","1",99,"Yes"
2,5,11,"2-5-11","DEM","1",111,"Yes"
2,5,14,"2-5-14","REP","1",114,"Yes"
2,5,23,"2-5-23","REP","1",123,"Yes"
2,6,3,"2-6-3","REP","1",128,"Yes"
2,6,4,"2-6-4","REP","1",129,"Yes"
2,7,2,"2-7-2","REP","1",152,"Yes"
2,7,4,"2-7-4","DEM","1",154,"Yes"
2,7,13,"2-7-13","REP","1",163,"Yes"
2,7,23,"2-7-23","REP","1",173,"No"
2,8,8,"2-8-8","REP","1",183,"Yes"
2,8,11,"2-8-11","REP","1",186,"Yes"
2,8,18,"2-8-18","REP","1",193,"No"
2,8,22,"2-8-22","DEM","1",197,"Yes"
2,9,6,"2-9-6","REP","1",206,"No"
2,9,8,"2-9-8","REP","1",208,"Yes"
2,9,15,"2-9-15","DEM","1",215,"Yes"
2,9,25,"2-9-25","REP","1",225,"Yes"
2,10,6,"2-10-6","REP","1",231,"Yes"
2,10,11,"2-10-11","REP","1",236,"Yes"
2,10,17,"2-10-17","REP","1",242,"Yes"
2,10,23,"2-10-23","REP","1",248,"Yes"
2,11,1,"2-11-1","REP","1",275,"Yes"
2,11,4,"2-11-4","REP","1",253,"Yes"
2,11,12,"2-11-12","REP","1",261,"Yes"
2,11,24,"2-11-24","REP","1",273,"Yes"
2,12,5,"2-12-5","REP","1",280,"Yes"
2,12,7,"2-12-7","REP","1",282,"Yes"
2,12,24,"2-12-24","REP","1",299,"Yes"
2,13,5,"2-13-5","REP","1",305,"Yes"
2,13,7,"2-13-7","DEM","1",307,"Yes"
2,13,8,"2-13-8","DEM","1",308,"Yes"
