County,Tabulator ID,Batch #,# of Ballot cards,Location
BACA,1,1,25,1
BACA,1,2,25,1
BACA,1,3,25,1
BACA,1,4,25,1
BACA,1,5,25,1
BACA,1,6,25,1
BACA,1,7,25,1
BACA,1,8,25,1
BACA,1,9,25,1
BACA,1,10,25,1
BACA,1,11,25,1
BACA,1,12,25,1
BACA,1,13,25,1
BACA,1,14,25,1
BACA,1,15,25,1
BACA,1,16,25,1
BACA,1,17,25,1
BACA,1,18,25,1
BACA,1,19,25,1
BACA,1,20,25,1
BACA,1,21,25,1
BACA,1,22,25,1
BACA,1,23,25,1
BACA,1,24,25,1
BACA,1,25,25,1
BACA,1,26,25,1
BACA,1,27,25,1
BACA,1,28,25,1
BACA,1,29,25,1
BACA,1,30,25,1
BACA,1,31,25,1
BACA,1,32,25,1
BACA,1,33,25,1
BACA,1,34,25,1
BACA,1,35,25,1
BACA,1,36,25,1
BACA,1,37,25,1
BACA,1,38,25,1
BACA,1,39,25,1
BACA,1,40,25,1
BACA,1,41,25,1
BACA,1,42,25,1
BACA,1,43,25,1
BACA,1,44,25,1
BACA,1,45,25,1
BACA,1,46,25,1
BACA,1,47,25,1
BACA,1,48,25,1
BACA,1,49,25,1
BACA,1,50,25,1
BACA,1,51,25,1
BACA,1,52,25,1
BACA,1,53,25,1
BACA,1,54,25,1
BACA,1,55,25,1
BACA,1,56,25,1
BACA,1,57,25,1
BACA,1,58,25,1
BACA,1,59,25,1
BACA,1,60,25,1
BACA,1,61,25,1
BACA,1,62,25,1
BACA,1,63,25,1
BACA,1,64,6,1
BACA,1,65,22,1
