COUNTY,TABULATOR ID,BATCH ,# OF BALLOTS CARDS,LOCATION
CROWLEY,1,1,25,Box 2
CROWLEY,1,2,25,Box 2
CROWLEY,1,3,25,Box 2
CROWLEY,1,4,25,Box 2
CROWLEY,1,5,25,Box 2
CROWLEY,1,6,25,Box 2
CROWLEY,1,7,25,Box 2
CROWLEY,1,8,25,Box 2
CROWLEY,1,9,25,Box 2
CROWLEY,1,10,25,Box 2
CROWLEY,1,11,25,Box 2
CROWLEY,1,12,25,Box 2
CROWLEY,1,13,25,Box 2
CROWLEY,1,14,25,Box 2
CROWLEY,1,15,25,Box 2
CROWLEY,1,16,25,Box 2
CROWLEY,1,17,25,Box 2
CROWLEY,1,18,25,Box 2
CROWLEY,1,19,12,Box 2
CROWLEY,4,1,25,Box 1
CROWLEY,4,2,25,Box 1
CROWLEY,4,3,25,Box 1
CROWLEY,4,4,25,Box 1
CROWLEY,4,5,25,Box 1
CROWLEY,4,6,25,Box 1
CROWLEY,4,7,25,Box 1
CROWLEY,4,8,25,Box 1
CROWLEY,4,9,25,Box 1
CROWLEY,4,10,25,Box 1
CROWLEY,4,11,25,Box 1
CROWLEY,4,12,25,Box 1
CROWLEY,4,13,25,Box 1
CROWLEY,4,14,25,Box 1
CROWLEY,4,15,25,Box 1
CROWLEY,4,16,25,Box 1
CROWLEY,4,17,25,Box 1
CROWLEY,4,18,12,Box 1
