County,Tabulator ID,Batch,# of Ballots,Location
Delta,1,1,27,1
Delta,1,2,22,1
Delta,1,3,1,1
Delta,1,4,1,1
Delta,1,5,25,1
Delta,1,6,9,1
Delta,1,7,2,1
Delta,1,8,25,1
Delta,1,9,25,1
Delta,1,10,25,1
Delta,1,11,25,1
Delta,1,12,23,1
Delta,1,13,15,1
Delta,1,14,25,1
Delta,1,15,25,1
Delta,1,16,25,1
Delta,1,17,25,1
Delta,1,18,22,1
Delta,1,19,25,1
Delta,1,20,6,1
Delta,1,21,30,1
Delta,1,22,25,1
Delta,1,23,25,1
Delta,1,24,25,1
Delta,1,25,28,1
Delta,1,26,25,1
Delta,1,27,25,1
Delta,1,28,25,1
Delta,1,29,13,1
Delta,1,30,27,1
Delta,1,31,8,1
Delta,1,32,25,1
Delta,1,33,25,1
Delta,1,34,25,1
Delta,1,35,25,1
Delta,1,36,25,1
Delta,1,37,25,1
Delta,1,38,19,1
Delta,1,39,25,1
Delta,1,40,9,1
Delta,1,41,10,1
Delta,1,42,24,1
Delta,1,43,24,1
Delta,1,44,25,1
Delta,1,45,25,1
Delta,1,46,25,1
Delta,1,47,10,1
Delta,1,48,23,1
Delta,1,49,25,1
Delta,1,50,25,1
Delta,1,51,25,1
Delta,1,52,25,1
Delta,1,53,25,1
Delta,1,54,19,1
Delta,1,55,25,1
Delta,1,56,28,1
Delta,1,57,28,1
Delta,1,58,25,1
Delta,1,59,25,1
Delta,1,60,25,1
Delta,1,61,28,1
Delta,1,62,25,1
Delta,1,63,27,1
Delta,1,64,25,1
Delta,1,65,25,1
Delta,1,66,14,1
Delta,1,67,25,1
Delta,1,68,8,1
Delta,1,69,23,1
Delta,1,70,25,1
Delta,1,71,25,1
Delta,1,72,25,1
Delta,1,73,25,1
Delta,1,74,25,1
Delta,1,75,25,1
Delta,1,76,11,1
Delta,1,77,29,2
Delta,1,78,12,2
Delta,1,79,24,2
Delta,1,80,12,2
Delta,1,81,6,2
Delta,1,82,4,2
Delta,1,83,4,2
Delta,1,84,3,2
Delta,1,85,1,2
Delta,1,86,2,2
Delta,1,87,2,2
Delta,1,88,2,2
Delta,1,89,1,2
Delta,1,90,1,2
Delta,1,91,3,2
Delta,1,92,1,2
Delta,1,93,25,2
Delta,1,94,27,2
Delta,1,95,16,2
Delta,1,96,25,2
Delta,1,97,24,2
Delta,1,98,25,2
Delta,1,99,15,2
Delta,1,100,16,2
Delta,1,101,21,2
Delta,1,102,2,2
Delta,1,103,3,2
Delta,1,104,25,2
Delta,1,105,18,2
Delta,1,106,19,2
Delta,1,107,20,2
Delta,1,108,19,2
Delta,1,109,24,2
Delta,1,110,19,2
Delta,1,111,17,2
Delta,1,112,21,2
Delta,1,113,24,2
Delta,1,114,25,2
Delta,1,115,20,2
Delta,1,116,22,2
Delta,1,117,21,2
Delta,1,118,40,2
Delta,1,119,31,2
Delta,1,120,26,2
Delta,1,121,12,2
Delta,1,122,25,2
Delta,1,123,25,2
Delta,1,124,25,2
Delta,1,125,19,2
Delta,1,126,24,2
Delta,1,127,25,2
Delta,1,128,25,2
Delta,1,129,17,2
Delta,1,130,26,2
Delta,1,131,16,2
