County,Tabulator ID,Batch,# of Ballot Cards,Location
Larimer,1,1,100,20075
Larimer,1,2,100,20075
Larimer,1,3,100,20075
Larimer,1,4,100,20009
Larimer,1,5,100,20009
Larimer,1,6,100,20009
Larimer,1,7,99,20076
Larimer,1,8,100,20076
Larimer,1,9,100,20076
Larimer,1,10,100,20002
Larimer,1,11,100,20002
Larimer,1,12,100,20002
Larimer,1,13,100,20052
Larimer,1,14,100,20052
Larimer,1,15,100,20052
Larimer,1,16,100,20064
Larimer,1,17,100,20064
Larimer,1,18,100,20064
Larimer,1,19,98,20108
Larimer,1,20,51,20047
Larimer,1,21,9,20022
Larimer,1,22,100,20008
Larimer,1,23,100,20008
Larimer,1,24,99,20008
Larimer,1,25,100,20127
Larimer,1,26,100,20082
Larimer,1,27,100,20082
Larimer,1,28,37,20082
Larimer,1,29,99,20017
Larimer,1,30,100,20017
Larimer,1,31,100,20017
Larimer,1,32,100,20042
Larimer,1,33,100,20042
Larimer,1,34,100,20042
Larimer,1,35,100,20078
Larimer,1,36,99,20078
Larimer,1,37,100,20078
Larimer,1,38,96,20123
Larimer,1,39,100,20046
Larimer,1,40,100,20046
Larimer,1,41,100,20046
Larimer,1,42,100,20099
Larimer,1,43,100,20099
Larimer,1,44,100,20099
Larimer,1,45,97,20033
Larimer,1,46,100,20033
Larimer,1,47,100,20033
Larimer,1,48,31,20121
Larimer,1,49,100,20120
Larimer,1,50,57,20120
Larimer,1,51,100,20097
Larimer,1,52,100,20097
Larimer,1,53,100,20097
Larimer,1,54,98,20055
Larimer,1,55,100,20055
Larimer,1,56,98,20055
Larimer,1,57,63,20074
Larimer,1,58,100,20005
Larimer,1,59,100,20005
Larimer,1,60,95,20005
Larimer,1,61,100,20001
Larimer,1,62,100,20001
Larimer,1,63,100,20001
Larimer,1,64,100,20138
Larimer,1,65,100,20138
Larimer,1,66,100,20138
Larimer,1,67,100,20156
Larimer,1,68,100,20156
Larimer,1,69,100,20156
Larimer,1,70,100,20158
Larimer,1,71,100,20158
Larimer,1,72,100,20158
Larimer,1,73,99,20165
Larimer,1,74,99,20172
Larimer,1,75,100,20172
Larimer,1,76,4,20172
Larimer,1,77,63,20153
Larimer,1,78,39,20174
Larimer,1,79,99,20191
Larimer,1,80,98,20190
Larimer,1,81,100,20210
Larimer,1,82,100,20210
Larimer,1,83,100,20210
Larimer,1,84,100,20226
Larimer,1,85,100,20212
Larimer,1,86,99,20212
Larimer,1,87,29,20212
Larimer,1,88,99,20216
Larimer,1,89,100,20215
Larimer,1,90,100,20208
Larimer,1,91,100,20208
Larimer,1,92,100,20208
Larimer,1,93,100,20175
Larimer,1,94,99,20175
Larimer,1,95,100,20175
Larimer,1,96,100,20177
Larimer,1,97,100,20177
Larimer,1,98,100,20177
Larimer,1,99,8,3240
Larimer,1,100,1,3246
Larimer,1,101,17,3244
Larimer,1,102,7,3258
Larimer,1,103,2,9003
Larimer,1,104,1,9006
Larimer,1,105,3,9012
Larimer,1,106,3,9026
Larimer,1,107,3,9029
Larimer,1,108,1,9038
Larimer,1,109,8,9041
Larimer,1,110,16,1002
Larimer,1,111,3,1002
Larimer,1,112,100,20244
Larimer,1,113,99,20240
Larimer,1,114,100,20240
Larimer,1,115,100,20240
Larimer,1,116,100,20232
Larimer,1,117,100,20232
Larimer,1,118,100,20232
Larimer,1,119,100,20237
Larimer,1,120,99,20246
Larimer,1,121,100,20246
Larimer,1,122,100,20246
Larimer,1,123,100,20272
Larimer,1,124,100,20247
Larimer,1,125,100,20247
Larimer,1,126,100,20247
Larimer,1,127,99,20269
Larimer,1,128,100,20263
Larimer,1,129,100,20263
Larimer,1,130,100,20263
Larimer,1,131,100,20280
Larimer,1,132,100,20280
Larimer,1,133,100,20280
Larimer,1,134,100,20295
Larimer,1,135,100,20295
Larimer,1,136,100,20295
Larimer,1,137,99,20315
Larimer,1,138,99,20298
Larimer,1,139,100,20298
Larimer,1,140,1,20298
Larimer,1,141,100,20313
Larimer,1,142,100,20293
Larimer,1,143,100,20291
Larimer,1,144,100,20305
Larimer,1,145,100,20305
Larimer,1,146,101,20305
Larimer,1,147,100,20306
Larimer,1,148,100,20306
Larimer,1,149,100,20306
Larimer,1,150,28,3263
Larimer,1,151,13,3264
Larimer,1,152,45,3267
Larimer,1,153,100,20324
Larimer,1,154,100,20324
Larimer,1,155,100,20324
Larimer,1,156,100,20338
Larimer,1,157,100,20338
Larimer,1,158,100,20338
Larimer,1,159,99,20340
Larimer,1,160,99,20349
Larimer,1,161,100,20349
Larimer,1,162,82,20349
Larimer,1,163,97,20344
Larimer,1,164,1,9052
Larimer,1,165,60,3272
Larimer,1,166,99,20362
Larimer,1,167,6,9056
Larimer,1,168,100,20356
Larimer,1,169,100,20356
Larimer,1,170,100,20356
Larimer,1,171,99,20367
Larimer,1,172,100,20359
Larimer,1,173,99,20359
Larimer,1,174,100,20359
Larimer,1,175,100,3273
Larimer,1,176,89,3273
Larimer,1,177,52,3274
Larimer,1,178,100,20373
Larimer,1,179,100,20373
Larimer,1,180,100,20373
Larimer,1,181,99,20382
Larimer,1,182,1,9059
Larimer,1,183,37,3275
Larimer,1,184,99,20393
Larimer,1,185,64,20394
Larimer,1,186,100,20395
Larimer,1,187,100,20395
Larimer,1,188,100,20395
Larimer,1,189,98,20400
Larimer,1,190,1,1006
Larimer,1,191,100,20404
Larimer,1,192,5,20414
Larimer,1,193,97,20411
Larimer,1,194,46,20415
Larimer,1,195,51,20412
Larimer,1,196,52,20410
Larimer,1,197,13,21000
Larimer,1,198,98,20409
Larimer,1,199,100,20409
Larimer,1,200,100,20409
