County,Tabulator ID,Batch,# of Ballot Cards,Location
Saguache,1,1,25,Box 1
Saguache,1,2,25,Box 1
Saguache,1,3,25,Box 1
Saguache,1,4,25,Box 1
Saguache,1,5,25,Box 1
Saguache,1,6,25,Box 1
Saguache,1,7,25,Box 1
Saguache,1,8,25,Box 1
Saguache,1,9,25,Box 1
Saguache,1,10,25,Box 1
Saguache,1,11,25,Box 1
Saguache,1,12,25,Box 1
Saguache,1,13,25,Box 1
Saguache,1,14,25,Box 1
Saguache,1,15,25,Box 1
Saguache,1,16,25,Box 1
Saguache,1,17,25,Box 1
Saguache,1,18,25,Box 1
Saguache,1,19,25,Box 1
Saguache,1,20,25,Box 1
Saguache,1,21,25,Box 1
Saguache,1,22,25,Box 1
Saguache,1,23,25,Box 1
Saguache,1,24,25,Box 1
Saguache,1,25,25,Box 1
Saguache,1,26,25,Box 1
Saguache,1,27,25,Box 1
Saguache,1,28,25,Box 2
Saguache,1,29,25,Box 2
Saguache,1,30,25,Box 2
Saguache,1,31,25,Box 2 
Saguache,1,32,25,Box 2
Saguache,1,33,25,Box 2
Saguache,1,34,25,Box 2
Saguache,1,35,25,Box 2
Saguache,1,36,25,Box 2
Saguache,1,37,25,Box 2
Saguache,1,38,25,Box 2
Saguache,1,39,25,Box 2
Saguache,1,40,25,Box 2
Saguache,1,41,25,Box 2
Saguache,1,42,25,Box 2
Saguache,1,43,25,Box 2
Saguache,1,44,25,Box 2
Saguache,1,45,25,Box 2
Saguache,1,46,25,Box 2
Saguache,1,47,25,Box 2
Saguache,1,48,25,Box 2
Saguache,1,49,25,Box 2
Saguache,1,50,25,Box 2
Saguache,1,51,25,Box 3
Saguache,1,52,25,Box 3
Saguache,1,53,25,Box 3
Saguache,1,54,25,Box 3
Saguache,1,55,16,Box 3
Saguache,1,56,24,Dupl
Saguache,1,57,7,Box 3
