County,Device ID,Batch,# of Ballot Cards,Location
San Miguel,2,1,25,Bin #1
San Miguel,2,2,25,Bin #1
San Miguel,2,3,25,Bin #1
San Miguel,2,4,25,Bin #1
San Miguel,2,5,25,Bin #1
San Miguel,2,6,25,Bin #1
San Miguel,2,7,25,Bin #1
San Miguel,2,8,25,Bin #1
San Miguel,2,9,25,Bin #1
San Miguel,2,10,25,Bin #1
San Miguel,2,11,25,Bin #1
San Miguel,2,12,25,Bin #1
San Miguel,2,13,25,Bin #1
San Miguel,2,14,25,Bin #1
San Miguel,2,15,25,Bin #1
San Miguel,2,16,25,Bin #1
San Miguel,2,17,25,Bin #1
San Miguel,2,18,25,Bin #1
San Miguel,2,19,25,Bin #1
San Miguel,2,20,25,Bin #1
San Miguel,2,21,25,Bin #1
San Miguel,2,22,25,Bin #1
San Miguel,2,23,25,Bin #1
San Miguel,2,24,25,Bin #1
San Miguel,2,25,25,Bin #1
San Miguel,2,26,25,Bin #1
San Miguel,2,27,25,Bin #1
San Miguel,2,28,25,Bin #1
San Miguel,2,29,25,Bin #1
San Miguel,2,30,25,Bin #1
San Miguel,2,31,25,Bin #1
San Miguel,2,32,25,Bin #1
San Miguel,2,33,25,Bin #1
San Miguel,2,34,25,Bin #1
San Miguel,2,35,25,Bin #1
San Miguel,2,36,25,Bin #1
San Miguel,2,37,25,Bin #1
San Miguel,2,38,25,Bin #1
San Miguel,2,39,25,Bin #1
San Miguel,2,40,25,Bin #1
San Miguel,2,41,25,Bin #1
San Miguel,2,42,25,Bin #1
San Miguel,2,43,25,Bin #1
San Miguel,2,44,25,Bin #1
San Miguel,2,45,25,Bin #1
San Miguel,2,46,25,Bin #1
San Miguel,2,47,25,Bin #1
San Miguel,2,48,25,Bin #1
San Miguel,2,49,25,Bin #1
San Miguel,2,50,25,Bin #1
San Miguel,2,51,25,Bin #1
San Miguel,2,52,25,Bin #1
San Miguel,2,53,25,Bin #1
San Miguel,2,54,25,Bin #1
San Miguel,2,55,25,Bin #1
San Miguel,2,56,25,Bin #1
San Miguel,2,57,25,Bin #1
San Miguel,2,58,25,Bin #1
San Miguel,2,59,25,Bin #1
San Miguel,2,60,25,Bin #1
San Miguel,2,61,25,Bin #1
San Miguel,2,62,25,Bin #1
San Miguel,2,63,25,Bin #1
San Miguel,2,64,25,Bin #1
San Miguel,2,65,25,Bin #1
San Miguel,2,66,25,Bin #1
San Miguel,2,67,25,Bin #1
San Miguel,2,68,15,Bin #1
San Miguel,3,69,25,Bin #2
San Miguel,3,70,25,Bin #2
San Miguel,3,71,25,Bin #2
San Miguel,3,72,25,Bin #2
San Miguel,3,73,25,Bin #2
San Miguel,3,74,25,Bin #2
San Miguel,3,75,6,Bin #2
