county_name,ballot_manifest_hash
Adams,5BAE22CD556BFCBC0C42665106E1909711365A34808DEB50CA2B634231F2E634
Alamosa,D1484B4E3A0AE64B4C2456308CD1822C74FDB0A554E3E52269023A7869499800
Arapahoe,2A3AFE055F7D242D56CED26FED661CFDD6676FD770C776D6DABCBA1ACB23FD90
Archuleta,B43B0E03D0D30916EE2DB82EFECCC0EEE806C160AC29C1EA14EAAC17246C043F
Baca,BC2A305959640F2317ECC2F74C4DB364C8497DDF71EE4D3B17B0D76FA0EC3CA4
Bent,368E5D34D2687414A43BA7ACBDEE3611ED6EBDD5A127153BA9ABDF831CAB775A
Boulder,7DCFA7602DBD2C1A2F2FCC13EF6408F94DC18A10DB47B8971F34DB1A570D1C75
Broomfield,FD6801BA4070B2B4C2C8E2BB6C3893FA5073A8C9D9E37D988716865DE32B9578
Chaffee,0E575A637FB79BF649DF07B4CB4C67BE408409FE9214E3ED5CF533480440B9BA
Cheyenne,3FB27E9804DBE314E782B38A3966BC322AA5700F4FA9AC71206953A88AA4F7DA
Clear Creek,6203D6263890987F4990C3C12D039D785DB7208F91FEE2B104206681F178B943
Conejos,C63B481FB7A0F9CC5CD407974F9E658DA7BE2FCB3FB3C2E94E1BEEEAE1F5EBD8
Costilla,92B9D0214A93484BC87CD1717519664355435C1CB90B9A6B06ED8A78E53E9F8E
Crowley,F955A266B0FDBDA8B8B8619AFA59535A19E4E4EF9B0AC1F07F6D8FB69B1E2048
Custer,4E78C3F5A72B8E0C3E4AA2CEE2815E1E2F68B7D34CA8D5E0C7174CB0F90F7786
Delta,778C3393C72EDE702EF24ED468AF942F2047614B7FCEFB72E20CDA97BD93AF21
Denver,0DFCE718633D5E4A72ECA14B46777B215E26F2D0F1B6CF491E08876FDCC71A23
Dolores,D7379992764A2EA85BEBA8E01292F9CE7A1D0BC162042FE4EA68888A4F762DCA
Douglas,C7B829FE2B5978A518D2A22794E7DBE9C20398D3F8AD0F2AD19990C6540C175D
Eagle,772EAE4E7F6F22E6F1134D6149048AB77DE3D3794334B7AAC24A84D5EF2E91F1
Elbert,4D3F725E0D64EDEC264486DCCEBAE871B7DE695D2D553E66A48674F1E97F3E5F
El Paso,4F7B20E60E6A8F386AD6DD5C50D2866DD05520B8D9AB635B1B0706D2DEDD2A91
Fremont,FFC39186CEB181221BA4FA5C1A519C7DA855D2373614A12F40DC677A1C2C4C1C
Garfield,
Gilpin,92A3771451D620E47001D4BB87736ED2E4352C9C984495A046F64787CB1FE6E5
Grand,55B4E5C649FDFD9A85EF5A0257028D82EE6FF12DA4ADB2643B0F43C2AD4EBA10
Gunnison,2CE20260FC2256E6676F58C99CC1D9BB70FE11A10FE17B3F81FA87F6BD05AC87
Hinsdale,
Huerfano,E006A4AA6D1681D3443C360AAF87725EC5DCA7E30FEB60525B3015B0C47BA6B5
Jackson,
Jefferson,1A06D5B3A674209C5D99B45BC6776545FFAEC424347AFD4900C3A5E8DEE30890
Kiowa,61AE8036CD730CF1F538A36E5DD26830E7FDC02D653946F6C1C6044CF53BA6C3
Kit Carson,3D4E90C738AB032561E96454DC6D24E700C2ED2657F82A02B476AC2B1933F8A0
Lake,B6E7431822653CD368C5D115D91AB0726C0838B6939E87FA7AE9F6701699395B
La Plata,43E059D28E798D49E0E2BBCDE3E20C583EC0D578812576ED1A1B556D68064ADB
Larimer,A3F5A52577821849B7C4A3B155688D07209A588B682D5298C59CE4D9AB54109D
Las Animas,BFF65648FC24411EA4FAC22BD91DE5AF2A5BADF02FFB97A5C3609EBBBC535E72
Lincoln,7F0BFE8BEA55A5DCEA7DD1C22822035E1E12875DD602AE6EA259BE8D8BB030DE
Logan,F895B1DD1832AED584D191A611F8E29E3A284C256A7110CD1C3E8C3309EFD1D8
Mesa,19D0F46E065025BB5A5527E27990CBDFA934DCD60447A84E87E9605D1DEC1DFA
Mineral,
Moffat,2006D7DF77EBFF6112CA9D044C921E19616A7AD9059DDBEA4BCE41FCC29E49EB
Montezuma,B12B2E242C8E1DE2E11837B623A196B40964FCF42A7B0EDF2CB833B8B6D34980
Montrose,
Morgan,E81D4D0E66EA433659743D265450CF9E7432D0266F2D975548DC6A1EFD142C7F
Otero,C07B7365C266CC5E5DBC9BB42072B6DE824475BF56D5A64FADA1E615A406D693
Ouray,58A6A578FF946E27FAA74C052A4D3FAE611AE0AAC974C0E95503C1A46FB2C337
Park,E74C751FDE614A24E7946F48D51F47EE0E1CE952440DC235EDE50D9EDA87A2E3
Phillips,49E1E7F3E589E5A8D0BFC7E4FE82AAEDB638FC108896AA4051086A19B5990AC6
Pitkin,CD961C10D7F75DFD0CA8FD6D7BCA92AAA777F474DB61D3DBA1826595136AD2A3
