County,Device ID,Batch,# of Ballot Cards,Location
Garfield ,1,1,50,1
Garfield ,1,2,48,1
Garfield ,1,3,0,1
Garfield ,1,4,49,1
Garfield ,1,5,50,1
Garfield ,1,6,50,1
Garfield ,1,7,50,1
Garfield ,1,8,50,1
Garfield ,1,9,50,1
Garfield ,1,10,50,1
Garfield ,1,11,50,1
Garfield ,1,12,50,1
Garfield ,1,13,50,1
Garfield ,1,14,0,1
Garfield ,1,15,50,1
Garfield ,1,16,50,1
Garfield ,1,17,50,1
Garfield ,1,18,50,1
Garfield ,1,19,50,1
Garfield ,1,20,96,1
Garfield ,1,21,50,1
Garfield ,1,22,50,1
Garfield ,1,23,50,1
Garfield ,1,24,50,1
Garfield ,1,25,50,1
Garfield ,1,26,50,1
Garfield ,1,27,50,1
Garfield ,1,28,50,1
Garfield ,1,29,50,1
Garfield ,1,30,50,1
Garfield ,1,31,50,1
Garfield ,1,32,50,1
Garfield ,1,33,50,2
Garfield ,1,34,50,2
Garfield ,1,35,50,2
Garfield ,1,36,50,2
Garfield ,1,37,50,2
Garfield ,1,38,50,2
Garfield ,1,39,50,2
Garfield ,1,40,50,2
Garfield ,1,41,50,2
Garfield ,1,42,50,2
Garfield ,1,43,50,2
Garfield ,1,44,50,2
Garfield ,1,45,49,2
Garfield ,1,46,50,2
Garfield ,1,47,50,2
Garfield ,1,48,50,2
Garfield ,1,49,50,2
Garfield ,1,50,50,2
Garfield ,1,51,50,2
Garfield ,1,52,50,2
Garfield ,1,53,50,2
Garfield ,1,54,50,2
Garfield ,1,55,50,2
Garfield ,1,56,50,2
Garfield ,1,57,50,2
Garfield ,1,58,50,2
Garfield ,1,59,50,2
Garfield ,1,60,50,2
Garfield ,1,61,50,2
Garfield ,1,62,50,2
Garfield ,1,63,50,3
Garfield ,1,64,50,3
Garfield ,1,65,50,3
Garfield ,1,66,50,3
Garfield ,1,67,50,3
Garfield ,1,68,50,3
Garfield ,1,69,50,3
Garfield ,1,70,50,3
Garfield ,1,71,50,3
Garfield ,1,72,50,3
Garfield ,1,73,50,3
Garfield ,1,74,50,3
Garfield ,1,75,50,3
Garfield ,1,76,50,3
Garfield ,1,77,49,3
Garfield ,1,78,50,3
Garfield ,1,79,50,3
Garfield ,1,80,49,3
Garfield ,1,81,50,3
Garfield ,1,82,50,3
Garfield ,1,83,50,3
Garfield ,1,84,50,3
Garfield ,1,85,50,3
Garfield ,1,86,50,3
Garfield ,1,87,50,3
Garfield ,1,88,50,3
Garfield ,1,89,50,3
Garfield ,1,90,50,3
Garfield ,1,91,50,3
Garfield ,1,92,50,3
Garfield ,1,93,50,4
Garfield ,1,94,50,4
Garfield ,1,95,50,4
Garfield ,1,96,50,4
Garfield ,1,97,50,4
Garfield ,1,98,50,4
Garfield ,1,99,50,4
Garfield ,1,100,50,4
Garfield ,1,101,50,4
Garfield ,1,102,50,4
Garfield ,1,103,50,4
Garfield ,1,104,50,4
Garfield ,1,105,50,4
Garfield ,1,106,50,4
Garfield ,1,107,50,4
Garfield ,1,108,50,4
Garfield ,1,109,50,4
