County,Tabulator ID,Batch,# of Ballot Cards,Location
Baca,101,1,25,
Baca,101,2,25,
Baca,101,3,25,
Baca,101,4,25,
Baca,101,5,25,
Baca,101,6,25,
Baca,101,7,25,
Baca,101,8,25,
Baca,101,9,25,
Baca,101,10,25,
Baca,101,11,25,
Baca,101,12,25,
Baca,101,13,25,
Baca,101,14,25,
Baca,101,15,25,
Baca,101,16,25,
Baca,101,17,25,
Baca,101,18,25,
Baca,101,19,25,
Baca,101,20,25,
Baca,101,21,25,
Baca,101,22,25,
Baca,101,23,25,
Baca,101,24,25,
Baca,101,25,25,
Baca,101,26,25,
Baca,101,27,25,
Baca,101,28,25,
Baca,101,29,25,
Baca,101,30,25,
Baca,101,31,25,
Baca,101,32,25,
Baca,101,33,25,
Baca,101,34,25,
Baca,101,35,25,
Baca,101,36,25,
Baca,101,38,25,
Baca,101,39,25,
Baca,101,40,25,
Baca,101,41,25,
Baca,101,42,25,
Baca,101,43,25,
Baca,101,44,25,
Baca,101,45,25,
Baca,101,47,23,
Baca,102,1,25,
Baca,102,2,25,
Baca,102,3,25,
Baca,102,4,25,
Baca,102,5,25,
Baca,102,6,25,
Baca,102,7,25,
Baca,102,8,25,
Baca,102,9,25,
Baca,102,10,25,
Baca,102,11,25,
Baca,102,12,25,
Baca,102,13,25,
Baca,102,14,25,
Baca,102,15,25,
Baca,102,16,25,
Baca,102,17,25,
Baca,102,18,25,
Baca,102,19,25,
Baca,102,20,25,
Baca,102,21,25,
Baca,102,22,25,
Baca,102,23,25,
Baca,102,24,25,
Baca,102,25,25,
Baca,102,26,20,
Baca,102,27,14,
Baca,102,28,21,
Baca,102,29,25,
Baca,102,30,13,
Baca,102,31,25,
Baca,102,32,25,
Baca,102,33,25,
Baca,102,34,25,
Baca,102,35,8,
Baca,102,36,7,
Baca,102,37,2,
