County,Tabulator ID,Batch,# of Ballot Cards,Location
ClearCreek,102,1,25,Bin #1
ClearCreek,102,2,25,Bin #1
ClearCreek,102,3,25,Bin #1
ClearCreek,102,4,25,Bin #1
ClearCreek,102,5,25,Bin #1
ClearCreek,102,6,25,Bin #1
ClearCreek,102,7,25,Bin #1
ClearCreek,102,8,25,Bin #1
ClearCreek,102,9,25,Bin #1
ClearCreek,102,10,25,Bin #1
ClearCreek,102,11,25,Bin #1
ClearCreek,102,12,25,Bin #1
ClearCreek,102,13,25,Bin #1
ClearCreek,102,14,25,Bin #1
ClearCreek,102,15,25,Bin #1
ClearCreek,102,16,25,Bin #1
ClearCreek,102,17,25,Bin #1
ClearCreek,102,18,25,Bin #1
ClearCreek,102,19,25,Bin #1
ClearCreek,102,20,25,Bin #1
ClearCreek,102,21,25,Bin #1
ClearCreek,102,22,25,Bin #1
ClearCreek,102,23,25,Bin #1
ClearCreek,102,24,25,Bin #1
ClearCreek,102,25,25,Bin #1
ClearCreek,102,26,25,Bin #1
ClearCreek,102,27,25,Bin #1
ClearCreek,102,28,25,Bin #1
ClearCreek,102,29,25,Bin #1
ClearCreek,102,30,25,Bin #1
ClearCreek,102,31,25,Bin #1
ClearCreek,102,32,25,Bin #1
ClearCreek,102,33,25,Bin #1
ClearCreek,102,34,25,Bin #1
ClearCreek,102,35,25,Bin #1
ClearCreek,102,36,25,Bin #1
ClearCreek,102,37,25,Bin #1
ClearCreek,102,38,25,Bin #1
ClearCreek,102,39,25,Bin #1
ClearCreek,102,40,25,Bin #1
ClearCreek,102,41,25,Bin #1
ClearCreek,102,42,25,Bin #1
ClearCreek,102,43,25,Bin #1
ClearCreek,102,44,25,Bin #1
ClearCreek,102,45,25,Bin #1
ClearCreek,102,46,25,Bin #1
ClearCreek,102,47,25,Bin #1
ClearCreek,102,48,25,Bin #1
ClearCreek,102,49,25,Bin #1
ClearCreek,102,50,25,Bin #1
ClearCreek,102,51,25,Bin #1
ClearCreek,102,52,25,Bin #1
ClearCreek,102,53,25,Bin #1
ClearCreek,102,54,25,Bin #1
ClearCreek,102,55,25,Bin #1
ClearCreek,102,56,25,Bin #1
ClearCreek,102,57,25,Bin #1
ClearCreek,102,58,25,Bin #1
ClearCreek,102,59,25,Bin #1
ClearCreek,102,60,25,Bin #1
ClearCreek,102,61,25,Bin #4
ClearCreek,102,62,25,Bin #4
ClearCreek,102,63,25,Bin #4
ClearCreek,102,64,25,Bin #4
ClearCreek,102,65,25,Bin #4
ClearCreek,102,66,25,Bin #4
ClearCreek,102,67,25,Bin #4
ClearCreek,102,68,25,Bin #4
ClearCreek,102,69,25,Bin #4
ClearCreek,102,70,25,Bin #4
ClearCreek,102,71,25,Bin #4
ClearCreek,102,72,25,Bin #4
ClearCreek,102,73,25,Bin #4
ClearCreek,102,74,25,Bin #4
ClearCreek,102,75,25,Bin #4
ClearCreek,102,76,25,Bin #4
ClearCreek,102,77,25,Bin #4
ClearCreek,102,78,25,Bin #4
ClearCreek,102,79,25,Bin #4
ClearCreek,102,80,20,Bin #4
ClearCreek,102,81,25,Bin #4
ClearCreek,102,82,25,Bin #4
ClearCreek,102,83,10,Bin #4
ClearCreek,102,84,6,Bin #4
ClearCreek,102,85,25,Bin #4
ClearCreek,102,86,25,Bin #4
ClearCreek,102,87,25,Bin #4
ClearCreek,102,88,25,Bin #4
ClearCreek,102,89,25,Bin #4
ClearCreek,102,90,25,Bin #4
ClearCreek,102,91,6,Bin #4
ClearCreek,102,92,8,Bin #4
ClearCreek,102,93,23,Bin #4
ClearCreek,103,1,25,Bin #2
ClearCreek,103,2,25,Bin #2
ClearCreek,103,3,25,Bin #2
ClearCreek,103,4,25,Bin #2
ClearCreek,103,5,25,Bin #2
ClearCreek,103,6,25,Bin #2
ClearCreek,103,7,25,Bin #2
ClearCreek,103,8,25,Bin #2
ClearCreek,103,9,25,Bin #2
ClearCreek,103,10,25,Bin #2
ClearCreek,103,11,25,Bin #2
ClearCreek,103,12,25,Bin #2
ClearCreek,103,13,25,Bin #2
ClearCreek,103,14,25,Bin #2
ClearCreek,103,15,25,Bin #2
