County,Tabulator,Batch,# of Ballots,Location
Custer,3,1,25,Box 1
Custer,3,2,25,Box 1
Custer,3,3,25,Box 1
Custer,3,4,25,Box 1
Custer,3,5,25,Box 1
Custer,3,6,25,Box 1
Custer,3,7,25,Box 1
Custer,3,8,25,Box 1
Custer,3,9,25,Box 1
Custer,3,10,25,Box 1
Custer,3,11,25,Box 1
Custer,3,12,25,Box 1
Custer,3,13,25,Box 1
Custer,3,14,25,Box 1
Custer,3,15,18,Box 1
Custer,3,16,25,Box 1
Custer,3,17,25,Box 1
Custer,3,18,25,Box 1
Custer,3,19,25,Box 1
Custer,3,20,25,Box 2
Custer,3,21,25,Box 2
Custer,3,22,25,Box 2
Custer,3,23,25,Box 2
Custer,3,24,25,Box 2
Custer,3,25,25,Box 2
Custer,3,26,25,Box 2
Custer,3,27,25,Box 2
Custer,3,28,25,Box 2
Custer,3,29,25,Box 2
Custer,3,30,25,Box 2
Custer,3,31,25,Box 2
Custer,3,32,25,Box 2
Custer,3,33,25,Box 2
Custer,3,34,25,Box 2
Custer,3,35,25,Box 2
Custer,3,36,25,Box 2
Custer,3,37,25,Box 2
Custer,3,38,25,Box 2
Custer,3,39,25,Box 2
Custer,3,40,25,Box 2
Custer,3,41,25,Box 2
Custer,3,42,25,Box 2
Custer,3,43,25,Box 2
Custer,3,44,25,Box 2
Custer,3,45,25,Box 2
Custer,3,46,25,Box 2
Custer,3,47,25,Box 2
Custer,3,48,25,Box 2
Custer,3,49,25,Box 2
Custer,3,50,25,Box 2
Custer,3,51,25,Box 2
Custer,3,52,25,Box 2
Custer,3,53,25,Box 2
Custer,3,54,25,Box 2
Custer,3,55,25,Box 2
Custer,3,56,25,Box 2
Custer,3,57,25,Box 2
Custer,3,58,25,Box 2
Custer,3,59,25,Box 2
Custer,3,60,25,Box 2
Custer,3,61,25,Box 2
Custer,3,62,25,Box 2
Custer,3,63,13,Box 2
Custer,3,64,25,Box 3
Custer,3,65,25,Box 3
Custer,3,66,25,Box 3
Custer,3,67,25,Box 3
Custer,3,68,25,Box 3
Custer,3,69,25,Box 3
Custer,3,70,25,Box 3
Custer,3,71,25,Box 3
Custer,3,72,25,Box 3
Custer,3,73,25,Box 3
Custer,3,74,25,Box 3
Custer,3,75,25,Box 3
Custer,3,76,25,Box 3
Custer,3,77,25,Box 3
Custer,3,78,25,Box 3
Custer,3,79,25,Box 3
Custer,3,80,25,Box 3
Custer,3,81,25,Box 3
Custer,3,82,25,Box 3
Custer,3,83,25,Box 3
Custer,3,84,25,Box 3
Custer,3,85,25,Box 3
Custer,3,86,25,Box 3
Custer,3,87,25,Box 3
Custer,3,88,25,Box 3
Custer,3,89,25,Box 3
Custer,3,90,25,Box 3
Custer,3,91,25,Box 3
Custer,3,92,25,Box 3
Custer,3,93,25,Box 3
Custer,3,94,25,Box 3
Custer,3,95,25,Box 3
Custer,3,96,25,Box 3
Custer,3,97,25,Box 3
Custer,3,98,25,Box 3
Custer,3,99,25,Box 3
Custer,3,100,25,Box 3
Custer,3,101,25,Box 3
Custer,3,102,25,Box 3
Custer,3,103,25,Box 3
Custer,3,104,25,Box 3
Custer,3,105,25,Box 3
Custer,3,106,25,Box 3
Custer,3,107,25,Box 3
Custer,3,108,25,Box 3
Custer,3,109,25,Box 3
Custer,3,110,25,Box 3
Custer,3,111,25,Box 3
Custer,3,112,25,Box 3
Custer,3,113,24,Box 3
Custer,3,114,23,Box 3
Custer,3,115,25,Box 3
Custer,3,116,25,Box 3
Custer,3,117,25,Box 3
Custer,3,118,5,Box 3
Custer,3,119,15,Box 1
