County,Tabulator ID,Batch,# of Ballot Cards,Location,
Huerfano,3,1,25,Box #1,
Huerfano,3,2,25,Box #1,
Huerfano,3,3,10,Box #1,
Huerfano,3,4,24,Box #1,
Huerfano,3,5,17,Box #1,
Huerfano,3,6,22,Box #1,
Huerfano,3,7,27,Box #1,
Huerfano,3,8,22,Box #1,
Huerfano,3,9,25,Box #1,
Huerfano,3,10,19,Box #1,#216-10/22/18
Huerfano,3,11,18,Box #1,
Huerfano,3,12,25,Box #1,
Huerfano,3,13,25,Box #1,
Huerfano,3,14,11,Box #1,
Huerfano,3,15,24,Box #1,
Huerfano,3,16,25,Box #1,
Huerfano,3,17,25,Box #1,
Huerfano,3,18,19,Box #1,
Huerfano,3,19,24,Box #1,
Huerfano,3,20,24,Box #1,
Huerfano,3,21,24,Box #1,
Huerfano,3,22,25,Box #1,
Huerfano,3,23,19,Box #1,#504-10/22/18
Huerfano,3,24,25,Box #2,
Huerfano,3,25,25,Box #2,
Huerfano,3,26,18,Box #2,
Huerfano,3,27,25,Box #2,
Huerfano,3,28,21,Box #2,
Huerfano,3,29,10,Box #2,
Huerfano,3,30,25,Box #2,
Huerfano,3,31,27,Box #2,
Huerfano,3,32,23,Box #2,
Huerfano,3,33,26,Box #2,#729-10/23/2018
Huerfano,3,34,25,Box#3,
Huerfano,3,35,18,Box #3,
Huerfano,3,36,3,Box #3,
Huerfano,3,37,29,Box #3,
Huerfano,3,38,21,Box #3,
Huerfano,3,39,13,Box #3,
Huerfano,3,40,19,Box #3,
Huerfano,3,41,23,Box #3,
Huerfano,3,42,23,Box #3,
Huerfano,3,43,25,Box #3,
Huerfano,3,44,16,Box#3,
Huerfano,3,45,22,Box #3,
Huerfano,3,46,23,Box#3,
Huerfano,3,47,21,Box #3,
Huerfano,3,48,25,Box #3,
Huerfano,3,49,3,Box #3,
Huerfano,3,50,21,Box #3,
Huerfano,3,51,23,Box #3,
Huerfano,3,52,4,Box #3,#1086-10/25/18
Huerfano,3,53,20,Box #4,
Huerfano,3,54,25,Box #4,
Huerfano,3,55,7,Box #4,
Huerfano,3,56,25,Box #4,
Huerfano,3,57,25,Box #4,
Huerfano,3,58,25,Box #4,
Huerfano,3,59,9,Box #4,
Huerfano,3,60,25,Box #4,
Huerfano,3,61,20,Box #4,
Huerfano,3,62,20,Box #4,Ballot 2-write in rejection
Huerfano,3,63,16,Box #4,
Huerfano,3,64,25,Box #4,
Huerfano,3,65,20,Box #4,
Huerfano,3,66,25,Box #4,
Huerfano,3,67,24,Box #4,
Huerfano,3,68,22,Box #4,Ballot 22-write in rejection
Huerfano,3,69,25,Box #4,
Huerfano,3,70,24,Box #4,
Huerfano,3,71,25,Box #4,
Huerfano,3,72,25,Box #4,
Huerfano,3,73,26,Box #4,
Huerfano,3,74,23,Box #4,
Huerfano,3,75,25,Box #5,
Huerfano,3,76,23,Box #5,
Huerfano,3,77,10,Box #5,
Huerfano,3,78,25,Box #5,
Huerfano,3,79,24,Box #5,
Huerfano,3,80,21,Box #5,
Huerfano,3,81,28,Box #5,
Huerfano,3,82,22,Box #5,
Huerfano,3,83,25,Box #5,
Huerfano,3,84,25,Box #5,
Huerfano,3,85,5,Box #5,10/30/18 -count 1800
Huerfano,3,86,7,Box #6,
Huerfano,3,87,24,Box #6,
Huerfano,3,88,11,Box #6,
Huerfano,3,89,2,Box #6,
Huerfano,3,90,25,Box #6,
Huerfano,3,91,26,Box #6,
Huerfano,3,92,25,Box #6,
Huerfano,3,93,25,Box #6,
Huerfano,3,94,25,Box #6,
Huerfano,3,95,5,Box #6,
Huerfano,3,96,24,Box #6,
Huerfano,3,97,2,Box #6,
Huerfano,3,98,22,Box #6,
Huerfano,3,99,13,Box #6,
Huerfano,3,100,25,Box #6,
Huerfano,3,101,25,Box #6,
Huerfano,3,102,22,Box #6,
Huerfano,3,103,25,Box #6,11/1/18 - count 2133
Huerfano,3,104,13,Box #7,
Huerfano,3,105,25,Box #7,
Huerfano,3,106,25,Box #7,
Huerfano,3,107,25, Box #7,
Huerfano,3,108,13,Box #7,
Huerfano,3,109,25,Box #7,
Huerfano,3,110,25, Box #7,
Huerfano,3,111,25,Box #7,
Huerfano,3,112,25,Box #7,
Huerfano,3,113,14,Box #7,
Huerfano,3,114,25,Box #7,
Huerfano,3,115,12,Box #7,
Huerfano,3,116,25,Box #7,
Huerfano,3,117,24,Box #7,
Huerfano,3,118,25,Box #7,
Huerfano,3,119,17,Box #7,
Huerfano,3,120,26,Box #7,
Huerfano,3,121,25,Box #7,
Huerfano,3,122,25,Box #7,
Huerfano,3,123,24,Box #7,
Huerfano,3,124,26,Box #7,
Huerfano,3,125,24,Box #7,
Huerfano,3,126,25,Box #7,
Huerfano,3,127,24,Box #7,
Huerfano,3,128,23,Box #7,
Huerfano,3,129,25,Box #8,
Huerfano,3,130,5,Box #8,
Huerfano,3,131,25,Box #8,
Huerfano,3,132,20,Box #8,
Huerfano,3,133,25,Box #8,
Huerfano,3,134,25,Box # 8,
Huerfano,3,135,25,Box #8,
Huerfano,3,136,25,Box # 8,
Huerfano,3,137,9,Box #8,
Huerfano,3,138,22,Box #8,
Huerfano,3,139,24,Box #8,
Huerfano,3,140,24,Box # 8,
Huerfano,3,141,7,Box # 8,#2959 – 11/5/18
Huerfano,3,142,26,Box # 9,
Huerfano,3,143,12,Box #9,
Huerfano,3,144,25,Box #9,
Huerfano,3,145,17,Box #9,
Huerfano,3,146,25,Box #9,
Huerfano,3,147,25,Box #9,
Huerfano,3,148,25, Box #9,
Huerfano,3,149,24,Box #9,
Huerfano,3,150,24,Box # 9,
Huerfano,3,151,21,Box #9,
Huerfano,3,152,25,Box #9,
Huerfano,3,153,25,Box #9,
Huerfano,3,154,22,Box #9,
Huerfano,3,155,24,Box #9,
Huerfano,3,156,25,Box #9,
Huerfano,3,157,17,Property,
Huerfano,3,158,17,Property,
Huerfano,3,159,10,Property,
Huerfano,3,160,20,Property,
Huerfano,3,161,20,Property,
Huerfano,3,162,24,Property,
Huerfano,3,163,14,Property,
Huerfano,3,164,15,Property,
Huerfano,3,165,2,Property,
Huerfano,3,166,10,Property,
Huerfano,3,167,17,Property,
Huerfano,3,168,2,Property,
Huerfano,3,169,4,Property,
Huerfano,3,170,13,Property,Total 185
Huerfano,3,171,25,Box #9,
Huerfano,3,172,24,Box #9,
Huerfano,3,173,19,Box # 9,
Huerfano,3,174,4,Box #9,duplicates
Huerfano,3,175,25,Box #9,
Huerfano,3,176,25,Box #9,
Huerfano,3,177,25,Box #9,
Huerfano,3,178,7,Box #9,
Huerfano,3,179,25,Box #9,
Huerfano,3,180,25,Box #9,
Huerfano,3,181,3,Box #9,
Huerfano,3,182,26,Box #10,
Huerfano,3,183,25,Box #10,
Huerfano,3,184,25,Box #10,
Huerfano,3,185,16,Box #10,
Huerfano,3,186,1,Box #10,
Huerfano,3,187,15,Box #10,
Huerfano,3,188,25,Box #10,
Huerfano,3,189,25, Box #10,
Huerfano,3,190,6,Box #10,
Huerfano,3,191,13,Box #10,
Huerfano,3,192,14,Box #10,
Huerfano,3,193,8,Box#11,
Huerfano,3,194,6,Box#11,Property Owner batch
