County,Tabulator ID,Batch,# of Ballot Cards,Location
Moffat,2,1,25,Courthouse
Moffat,2,2,25,Courthouse
Moffat,2,3,25,Courthouse
Moffat,2,4,25,Courthouse
Moffat,2,5,25,Courthouse
Moffat,2,6,25,Courthouse
Moffat,2,7,25,Courthouse
Moffat,2,8,25,Courthouse
Moffat,2,9,25,Courthouse
Moffat,2,10,25,Courthouse
Moffat,2,11,25,Courthouse
Moffat,2,12,25,Courthouse
Moffat,2,13,25,Courthouse
Moffat,2,14,25,Courthouse
Moffat,2,15,25,Courthouse
Moffat,2,16,25,Courthouse
Moffat,2,17,25,Courthouse
Moffat,2,18,25,Courthouse
Moffat,2,19,25,Courthouse
Moffat,2,20,25,Courthouse
Moffat,2,21,25,Courthouse
Moffat,2,22,25,Courthouse
Moffat,2,23,25,Courthouse
Moffat,2,24,25,Courthouse
Moffat,2,25,25,Courthouse
Moffat,2,26,25,Courthouse
Moffat,2,27,25,Courthouse
Moffat,2,28,25,Courthouse
Moffat,2,29,25,Courthouse
Moffat,2,30,25,Courthouse
Moffat,2,31,25,Courthouse
Moffat,2,32,25,Courthouse
Moffat,2,33,26,Courthouse
Moffat,2,34,24,Courthouse
Moffat,2,35,25,Courthouse
Moffat,2,36,25,Courthouse
Moffat,2,37,25,Courthouse
Moffat,2,38,25,Courthouse
Moffat,2,39,25,Courthouse
Moffat,2,40,25,Courthouse
Moffat,2,41,25,Courthouse
Moffat,2,42,25,Courthouse
Moffat,2,43,25,Courthouse
Moffat,2,44,25,Courthouse
Moffat,2,45,25,Courthouse
Moffat,2,46,25,Courthouse
Moffat,2,47,25,Courthouse
Moffat,2,48,25,Courthouse
Moffat,2,49,25,Courthouse
Moffat,2,50,25,Courthouse
Moffat,2,51,25,Courthouse
Moffat,2,52,25,Courthouse
Moffat,2,53,25,Courthouse
Moffat,2,54,25,Courthouse
Moffat,2,55,25,Courthouse
Moffat,2,56,25,Courthouse
Moffat,2,57,25,Courthouse
Moffat,2,58,25,Courthouse
Moffat,2,59,25,Courthouse
Moffat,2,60,25,Courthouse
Moffat,2,61,25,Courthouse
Moffat,2,62,25,Courthouse
Moffat,2,63,25,Courthouse
Moffat,2,64,25,Courthouse
Moffat,2,65,25,Courthouse
Moffat,2,66,25,Courthouse
Moffat,2,67,25,Courthouse
Moffat,2,68,25,Courthouse
Moffat,2,69,25,Courthouse
Moffat,2,70,25,Courthouse
Moffat,2,71,25,Courthouse
Moffat,2,72,25,Courthouse
Moffat,2,73,25,Courthouse
Moffat,2,74,25,Courthouse
Moffat,2,75,25,Courthouse
Moffat,2,76,25,Courthouse
Moffat,2,77,25,Courthouse
Moffat,2,78,25,Courthouse
Moffat,2,79,25,Courthouse
Moffat,2,80,25,Courthouse
Moffat,2,81,25,Courthouse
Moffat,2,82,25,Courthouse
Moffat,2,83,25,Courthouse
Moffat,2,84,25,Courthouse
Moffat,2,85,25,Courthouse
Moffat,2,86,25,Courthouse
Moffat,2,87,25,Courthouse
Moffat,2,88,25,Courthouse
Moffat,2,89,25,Courthouse
Moffat,2,90,25,Courthouse
Moffat,2,91,25,Courthouse
Moffat,2,92,25,Courthouse
Moffat,2,93,25,Courthouse
Moffat,2,94,25,Courthouse
Moffat,2,95,25,Courthouse
Moffat,2,96,25,Courthouse
Moffat,2,97,25,Courthouse
Moffat,2,98,25,Courthouse
Moffat,2,99,25,Courthouse
Moffat,2,100,25,Courthouse
Moffat,2,101,25,Courthouse
Moffat,2,102,25,Courthouse
Moffat,2,103,25,Courthouse
Moffat,2,104,25,Courthouse
Moffat,2,105,25,Courthouse
Moffat,2,106,25,Courthouse
Moffat,2,107,25,Courthouse
Moffat,2,108,25,Courthouse
Moffat,2,109,25,Courthouse
Moffat,2,110,25,Courthouse
Moffat,2,111,25,Courthouse
Moffat,2,112,25,Courthouse
Moffat,2,113,25,Courthouse
Moffat,2,114,25,Courthouse
Moffat,2,115,25,Courthouse
Moffat,2,116,25,Courthouse
Moffat,2,117,25,Courthouse
Moffat,2,118,25,Courthouse
Moffat,2,119,25,Courthouse
Moffat,2,120,25,Courthouse
Moffat,2,121,25,Courthouse
Moffat,2,122,25,Courthouse
Moffat,2,123,25,Courthouse
Moffat,2,124,25,Courthouse
Moffat,2,125,25,Courthouse
Moffat,2,126,25,Courthouse
Moffat,2,127,25,Courthouse
Moffat,2,128,25,Courthouse
Moffat,2,129,25,Courthouse
Moffat,2,130,25,Courthouse
Moffat,2,131,25,Courthouse
Moffat,2,132,25,Courthouse
Moffat,2,133,25,Courthouse
Moffat,2,134,25,Courthouse
Moffat,2,135,25,Courthouse
Moffat,2,136,25,Courthouse
Moffat,2,137,25,Courthouse
Moffat,2,138,25,Courthouse
Moffat,2,139,25,Courthouse
Moffat,2,140,25,Courthouse
Moffat,2,141,25,Courthouse
Moffat,2,142,25,Courthouse
Moffat,2,143,25,Courthouse
Moffat,2,144,25,Courthouse
Moffat,2,145,25,Courthouse
Moffat,2,146,25,Courthouse
Moffat,2,147,25,Courthouse
Moffat,2,148,25,Courthouse
Moffat,2,149,25,Courthouse
Moffat,2,150,25,Courthouse
Moffat,2,151,25,Courthouse
Moffat,2,152,25,Courthouse
Moffat,2,153,25,Courthouse
Moffat,2,154,25,Courthouse
Moffat,2,155,25,Courthouse
Moffat,2,156,25,Courthouse
Moffat,2,157,25,Courthouse
Moffat,2,158,25,Courthouse
Moffat,2,159,25,Courthouse
Moffat,2,160,25,Courthouse
Moffat,2,161,25,Courthouse
Moffat,2,162,25,Courthouse
Moffat,2,163,25,Courthouse
Moffat,2,164,25,Courthouse
Moffat,2,165,25,Courthouse
Moffat,2,166,25,Courthouse
Moffat,2,167,25,Courthouse
Moffat,2,168,25,Courthouse
Moffat,2,169,25,Courthouse
Moffat,2,170,25,Courthouse
Moffat,2,171,25,Courthouse
Moffat,2,172,25,Courthouse
Moffat,2,173,25,Courthouse
Moffat,2,174,25,Courthouse
Moffat,2,175,25,Courthouse
Moffat,2,176,25,Courthouse
Moffat,2,177,25,Courthouse
Moffat,2,178,25,Courthouse
Moffat,2,179,25,Courthouse
Moffat,2,180,25,Courthouse
Moffat,2,181,25,Courthouse
Moffat,2,182,25,Courthouse
Moffat,2,183,25,Courthouse
Moffat,2,184,25,Courthouse
Moffat,2,185,25,Courthouse
Moffat,2,186,25,Courthouse
Moffat,2,187,25,Courthouse
Moffat,2,188,25,Courthouse
Moffat,2,189,25,Courthouse
Moffat,2,190,25,Courthouse
Moffat,2,191,25,Courthouse
Moffat,2,192,25,Courthouse
Moffat,2,193,25,Courthouse
Moffat,2,194,25,Courthouse
Moffat,2,195,25,Courthouse
Moffat,2,196,25,Courthouse
Moffat,2,197,25,Courthouse
Moffat,2,198,25,Courthouse
Moffat,2,199,25,Courthouse
Moffat,2,200,25,Courthouse
Moffat,2,201,25,Courthouse
Moffat,2,202,25,Courthouse
Moffat,2,203,25,Courthouse
Moffat,2,204,25,Courthouse
Moffat,2,205,25,Courthouse
Moffat,2,206,25,Courthouse
Moffat,2,207,25,Courthouse
Moffat,2,208,25,Courthouse
Moffat,2,209,25,Courthouse
Moffat,2,210,25,Courthouse
Moffat,2,211,25,Courthouse
Moffat,2,212,25,Courthouse
Moffat,2,213,25,Courthouse
Moffat,2,214,25,Courthouse
Moffat,2,215,25,Courthouse
Moffat,2,216,25,Courthouse
Moffat,2,217,25,Courthouse
Moffat,2,218,25,Courthouse
Moffat,2,219,25,Courthouse
Moffat,2,220,25,Courthouse
Moffat,2,221,25,Courthouse
Moffat,2,222,25,Courthouse
Moffat,2,223,25,Courthouse
Moffat,2,224,25,Courthouse
Moffat,2,225,25,Courthouse
Moffat,2,226,25,Courthouse
Moffat,2,227,25,Courthouse
Moffat,2,228,25,Courthouse
Moffat,2,229,25,Courthouse
Moffat,2,230,25,Courthouse
Moffat,2,231,25,Courthouse
Moffat,2,232,25,Courthouse
Moffat,2,233,25,Courthouse
Moffat,2,234,25,Courthouse
Moffat,2,235,25,Courthouse
Moffat,2,236,25,Courthouse
Moffat,2,237,25,Courthouse
Moffat,2,238,25,Courthouse
Moffat,2,239,25,Courthouse
Moffat,2,240,25,Courthouse
Moffat,2,241,25,Courthouse
Moffat,2,242,25,Courthouse
Moffat,2,243,25,Courthouse
Moffat,2,244,25,Courthouse
Moffat,2,245,25,Courthouse
Moffat,2,246,25,Courthouse
Moffat,2,247,25,Courthouse
Moffat,2,248,25,Courthouse
Moffat,2,249,25,Courthouse
Moffat,2,250,25,Courthouse
Moffat,2,251,25,Courthouse
Moffat,2,252,25,Courthouse
Moffat,2,253,25,Courthouse
Moffat,2,254,25,Courthouse
Moffat,2,255,25,Courthouse
Moffat,2,256,25,Courthouse
Moffat,2,257,25,Courthouse
Moffat,2,258,25,Courthouse
Moffat,2,259,25,Courthouse
Moffat,2,260,25,Courthouse
Moffat,2,261,25,Courthouse
Moffat,2,262,25,Courthouse
Moffat,2,263,25,Courthouse
Moffat,2,264,25,Courthouse
Moffat,2,265,25,Courthouse
Moffat,2,266,25,Courthouse
Moffat,2,267,25,Courthouse
Moffat,2,268,25,Courthouse
Moffat,2,269,25,Courthouse
Moffat,2,270,25,Courthouse
Moffat,2,271,25,Courthouse
Moffat,2,272,25,Courthouse
Moffat,2,273,25,Courthouse
Moffat,2,274,25,Courthouse
Moffat,2,275,25,Courthouse
Moffat,2,276,25,Courthouse
Moffat,2,277,25,Courthouse
Moffat,2,278,25,Courthouse
Moffat,2,279,25,Courthouse
Moffat,2,280,25,Courthouse
Moffat,2,281,25,Courthouse
Moffat,2,282,25,Courthouse
Moffat,2,283,25,Courthouse
Moffat,2,284,25,Courthouse
Moffat,2,285,25,Courthouse
Moffat,2,286,25,Courthouse
Moffat,2,287,25,Courthouse
Moffat,2,288,25,Courthouse
Moffat,2,289,25,Courthouse
Moffat,2,290,25,Courthouse
Moffat,2,291,25,Courthouse
Moffat,2,292,25,Courthouse
Moffat,2,293,25,Courthouse
Moffat,2,294,25,Courthouse
Moffat,2,295,25,Courthouse
Moffat,2,296,25,Courthouse
Moffat,2,297,25,Courthouse
Moffat,2,298,25,Courthouse
Moffat,2,299,25,Courthouse
Moffat,2,300,25,Courthouse
Moffat,2,301,25,Courthouse
Moffat,2,302,25,Courthouse
Moffat,2,303,25,Courthouse
Moffat,2,304,25,Courthouse
Moffat,2,305,25,Courthouse
Moffat,2,306,25,Courthouse
Moffat,2,307,25,Courthouse
Moffat,2,308,25,Courthouse
Moffat,2,309,25,Courthouse
Moffat,2,310,25,Courthouse
Moffat,2,311,25,Courthouse
Moffat,2,312,25,Courthouse
Moffat,2,313,25,Courthouse
Moffat,2,314,25,Courthouse
Moffat,2,315,25,Courthouse
Moffat,2,316,25,Courthouse
Moffat,2,317,25,Courthouse
Moffat,2,318,25,Courthouse
Moffat,2,319,25,Courthouse
Moffat,2,320,25,Courthouse
Moffat,2,321,25,Courthouse
Moffat,2,322,25,Courthouse
Moffat,2,323,25,Courthouse
Moffat,2,324,25,Courthouse
Moffat,2,325,25,Courthouse
Moffat,2,326,25,Courthouse
Moffat,2,327,25,Courthouse
Moffat,2,328,25,Courthouse
Moffat,2,329,25,Courthouse
Moffat,2,330,25,Courthouse
Moffat,2,331,25,Courthouse
Moffat,2,332,25,Courthouse
Moffat,2,333,25,Courthouse
Moffat,2,334,25,Courthouse
Moffat,2,335,25,Courthouse
Moffat,2,336,25,Courthouse
Moffat,2,337,25,Courthouse
Moffat,2,338,25,Courthouse
Moffat,2,339,25,Courthouse
Moffat,2,340,25,Courthouse
Moffat,2,341,25,Courthouse
Moffat,2,342,25,Courthouse
Moffat,2,343,25,Courthouse
Moffat,2,344,25,Courthouse
Moffat,2,345,25,Courthouse
Moffat,2,346,25,Courthouse
Moffat,2,347,25,Courthouse
Moffat,2,348,25,Courthouse
Moffat,2,349,25,Courthouse
Moffat,2,350,25,Courthouse
Moffat,2,351,25,Courthouse
Moffat,2,352,25,Courthouse
Moffat,2,353,25,Courthouse
Moffat,2,354,25,Courthouse
Moffat,2,355,25,Courthouse
Moffat,2,356,25,Courthouse
Moffat,2,357,25,Courthouse
Moffat,2,358,25,Courthouse
Moffat,2,359,25,Courthouse
Moffat,2,360,25,Courthouse
Moffat,2,361,25,Courthouse
Moffat,2,362,25,Courthouse
Moffat,2,363,25,Courthouse
Moffat,2,364,25,Courthouse
Moffat,2,365,25,Courthouse
Moffat,2,366,25,Courthouse
Moffat,2,367,25,Courthouse
Moffat,2,368,25,Courthouse
Moffat,2,369,25,Courthouse
Moffat,2,370,25,Courthouse
Moffat,2,371,25,Courthouse
Moffat,2,372,25,Courthouse
Moffat,2,373,25,Courthouse
Moffat,2,374,25,Courthouse
Moffat,2,375,25,Courthouse
Moffat,2,376,25,Courthouse
Moffat,2,377,25,Courthouse
Moffat,2,378,25,Courthouse
Moffat,2,379,25,Courthouse
Moffat,2,380,25,Courthouse
Moffat,2,381,25,Courthouse
Moffat,2,382,25,Courthouse
Moffat,2,383,25,Courthouse
Moffat,2,384,25,Courthouse
Moffat,2,385,25,Courthouse
Moffat,2,386,25,Courthouse
Moffat,2,387,25,Courthouse
Moffat,2,388,25,Courthouse
Moffat,2,389,25,Courthouse
Moffat,2,390,25,Courthouse
Moffat,2,391,25,Courthouse
Moffat,2,392,25,Courthouse
Moffat,2,393,25,Courthouse
Moffat,2,394,25,Courthouse
Moffat,2,395,25,Courthouse
Moffat,2,396,25,Courthouse
Moffat,2,397,25,Courthouse
Moffat,2,398,25,Courthouse
Moffat,2,399,25,Courthouse
Moffat,2,400,25,Courthouse
Moffat,2,401,25,Courthouse
Moffat,2,402,25,Courthouse
Moffat,2,403,25,Courthouse
Moffat,2,404,25,Courthouse
Moffat,2,405,25,Courthouse
Moffat,2,406,25,Courthouse
Moffat,2,407,25,Courthouse
Moffat,2,408,25,Courthouse
Moffat,2,409,25,Courthouse
Moffat,2,410,25,Courthouse
Moffat,2,411,25,Courthouse
Moffat,2,412,25,Courthouse
Moffat,2,413,25,Courthouse
Moffat,2,414,25,Courthouse
Moffat,2,415,25,Courthouse
Moffat,2,416,25,Courthouse
Moffat,2,417,25,Courthouse
Moffat,2,418,25,Courthouse
Moffat,2,419,25,Courthouse
Moffat,2,420,25,Courthouse
Moffat,2,421,25,Courthouse
Moffat,2,422,25,Courthouse
Moffat,2,423,25,Courthouse
Moffat,2,424,25,Courthouse
Moffat,2,425,25,Courthouse
Moffat,2,426,24,Courthouse
Moffat,2,427,5,Courthouse
Moffat,2,428,5,Courthouse
Moffat,2,429,26,Courthouse
