county_name,ballot_manifest_hash
Adams,2113F3FFBCC4DFAC799A5C23A85531CD244FD26413AABA7B461D6B94EDA56386
Alamosa,2B68482BB30994C6F4369124BBB6447AD3D290CD50BEC2EA8E5EC0AA53476A90
Arapahoe,7A3C60B9580D5C3CF48E66A1D1551610BC31435BE1C1689824DB4574A2218CBD
Archuleta,8077ADA95B71619D4E84444F21F4AE8D2E424D4A54C223BDFCE414E70B6B1A5C
Baca,E6E983BA0BF68039FE1638D23AC20150E39F88D2F06273B8E0322FCD83BAFDF0
Bent,8D4E57FD6BFEF3D2337B970423B7C13B1CF3FAFA5839DE54E80880671D3A3B7A
Boulder,6EC45649222D2DB59D0FC25C5651DB74F2819A3BA9CE43E937FF28774939A270
Broomfield,9A4432DAF03EF6E654147ADF2DBEFEE53E3CD2306972DF1E881C425EBB0757B4
Chaffee,1443EF1A83C836D8A76A264A438D8FD460B47DDA82E04FC784A4F8D9CA5BE5CD
Cheyenne,8938F231D446C39BEA1E21CF91ADAB9460E4D0C6AE83E020B25E848D0CC4EF0C
Clear Creek,5215294CD7FBECEB99668C9D065B45EE48D0ED18EB6E73694F0D0DE0C049990E
Conejos,B732E6B451DAC44824F0FDEE6DA0D2297AA28748FDBCEE02F1DA333C80EB4C7B
Costilla,B16CFC1B3EB0BB107D787F7DDA13C3F25A005B6B6DB4953364E895D8342547F8
Crowley,6E75213E043D9DA595DC95861AF67D9250B1FE80372AF32113115E2E3AD06BD8
Custer,2DA44151B25F1C884024CCDA1A90FD20BBD7642F62A1ADDD391C8A9AF15B95B6
Delta,79C0508CEEC6826679396A17009AAEA7D7393ECA46CA61771233E4054AADB48E
Denver,9D537DEFA2CEF172AA68CB7FAAD87C147468A96E1BE91056B22976597FA021AC
Dolores,2A9C81613804B3AD0A3EC31E11C8916DB0DCEB05592A55B893B0209DEFC1F62C
Douglas,5AB47A31CAAE915EEAB65F93D00441A85D2BD24351A306D9038D722A3779DB15
Eagle,FDC98AEB06775B48558F29D8E7AD94519E7009331CD20FE7A4B80B2761EA2AE3
Elbert,403CAFE0A03B1CA998C99F8420FD83C74171C6C3FAD5A0C7CB255A91CEEB67D0
El Paso,38454CA306DAF27C0D71C2E16C743EB99943B1C8C0875BAA37A5CC5D315DF935
Fremont,01C958177006D9F6104DE88DF4FA278B405D0F975B77E4E850C5EA66770F7722
Garfield,
Gilpin,E88946CF8CC31C77FD2C7B2C4C2555CD1204E8CCCD9E3EC098B13BAC6D200D88
Grand,5C25F7D68AB6DDF0C8FEC66B2587C76B642671D803EE0C780E93DBEF7C698238
Gunnison,563533448674D798A127F0C4BF7F4D8BAAEF84E949B1EEFE41EB1DDE50A33841
Hinsdale,
Huerfano,FECC1AA194F895F63BBE35896C0A82952DEC83DE4EE673C1D971215EEF6C53E5
Jackson,
Jefferson,01BBF2C6728D591B75879FC9B5DD1EFF4576B69715527A01FF6415831F975854
Kiowa,226B39E3B781D423EDBEDA49A64931DFD0B8AE028A252477857C1985229481EB
Kit Carson,292AFB5357DE11A2FB432CACA2765D7A5354A6F94EF56E43214B8F3DF099D68D
Lake,DA6A3535151AB8FCA88DCF81ED276E0A1BD7728F77BE74843134104E200E6374
La Plata,C206F24BC775A362A3271702CA7CCDD374C74735665C2851BD12D5B1D3DC8CB0
Larimer,18416ECD90B05707497812527D0F438AB399B6046ED246873B426AAD417F9C95
Las Animas,02146FA384FCA62C0EB1B0EE46C04619CD0B9CFA619E4F98A133058F38CE997E
Lincoln,B550C1CDB3C2143CEA7F3E26CC2A9C7BBA082E0E0B82DE7826E5F961C82625BA
Logan,62DEB7413B21AD70A131DEBDD8ACAA1A198508F3C616F01EE93BED13F0D455D6
Mesa,EDF066E36B48C0E85FB82D073980BF60AC826ED921051A224DF218EE432D2083
Mineral,
Moffat,9C2705D9C70DA127F077EBCE4A6B6FFFA9F8607A6F1C57085A110ABFB52DAA37
Montezuma,8AC29A11D8BC94F44E7F43CD65BAE35616B4D19ECF6DBE4B37512EB92FE79107
Montrose,FB38EA889E1CEC2C2D6BB91D7C1C6AAC23669DE7FB2EFC674E19DA2B6C7BE2FB
Morgan,EE12C8250C7DB0FA81AAC30D7A2FC17246AC0A374B293DB0853E1A17D4D66208
Otero,66E290B93C33031C3443FBA035BFF425E052ED7A31C25C396CFEB71A2FA06A41
Ouray,6683FEB77C9EB0BE3F59CF89B38B09939F2F6B504486F826D2A19843E636628E
Park,3E7FF372AFB3B42ADFBBD163AB7EE25DD4BFEE36924F56ED9B70908E4CA93586
Phillips,911F7DE72C7DBBFD6C60BCD6D2DF7ABFC50742DFF012E26FBEBCB3C9690C1B05
Pitkin,27D166F3DAF6CD50F711CA1409AED00101416AFA7CF054498B5B48E643C2505F
Prowers,69BA496729B8E10283A5DB7C3C35EFE964B5438F0F1C554222F686E59958379D
