name,filename,hash_status,approx_count,size,status,timestamp
Park,Park_Ballot Manifest_2018 General Election.csv,VERIFIED,518,11026,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 08:19:30.935
Phillips,Ballot Manifest.csv,VERIFIED,86,2162,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 09:11:51.749
Pueblo,Ballot Manifest 2.csv,VERIFIED,1438,34443,IMPORTED_AS_BALLOT_MANIFEST,2018-11-17 12:07:59.657
Rio Blanco,Ballot Manifest 2018 General Election 8 Day Hold.csv,VERIFIED,127,3605,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 09:20:00.244
Saguache,Ballot Manifest Template2018GEN.csv,VERIFIED,236,5858,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 09:32:27.753
Kiowa,Manifest.csv,VERIFIED,36,778,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 09:33:52.402
Sedgwick,2018 General Ballot Manifest.csv,VERIFIED,103,2086,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 09:58:32.03
Rio Grande,Ballot Manifest.csv,VERIFIED,203,5400,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 10:34:11.227
Prowers,Ballot Manifest 2018 Prowers County General Election.csv,VERIFIED,174,4096,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 10:42:09.299
Fremont,Ballot Manifest General 2018.csv,VERIFIED,802,19389,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 10:45:31.235
Logan,2018 GENERAL Logan Manifest.csv,VERIFIED,353,6551,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 10:47:04.192
Dolores,Gen Ballot Manifest.csv,VERIFIED,50,1074,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 11:39:12.176
Lincoln,2018 Ballot Manifest.csv,VERIFIED,88,2472,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 11:59:14.028
Gunnison,2018 general ballot manifest.csv,VERIFIED,396,9759,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 12:04:16.467
Grand,Ballot Manifest 2018 General Election - Grand.csv,VERIFIED,163,3925,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 12:24:34.639
Eagle,Ballot Manifest Eagle County 2018GEN.csv,VERIFIED,1910,50179,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 12:24:52.097
Mesa,Ballot Manifest General.csv,VERIFIED,816,26001,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 12:49:41.18
Bent,Ballot Manifest Bent.csv,VERIFIED,77,1575,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 12:55:32.219
Gilpin,Ballot Manifest 2018 General.csv,VERIFIED,344,7830,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:08:50.192
Elbert,Ballot Manifest Elbert 2018.csv,VERIFIED,595,13751,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:17:03.834
Broomfield,2018 General Ballot Manifest.csv,VERIFIED,1487,72730,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:20:35.654
Moffat,2018 General Moffat County Ballot Manifest.csv,VERIFIED,430,11956,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:21:02.342
Crowley,CrowleyCounty_BallotManifest_ 20181106.csv,VERIFIED,59,1372,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:32:21.788
Washington,Washington County 2018 General Ballot Manifest.csv,VERIFIED,100,2818,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:36:42.754
Huerfano,2nd_copyHuerfano Ballot Manifest11142018 13_09.csv,VERIFIED,195,5415,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:42:44.506
Pitkin,Ballot Manifest 2018 GE - Sorted.csv,VERIFIED,798,20480,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:43:31.736
Kit Carson,Kit Carson County Ballot Manifest 11.06.18.csv,VERIFIED,141,3159,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 13:58:57.151
