county_id,county_name,contest_name,contest_id
1,Adams,City of Arvada Mayor,1395635
1,Adams,City of Arvada Councilmember - At Large,1395637
1,Adams,City of Arvada Councilmember - District 2,1395639
1,Adams,City of Aurora Mayor,1395641
1,Adams,City of Aurora Council Member - At Large,1395643
1,Adams,City of Commerce City Mayor,1395645
1,Adams,City of Commerce City Councilmember - Ward II,1395647
1,Adams,City of Commerce City Councilmember - Ward IV,1395649
1,Adams,City of Commerce City Councilmember - At Large,1395651
1,Adams,City of Brighton Councilmember - Ward 1,1395653
1,Adams,City of Brighton Councilmember - Ward 2,1395655
1,Adams,City of Brighton Councilmember - Ward 3,1395657
1,Adams,City of Brighton Councilmember - Ward 4,1395659
1,Adams,City of Federal Heights Mayor,1395661
1,Adams,City of Federal Heights Council Member - Ward One,1395663
1,Adams,City of Federal Heights Council Member - Ward Two - 4 Year Term,1395665
1,Adams,City of Federal Heights Council Member - Ward Two - 2 Year Term,1395667
1,Adams,City of Federal Heights Council Member - Ward Three,1395669
1,Adams,City of Northglenn Mayor,1395671
1,Adams,City of Northglenn Council Member - Ward 1,1395673
1,Adams,City of Northglenn Council Member - Ward 2,1395675
1,Adams,City of Northglenn Council Member - Ward 3,1395677
1,Adams,City of Northglenn Council Member - Ward 4,1395679
1,Adams,City of Thornton Mayor,1395681
1,Adams,City of Thornton Councilmember - Ward 1,1395683
1,Adams,City of Thornton Councilmember - Ward 2,1395685
1,Adams,City of Thornton Councilmember - Ward 3,1395687
1,Adams,City of Thornton Councilmember - Ward 4,1395689
1,Adams,City of Westminster Councillor,1395691
1,Adams,Adams County School District 14 Board Of Education,1395693
1,Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,1395695
1,Adams,Bennett School District 29J School Director - At Large,1395697
1,Adams,Byers School District 32J School Board Director,1395699
1,Adams,Deer Trail School District 26J Director of the Board of Education,1395701
1,Adams,Strasburg School District 31J School Board Director,1395703
1,Adams,Weld County School District RE-3J Director - District E,1395705
1,Adams,Aims College District Trustee - District A,1395707
1,Adams,Aims College District Trustee - District B,1395709
1,Adams,Aims College District Trustee - District E,1395711
1,Adams,Proposition CC (Statutory),1395713
1,Adams,Proposition DD (Statutory),1395715
1,Adams,City of Brighton Ballot Question 3A,1395717
1,Adams,City of Northglenn Question 3F,1395719
1,Adams,Strasburg School District 31J Ballot Issue 5A,1395721
1,Adams,Bennett School District 29J Ballot Issue 5B,1395723
1,Adams,Rangeview Library District Ballot Issue No. 6A,1395725
1,Adams,Byers Fire Protection District Ballot Issue 7B,1395727
1,Adams,Byers Fire Protection District Ballot Issue 7C,1395729
1,Adams,Byers Fire Protection District Ballot Issue 7D,1395731
2,Alamosa,City of Alamosa Councilor - At Large,15560
2,Alamosa,City of Alamosa Councilor - Ward 1,15562
2,Alamosa,City of Alamosa Councilor - Ward 3,15564
2,Alamosa,Alamosa School District RE-11J Director - District 1,15566
2,Alamosa,Alamosa School District RE-11J Director - District 2,15568
2,Alamosa,Alamosa School District RE-11J Director - District 5,15570
2,Alamosa,Alamosa School District RE-11J Director - District 6,15572
2,Alamosa,North Conejos School District RE-1J Director - District B,15574
2,Alamosa,North Conejos School District RE-1J Director - District D,15576
2,Alamosa,North Conejos School District RE-1J Director - District F,15578
2,Alamosa,Proposition CC (Statutory),15580
