County,Tabulator ID,Batch,# of Ballot Cards,Location
Bent,2,1,25,
Bent,2,2,25,
Bent,2,3,25,
Bent,2,4,25,
Bent,2,5,25,
Bent,2,6,25,
Bent,2,7,25,
Bent,2,8,25,
Bent,2,9,25,
Bent,2,10,25,
Bent,2,11,25,
Bent,2,12,25,
Bent,2,13,25,
Bent,2,14,25,
Bent,2,15,25,
Bent,2,16,25,
Bent,2,17,25,
Bent,2,18,25,
Bent,2,19,25,
Bent,2,20,25,
Bent,2,21,25,
Bent,2,22,25,
Bent,2,23,25,
Bent,2,24,25,
Bent,2,25,25,
Bent,2,26,25,
Bent,2,27,25,
Bent,2,28,25,
Bent,2,29,25,
Bent,2,30,25,
Bent,2,31,25,
Bent,2,32,25,
Bent,2,33,25,
Bent,2,34,25,
Bent,2,35,25,
Bent,2,36,25,
Bent,2,37,25,
Bent,2,38,25,
Bent,2,39,25,
Bent,2,40,25,
Bent,2,41,25,
Bent,2,42,25,
Bent,2,43,25,
Bent,2,44,25,
Bent,2,45,25,
Bent,2,46,25,
Bent,2,47,25,
Bent,2,48,25,
Bent,2,49,25,
Bent,2,50,25,
Bent,2,51,25,
Bent,2,52,25,
Bent,2,53,25,
Bent,2,54,25,
Bent,2,55,25,
Bent,2,56,25,
Bent,2,57,25,
Bent,2,58,25,
Bent,2,59,5,
