County,Tabulator ID,Batch,# of Ballot Cards,Location
Kit Carson,1,1,25,Tote 1
Kit Carson,1,2,25,Tote 1
Kit Carson,1,3,25,Tote 1
Kit Carson,1,4,25,Tote 1
Kit Carson,1,5,20,Tote 1
Kit Carson,1,6,25,Tote 1
Kit Carson,1,7,25,Tote 1
Kit Carson,1,8,25,Tote 1
Kit Carson,1,9,25,Tote 1
Kit Carson,1,10,25,Tote 1
Kit Carson,1,11,7,Tote 1
Kit Carson,1,12,25,Tote 1
Kit Carson,1,13,25,Tote 1
Kit Carson,1,14,25,Tote 1
Kit Carson,1,15,25,Tote 1
Kit Carson,1,16,25,Tote 1
Kit Carson,1,17,3,Tote 1
Kit Carson,1,18,25,Tote 1
Kit Carson,1,19,25,Tote 1
Kit Carson,1,20,25,Tote 1
Kit Carson,1,21,25,Tote 1
Kit Carson,1,22,12,Tote 1
Kit Carson,1,23,25,Tote 1
Kit Carson,1,24,25,Tote 1
Kit Carson,1,25,25,Tote 1
Kit Carson,1,26,25,Tote 1
Kit Carson,1,27,18,Tote 1
Kit Carson,1,28,25,Tote 1
Kit Carson,1,29,25,Tote 1
Kit Carson,1,30,25,Tote 1
Kit Carson,1,31,25,Tote 1
Kit Carson,1,32,11,Tote 1
Kit Carson,1,33,25,Tote 1
Kit Carson,1,34,25,Tote 1
Kit Carson,1,35,25,Tote 1
Kit Carson,1,36,25,Tote 1
Kit Carson,1,37,25,Tote 1
Kit Carson,1,38,25,Tote 1
Kit Carson,1,39,25,Tote 1
Kit Carson,1,40,25,Tote 1
Kit Carson,1,41,25,Tote 1
Kit Carson,1,42,25,Tote 1
Kit Carson,1,43,22,Tote 1
Kit Carson,1,44,25,Tote 1
Kit Carson,1,45,25,Tote 1
Kit Carson,1,46,25,Tote 1
Kit Carson,1,47,25,Tote 1
Kit Carson,1,48,22,Tote 1
Kit Carson,1,49,25,Tote 1
Kit Carson,1,50,25,Tote 1
Kit Carson,1,51,25,Tote 1
Kit Carson,1,52,25,Tote 1
Kit Carson,1,53,25,Tote 1
Kit Carson,1,54,8,Tote 1
Kit Carson,1,55,25,Tote 2
Kit Carson,1,56,25,Tote 2
Kit Carson,1,57,25,Tote 2
Kit Carson,1,58,25,Tote 2
Kit Carson,1,59,25,Tote 2
Kit Carson,1,60,3,Tote 2
Kit Carson,1,61,25,Tote 2
Kit Carson,1,62,25,Tote 2
Kit Carson,1,63,25,Tote 2
Kit Carson,1,64,25,Tote 2
Kit Carson,1,65,20,Tote 2
Kit Carson,1,66,25,Tote 2
Kit Carson,1,67,25,Tote 2
Kit Carson,1,68,25,Tote 2
Kit Carson,1,69,25,Tote 2
Kit Carson,1,70,18,Tote 2
Kit Carson,1,71,25,Tote 3
Kit Carson,1,72,25,Tote 3
Kit Carson,1,73,25,Tote 3
Kit Carson,1,74,25,Tote 3
Kit Carson,1,75,25,Tote 3
Kit Carson,1,76,5,Tote 3
Kit Carson,1,77,25,Tote 3
Kit Carson,1,78,25,Tote 3
Kit Carson,1,79,25,Tote 3
Kit Carson,1,80,25,Tote 3
Kit Carson,1,81,6,Tote 3
Kit Carson,1,82,25,Tote 3
Kit Carson,1,83,25,Tote 3
Kit Carson,1,84,25,Tote 3
Kit Carson,1,85,11,Tote 3
Kit Carson,1,86,25,Tote 3
Kit Carson,1,87,25,Tote 3
Kit Carson,1,88,25,Tote 3
Kit Carson,1,89,17,Tote 3
Kit Carson,1,90,25,Tote 3
Kit Carson,1,91,25,Tote 3
Kit Carson,1,92,25,Tote 3
Kit Carson,1,93,25,Tote 3
Kit Carson,1,94,8,Tote 3
Kit Carson,1,95,25,Tote 3
Kit Carson,1,96,25,Tote 3
Kit Carson,1,97,25,Tote 3
Kit Carson,1,98,25,Tote 3
Kit Carson,1,99,21,Tote 3
Kit Carson,1,100,25,Tote 3
Kit Carson,1,101,15,Tote 3
Kit Carson,1,102,24,Tote 3
Kit Carson,1,103,25,Tote 3
Kit Carson,1,104,25,Tote 3
Kit Carson,1,105,10,Tote 3
Kit Carson,1,106,25,Tote 4
Kit Carson,1,107,25,Tote 4
Kit Carson,1,108,25,Tote 4
Kit Carson,1,109,20,Tote 4
Kit Carson,1,110,24,Tote 4
Kit Carson,1,111,15,Tote 4
