County,Tabulator,Batch,# of Ballot Cards,Location
Logan,1,1,25,1
Logan,1,2,25,1
Logan,1,3,25,1
Logan,1,4,25,1
Logan,1,5,25,1
Logan,1,6,25,1
Logan,1,7,25,1
Logan,1,8,25,1
Logan,1,9,25,1
Logan,1,10,25,1
Logan,1,11,25,1
Logan,1,12,25,1
Logan,1,13,25,1
Logan,1,14,25,1
Logan,1,15,25,1
Logan,1,16,28,1
Logan,1,17,25,2
Logan,1,18,25,2
Logan,1,19,25,2
Logan,1,20,25,2
Logan,1,21,25,2
Logan,1,22,25,2
Logan,1,23,25,2
Logan,1,24,25,2
Logan,1,25,25,2
Logan,1,26,25,2
Logan,1,27,25,2
Logan,1,28,25,2
Logan,1,29,25,2
Logan,1,30,25,2
Logan,1,31,15,2
Logan,1,32,25,3
Logan,1,33,25,3
Logan,1,34,25,3
Logan,1,35,25,3
Logan,1,36,25,3
Logan,1,37,25,3
Logan,1,38,25,3
Logan,1,39,25,3
Logan,1,40,25,3
Logan,1,41,25,3
Logan,1,42,25,3
Logan,1,43,25,3
Logan,1,44,25,3
Logan,1,45,25,4
Logan,1,46,25,4
Logan,1,47,25,4
Logan,1,48,25,4
Logan,1,49,24,4
Logan,1,50,25,4
Logan,1,51,25,4
Logan,1,52,25,4
Logan,1,53,25,4
Logan,1,54,25,4
Logan,1,55,25,4
Logan,1,56,16,4
Logan,1,57,25,4
Logan,1,58,25,4
Logan,1,59,25,4
Logan,1,60,25,4
Logan,1,61,25,4
Logan,1,62,25,4
Logan,1,63,25,4
Logan,1,64,32,4
Logan,1,65,25,5
Logan,1,66,25,5
Logan,1,67,25,5
Logan,1,68,25,5
Logan,1,69,25,5
Logan,1,70,25,5
Logan,1,71,25,5
Logan,1,72,25,5
Logan,1,73,25,5
Logan,1,74,25,5
Logan,1,75,24,5
Logan,1,76,25,5
Logan,1,77,25,6
Logan,1,78,25,6
Logan,1,79,25,6
Logan,1,80,25,6
Logan,1,81,25,6
Logan,1,82,25,6
Logan,1,83,25,6
Logan,1,84,25,6
Logan,1,85,25,6
Logan,1,86,25,6
Logan,1,87,20,6
Logan,1,88,25,6
Logan,1,89,25,6
Logan,1,90,25,6
Logan,1,91,25,6
Logan,1,92,25,6
Logan,1,93,25,6
Logan,1,94,25,6
Logan,1,95,22,6
Logan,1,96,25,7
Logan,1,97,25,7
Logan,1,98,25,7
Logan,1,99,25,7
Logan,1,100,25,7
Logan,1,101,25,7
Logan,1,102,25,7
Logan,1,103,25,7
Logan,1,104,25,7
Logan,1,105,25,7
Logan,1,106,25,7
Logan,1,107,20,7
Logan,1,108,25,8
Logan,1,109,25,8
Logan,1,110,25,8
Logan,1,111,25,8
Logan,1,112,25,8
Logan,1,113,25,8
Logan,1,114,25,8
Logan,1,115,32,8
Logan,1,116,25,8
Logan,1,117,25,8
Logan,1,118,25,8
Logan,1,119,25,8
Logan,1,120,29,8
Logan,1,121,25,9
Logan,1,122,25,9
Logan,1,123,25,9
Logan,1,124,25,9
Logan,1,125,14,9
Logan,1,126,25,9
Logan,1,127,25,9
Logan,1,128,25,9
Logan,1,129,25,9
Logan,1,130,25,9
Logan,1,131,25,9
Logan,1,132,25,9
Logan,1,133,25,9
Logan,1,134,25,9
Logan,1,135,25,9
Logan,1,136,11,9
Logan,1,137,25,9
Logan,1,138,25,9
Logan,1,139,25,9
Logan,1,140,31,9
Logan,1,141,25,10
Logan,1,142,25,10
Logan,1,143,25,10
Logan,1,144,25,10
Logan,1,145,19,10
Logan,1,146,25,11
Logan,1,147,25,11
Logan,1,148,25,11
Logan,1,149,25,11
Logan,1,150,25,11
Logan,1,151,20,11
Logan,1,152,25,11
Logan,1,153,25,11
Logan,1,154,25,11
Logan,1,155,25,11
Logan,1,156,25,11
Logan,1,157,25,11
Logan,1,158,25,11
Logan,1,159,25,11
Logan,1,160,25,11
Logan,1,161,25,11
Logan,1,162,23,11
Logan,1,163,25,12
Logan,1,164,25,12
Logan,1,165,25,12
Logan,1,166,25,12
Logan,1,167,25,12
Logan,1,168,25,12
Logan,1,169,25,12
Logan,1,170,25,12
Logan,1,171,25,12
Logan,1,172,25,12
Logan,1,173,25,12
Logan,1,174,25,12
Logan,1,175,25,12
Logan,1,176,25,12
Logan,1,177,25,12
Logan,1,178,25,12
Logan,1,179,14,12
Logan,1,180,25,12
Logan,1,181,25,12
Logan,1,182,25,12
Logan,1,183,25,12
Logan,1,184,33,12
Logan,1,185,25,13
Logan,1,186,25,13
Logan,1,187,25,13
Logan,1,188,25,13
Logan,1,189,25,13
Logan,1,190,25,13
Logan,1,191,25,13
Logan,1,192,25,13
Logan,1,193,25,13
Logan,1,194,25,13
Logan,1,195,25,13
Logan,1,196,25,13
Logan,1,197,25,13
Logan,1,198,29,13
Logan,1,199,25,13
Logan,1,200,25,13
Logan,1,201,25,13
Logan,1,202,25,13
Logan,1,203,22,13
Logan,1,204,25,14
Logan,1,205,25,14
Logan,1,206,25,14
Logan,1,207,25,14
Logan,1,208,25,14
Logan,1,209,30,14
Logan,1,210,25,14
Logan,1,211,25,14
Logan,1,212,25,14
Logan,1,213,25,14
Logan,1,214,25,14
Logan,1,215,26,14
Logan,1,216,25,14
Logan,1,217,25,14
Logan,1,218,25,14
Logan,1,219,25,14
Logan,1,220,25,14
Logan,1,221,30,14
Logan,1,222,25,15
Logan,1,223,25,15
Logan,1,224,25,15
Logan,1,225,25,15
Logan,1,226,25,15
Logan,1,227,28,15
Logan,1,228,25,15
Logan,1,229,25,15
Logan,1,230,25,15
Logan,1,231,25,15
Logan,1,232,25,15
Logan,1,233,25,15
Logan,1,234,25,15
Logan,1,235,10,15
Logan,1,236,25,15
Logan,1,237,25,15
Logan,1,238,25,15
Logan,1,239,16,15
Logan,1,240,25,16
Logan,1,241,25,16
Logan,1,242,25,16
Logan,1,243,25,16
Logan,1,244,26,16
Logan,1,245,25,16
