County,Tabulator ID,Batch,# of Ballot Cards,Location
Mesa,2,1,100,2019CO-01
Mesa,2,2,100,2019CO-01
Mesa,2,3,99,2019CO-01
Mesa,2,4,100,2019CO-01
Mesa,2,5,100,2019CO-01
Mesa,2,6,100,2019CO-01
Mesa,2,7,100,2019CO-02
Mesa,2,8,100,2019CO-02
Mesa,2,9,100,2019CO-02
Mesa,2,10,100,2019CO-02
Mesa,2,11,100,2019CO-02
Mesa,2,12,100,2019CO-02
Mesa,2,13,100,2019CO-06
Mesa,2,14,100,2019CO-06
Mesa,2,15,99,2019CO-07
Mesa,2,16,100,2019CO-07
Mesa,2,17,99,2019CO-07
Mesa,2,18,100,2019CO-07
Mesa,2,19,100,2019CO-07
Mesa,2,20,100,2019CO-07
Mesa,2,21,100,2019CO-08
Mesa,2,22,100,2019CO-08
Mesa,2,23,100,2019CO-08
Mesa,2,24,100,2019CO-08
Mesa,2,25,100,2019CO-09
Mesa,2,26,100,2019CO-10
Mesa,2,27,100,2019CO-10
Mesa,2,28,100,2019CO-10
Mesa,2,29,100,2019CO-10
Mesa,2,30,100,2019CO-10
Mesa,2,31,100,2019CO-10
Mesa,2,32,100,2019CO-11
Mesa,2,33,100,2019CO-11
Mesa,2,34,100,2019CO-11
Mesa,2,35,100,2019CO-11
Mesa,2,36,100,2019CO-11
Mesa,2,37,100,2019CO-11
Mesa,2,38,54,2019CO-12
Mesa,2,39,100,2019CO-12
Mesa,2,40,100,2019CO-12
Mesa,2,41,100,2019CO-12
Mesa,2,42,100,2019CO-12
Mesa,2,43,100,2019CO-12
Mesa,2,44,100,2019CO-13
Mesa,2,45,100,2019CO-13
Mesa,2,46,100,2019CO-13
Mesa,2,47,100,2019CO-13
Mesa,2,48,100,2019CO-13
Mesa,2,49,99,2019CO-13
Mesa,2,50,41,2019CO-14
Mesa,2,51,100,2019CO-14
Mesa,2,52,100,2019CO-21
Mesa,2,53,100,2019CO-21
Mesa,2,54,100,2019CO-23
Mesa,2,55,100,2019CO-23
Mesa,2,56,99,2019CO-23
Mesa,2,57,100,2019CO-23
Mesa,2,58,100,2019CO-23
Mesa,2,59,100,2019CO-23
Mesa,2,60,100,2019CO-23
Mesa,2,61,100,2019CO-24
Mesa,2,62,100,2019CO-24
Mesa,2,63,100,2019CO-24
Mesa,2,64,100,2019CO-24
Mesa,2,65,100,2019CO-24
Mesa,2,66,100,2019CO-28
Mesa,2,67,100,2019CO-28
Mesa,2,68,99,2019CO-28
Mesa,2,69,99,2019CO-28
Mesa,2,70,99,2019CO-28
Mesa,2,71,100,2019CO-28
Mesa,2,72,100,2019CO-28
Mesa,2,73,100,2019CO-29
Mesa,2,74,100,2019CO-29
Mesa,2,75,100,2019CO-29
Mesa,2,76,100,2019CO-32
Mesa,2,77,99,2019CO-32
Mesa,2,78,100,2019CO-32
Mesa,2,79,100,2019CO-32
