County,Device ID,Batch,# of Ballots,Location
Ouray,1,1,25,1
Ouray,1,2,25,1
Ouray,1,3,25,1
Ouray,1,4,25,1
Ouray,1,5,25,1
Ouray,1,6,25,1
Ouray,1,7,25,1
Ouray,1,8,25,1
Ouray,1,9,25,1
Ouray,1,10,25,1
Ouray,1,11,25,1
Ouray,1,12,25,1
Ouray,1,13,25,1
Ouray,1,14,25,1
Ouray,1,15,25,1
Ouray,1,16,25,1
Ouray,1,17,25,1
Ouray,1,18,25,1
Ouray,1,19,25,1
Ouray,1,20,25,1
Ouray,1,21,25,1
Ouray,1,22,25,1
Ouray,1,23,25,1
Ouray,1,24,25,1
Ouray,1,25,25,1
Ouray,1,26,25,1
Ouray,1,27,25,1
Ouray,1,28,25,1
Ouray,1,29,25,1
Ouray,1,30,25,1
Ouray,1,31,25,1
Ouray,1,32,25,1
Ouray,1,33,25,1
Ouray,1,34,25,1
Ouray,1,35,25,1
Ouray,1,36,25,1
Ouray,1,37,25,1
Ouray,1,38,25,1
Ouray,1,39,25,1
Ouray,1,40,25,1
Ouray,1,41,25,1
Ouray,1,42,25,1
Ouray,1,43,25,1
Ouray,1,44,25,1
Ouray,1,45,25,1
Ouray,1,46,25,1
Ouray,1,47,25,1
Ouray,1,48,25,1
Ouray,1,49,25,1
Ouray,1,50,25,1
Ouray,1,51,25,1
Ouray,1,52,25,1
Ouray,1,53,25,1
Ouray,1,54,25,1
Ouray,1,55,25,1
Ouray,1,56,25,1
Ouray,1,57,25,1
Ouray,1,58,25,1
Ouray,1,59,25,1
Ouray,1,60,25,1
Ouray,1,61,25,1
Ouray,1,62,25,1
Ouray,1,63,25,1
Ouray,1,64,25,1
Ouray,1,65,25,1
Ouray,1,66,25,1
Ouray,1,67,25,1
Ouray,1,68,25,1
Ouray,1,69,25,2
Ouray,1,70,25,2
Ouray,1,71,25,2
Ouray,1,72,25,2
Ouray,1,73,25,2
Ouray,1,74,25,2
Ouray,1,75,25,2
Ouray,1,76,25,2
Ouray,1,77,25,2
Ouray,1,78,25,2
Ouray,1,79,25,2
Ouray,1,80,25,2
Ouray,1,81,25,2
Ouray,1,82,25,2
Ouray,1,83,25,2
Ouray,1,84,25,2
Ouray,1,85,25,2
Ouray,1,86,25,2
Ouray,1,87,25,2
Ouray,1,88,25,2
Ouray,1,89,25,2
Ouray,1,90,25,2
Ouray,1,91,4,2
Ouray,1,92,25,2
Ouray,1,93,25,2
Ouray,1,94,25,2
Ouray,1,95,25,2
Ouray,1,96,25,2
Ouray,1,97,25,2
Ouray,1,98,25,2
Ouray,1,99,7,2
Ouray,1,100,32,2
