County,Tabulator ID,Batch,# of Ballot Cards,Location
Pitkin,101,1,25,Box 01
Pitkin,101,2,25,Box 01
Pitkin,101,3,25,Box 01
Pitkin,101,4,25,Box 01
Pitkin,101,5,25,Box 01
Pitkin,101,6,25,Box 01
Pitkin,101,7,25,Box 01
Pitkin,101,8,25,Box 01
Pitkin,101,9,25,Box 01
Pitkin,101,10,25,Box 01
Pitkin,101,11,25,Box 01
Pitkin,101,12,19,Box 01
Pitkin,101,13,25,Box 01
Pitkin,101,14,25,Box 01
Pitkin,101,15,1,Box 03
Pitkin,101,16,25,Box 03
Pitkin,101,17,25,Box 03
Pitkin,101,18,25,Box 03
Pitkin,101,19,25,Box 03
Pitkin,101,20,25,Box 03
Pitkin,101,21,25,Box 03
Pitkin,101,22,25,Box 03
Pitkin,101,23,25,Box 03
Pitkin,101,24,25,Box 03
Pitkin,101,25,25,Box 03
Pitkin,101,26,25,Box 03
Pitkin,101,27,25,Box 03
Pitkin,101,28,25,Box 03
Pitkin,101,29,25,Box 03
Pitkin,101,30,25,Box 03
Pitkin,101,31,23,Box 03
Pitkin,101,32,25,Box 03
Pitkin,101,33,24,Box 03
Pitkin,101,34,25,Box 03
Pitkin,101,35,25,Box 03
Pitkin,101,36,22,Box 03
Pitkin,101,37,25,Box 03
Pitkin,101,38,25,Box 03
Pitkin,101,39,25,Box 03
Pitkin,101,40,25,Box 03
Pitkin,101,41,25,Box 03
Pitkin,101,42,25,Box 03
Pitkin,101,43,25,Box 05
Pitkin,101,44,25,Box 05
Pitkin,101,45,24,Box 05
Pitkin,101,46,25,Box 05
Pitkin,101,47,25,Box 05
Pitkin,101,48,25,Box 05
Pitkin,101,49,25,Box 05
Pitkin,101,50,25,Box 05
Pitkin,101,51,9,Box 05
Pitkin,101,52,25,Box 05
Pitkin,101,53,25,Box 05
Pitkin,101,54,25,Box 05
Pitkin,101,55,25,Box 05
Pitkin,101,56,25,Box 05
Pitkin,101,57,25,Box 05
Pitkin,101,58,25,Box 05
Pitkin,101,59,25,Box 05
Pitkin,101,60,25,Box 05
Pitkin,101,61,25,Box 05
Pitkin,101,62,25,Box 05
Pitkin,101,63,25,Box 05
Pitkin,101,64,25,Box 05
Pitkin,101,65,25,Box 05
Pitkin,101,66,25,Box 05
Pitkin,101,67,12,Box 07
Pitkin,101,68,25,Box 07
Pitkin,101,69,25,Box 07
Pitkin,101,70,25,Box 07
Pitkin,101,71,25,Box 07
Pitkin,101,72,25,Box 07
Pitkin,101,73,25,Box 07
Pitkin,101,74,25,Box 07
Pitkin,101,75,25,Box 07
Pitkin,101,76,25,Box 07
Pitkin,101,77,25,Box 07
Pitkin,101,78,25,Box 07
Pitkin,101,79,25,Box 07
Pitkin,101,80,25,Box 07
Pitkin,101,81,25,Box 07
Pitkin,101,82,25,Box 07
Pitkin,101,83,25,Box 07
Pitkin,101,84,25,Box 07
Pitkin,101,85,25,Box 07
Pitkin,101,86,25,Box 07
Pitkin,101,87,25,Box 07
Pitkin,101,88,9,Box 07
Pitkin,101,89,11,Box 07
Pitkin,101,90,25,Box 07
