Saguache,Tabulator ID,Batch,# of Ballot Cards,Location
Saguache,101,1,25,Box 1
Saguache,101,2,25,Box 1
Saguache,101,3,25,Box 1
Saguache,101,4,25,Box 1
Saguache,101,5,25,Box 1
Saguache,101,6,25,Box 1
Saguache,101,7,25,Box 1
Saguache,101,8,25,Box 1
Saguache,101,9,25,Box 1
Saguache,101,10,25,Box 1
Saguache,101,11,25,Box 1
Saguache,101,12,25,Box 1
Saguache,101,13,25,Box 1
Saguache,101,14,25,Box 1
Saguache,101,15,25,Box 1
Saguache,101,16,25,Box 1
Saguache,101,17,25,Box 1
Saguache,101,18,25,Box 1
Saguache,101,19,25,Box 1
Saguache,101,20,25,Box 1
Saguache,101,21,25,Box 1
Saguache,101,22,25,Box 1
Saguache,101,23,25,Box 1
Saguache,101,24,25,Box 1
Saguache,101,25,25,Box 1
Saguache,101,26,25,Box 1
Saguache,101,27,25,Box 1
Saguache,101,28,25,Box 1
Saguache,101,29,25,Box 1
Saguache,101,30,25,Box 1
Saguache,101,31,25,Box 1
Saguache,101,32,25,Box 2
Saguache,101,33,25,Box 2
Saguache,101,34,25,Box 2
Saguache,101,35,25,Box 2
Saguache,101,36,25,Box 2
Saguache,101,37,25,Box 2
Saguache,101,38,25,Box 2
Saguache,101,39,25,Box 2
Saguache,101,40,25,Box 2
Saguache,101,41,25,Box 2
Saguache,101,42,25,Box 2
Saguache,101,43,25,Box 2
Saguache,101,44,25,Box 2
Saguache,101,45,25,Box 2
Saguache,101,46,25,Box 2
Saguache,101,47,25,Box 2
Saguache,101,48,25,Box 2
Saguache,101,49,25,Box 2
Saguache,101,50,25,Box 2
Saguache,101,51,25,Box 2
Saguache,101,52,25,Box 2
Saguache,101,54,25,Box 2
Saguache,101,55,25,Box 2
Saguache,101,56,25,Box 2
Saguache,101,57,25,Box 2
Saguache,101,58,25,Box 2
Saguache,101,59,25,Box 2
Saguache,101,60,25,Box 2
Saguache,101,61,25,Box 2
Saguache,101,62,25,Box 2
Saguache,101,63,25,Box 2
Saguache,101,64,25,Box 3
Saguache,101,65,25,Box 3
Saguache,101,66,25,Box 3
Saguache,101,67,25,Box 3
Saguache,101,68,25,Box 3
Saguache,101,69,17,Box 3
