County,Tabulator ID,Batch,# of Ballot Cards,Location
Weld,5,1,100,9
Weld,5,2,100,9
Weld,5,3,100,9
Weld,5,4,100,9
Weld,5,5,100,9
Weld,5,6,100,9
Weld,5,7,100,14
Weld,5,8,100,14
Weld,5,9,100,14
Weld,5,10,100,14
Weld,5,11,100,14
Weld,5,12,99,14
Weld,5,13,100,20
Weld,5,14,100,20
Weld,5,15,100,20
Weld,5,16,100,20
Weld,5,17,100,20
Weld,5,18,100,20
Weld,5,19,100,23
Weld,5,20,100,23
Weld,5,21,100,23
Weld,5,22,100,23
Weld,5,23,100,23
Weld,5,24,100,23
Weld,5,25,100,26
Weld,5,26,100,26
Weld,5,27,100,26
Weld,5,28,100,26
Weld,5,29,100,26
Weld,5,30,100,26
Weld,5,31,100,30
Weld,5,32,100,30
Weld,5,33,100,30
Weld,5,34,101,30
Weld,5,35,100,30
Weld,5,36,100,30
Weld,5,37,100,39
Weld,5,38,100,39
Weld,5,39,100,39
Weld,5,40,100,39
Weld,5,41,100,39
Weld,5,42,100,39
Weld,5,43,100,47
Weld,5,44,100,47
Weld,5,45,100,47
Weld,5,46,100,47
Weld,5,47,100,47
Weld,5,48,100,47
Weld,5,49,100,50
Weld,5,50,100,50
Weld,5,51,100,50
Weld,5,52,100,50
Weld,5,53,100,50
Weld,5,54,100,50
Weld,5,55,100,54
Weld,5,56,100,54
Weld,5,57,100,54
Weld,5,58,100,54
Weld,5,59,99,54
Weld,5,60,100,54
Weld,5,61,100,59
Weld,5,62,100,59
Weld,5,63,91,59
Weld,5,64,99,59
Weld,5,65,100,59
Weld,5,66,100,59
Weld,5,67,100,62
Weld,5,68,100,62
Weld,5,69,100,62
Weld,5,70,99,62
Weld,5,71,100,62
Weld,5,72,100,62
Weld,5,73,100,67
Weld,5,74,100,67
Weld,5,75,100,67
Weld,5,76,100,67
Weld,5,77,100,67
Weld,5,78,100,67
Weld,5,79,100,66
Weld,5,80,100,66
Weld,5,81,100,66
Weld,5,82,100,66
Weld,5,83,100,66
Weld,5,84,100,66
Weld,5,85,100,70
Weld,5,86,100,70
Weld,5,87,100,70
Weld,5,88,100,70
Weld,5,89,100,70
Weld,5,90,100,70
Weld,5,91,100,75
Weld,5,92,100,75
Weld,5,93,100,75
Weld,5,94,100,75
Weld,5,95,100,75
Weld,5,96,100,75
Weld,5,97,100,78
Weld,5,98,100,78
