county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-15-45,BS-28,"""Nichelle Ortiz"",""Vicki Reinhard"",""Amber Drevon""","""Nichelle Ortiz"",""Vicki Reinhard"",""Amber Drevon""",YES,uploaded,"",2019-11-15 14:44:01.363,1476333
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-46-44,BS-28,"""Stephanie Mason""","""Stephanie Mason""",YES,uploaded,"",2019-11-20 10:08:57.617,1499700
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-17-16,BS-28,"""Barbara Yamrick""","""Barbara Yamrick""",YES,uploaded,"",2019-11-15 14:46:35.344,1476644
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-43-60,BS-28,"""Amber Drevon""","""Amber Drevon""",YES,uploaded,"",2019-11-20 10:07:37.183,1499085
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-18-83,BS-28,"","",YES,uploaded,"",2019-11-15 14:48:03.606,1484165
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-24-56,BS-28,"""Barbara Yamrick"",""Vicki Reinhard"",""Stephanie Mason""","""Barbara Yamrick"",""Vicki Reinhard"",""Stephanie Mason""",YES,uploaded,"",2019-11-19 10:21:54.83,1494703
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-22-56,BS-28,"","",YES,uploaded,"",2019-11-15 14:49:41.634,1494225
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-26-25,BS-28,"""Nichelle Ortiz"",""Vicki Reinhard"",""Stephanie Mason""","""Nichelle Ortiz"",""Vicki Reinhard"",""Stephanie Mason""",YES,uploaded,"",2019-11-15 14:51:02.189,1495146
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-38-71,BS-28,"""Nichelle Ortiz"",""Vicki Reinhard"",""Amber Drevon""","""Nichelle Ortiz"",""Vicki Reinhard"",""Amber Drevon""",YES,uploaded,"",2019-11-15 14:53:26.355,1498243
Adams,Adams-Arapahoe School District 28J Board of Directors - At Large,106-48-38,BS-28,"","",YES,uploaded,"",2019-11-15 14:57:25.775,1499919
Adams,Adams County School District 14 Board Of Education,104-206-43,BS-36,"""Renee N. Lovato"",""Regina Hurtado"",""Ramona Lewis""","""Renee N. Lovato"",""Regina Hurtado"",""Ramona Lewis""",YES,uploaded,"",2019-11-15 16:15:22.748,1474531
Adams,Adams County School District 14 Board Of Education,103-123-78,BS-38,"""Renee N. Lovato"",""Regina Hurtado"",""Ramona Lewis""","""Renee N. Lovato"",""Regina Hurtado"",""Ramona Lewis""",YES,uploaded,"",2019-11-15 15:17:22.404,1421300
