County,Tabulator ID,Batch,# of Ballot Cards,Location
Bent,1,1,25,Tub 1
Bent,1,2,25,Tub 1
Bent,1,3,25,Tub 1
Bent,1,4,25,Tub 1
Bent,1,5,25,Tub 1
Bent,1,6,25,Tub 1
Bent,1,7,25,Tub 1
Bent,1,8,25,Tub 1
Bent,1,9,25,Tub 1
Bent,1,10,25,Tub 1
Bent,1,11,25,Tub 1
Bent,1,12,25,Tub 1
Bent,1,13,25,Tub 1
Bent,1,14,25,Tub 1
Bent,1,15,25,Tub 1
Bent,1,16,25,Tub 1
Bent,1,17,25,Tub 1
Bent,1,18,25,Tub 1
Bent,1,19,25,Tub 1
Bent,1,20,25,Tub 1
Bent,1,21,25,Tub 1
Bent,1,22,25,Tub 1
Bent,1,23,25,Tub 1
Bent,1,24,25,Tub 1
Bent,1,25,25,Tub 1
Bent,1,26,25,Tub 1
Bent,1,27,25,Tub 1
Bent,1,28,25,Tub 1
Bent,1,29,25,Tub 1
Bent,1,30,25,Tub 1
Bent,1,31,25,Tub 1
Bent,1,32,25,Tub 1
Bent,1,33,25,Tub 1
Bent,1,34,25,Tub 1
Bent,1,35,25,Tub 1
Bent,1,36,25,Tub 1
Bent,1,37,25,Tub 1
Bent,1,38,25,Tub 1
Bent,1,39,25,Tub 1
Bent,1,40,25,Tub 1
Bent,1,41,25,Tub 1
Bent,1,42,25,Tub 1
Bent,1,43,25,Tub 1
Bent,1,44,25,Tub 1
Bent,1,45,25,Tub 1
Bent,1,46,25,Tub 1
Bent,1,47,25,Tub 1
Bent,1,48,25,Tub 1
Bent,1,49,25,Tub 1
Bent,1,50,25,Tub 1
Bent,1,51,25,Tub 1
Bent,1,52,25,Tub 1
Bent,1,53,25,Tub 1
Bent,1,54,25,Tub 1
Bent,1,55,25,Tub 1
Bent,1,56,25,Tub 1
Bent,1,57,25,Tub 1
Bent,1,58,25,Tub 1
Bent,1,59,25,Tub 1
Bent,1,60,25,Tub 1
Bent,1,61,25,Tub 1
Bent,1,62,25,Tub 1
Bent,1,63,25,Tub 1
Bent,1,64,25,Tub 1
Bent,1,65,25,Tub 1
Bent,1,66,25,Tub 1
Bent,1,67,25,Tub 1
Bent,1,68,25,Tub 1
Bent,1,69,25,Tub 1
Bent,1,70,25,Tub 1
Bent,1,71,25,Tub 1
Bent,1,72,25,Tub 1
Bent,1,73,25,Tub 1
Bent,1,74,25,Tub 1
Bent,1,75,25,Tub 1
Bent,1,76,25,Tub 1
Bent,1,77,25,Tub 1
Bent,1,78,25,Tub 1
Bent,1,79,25,Tub 1
Bent,1,80,25,Tub 1
Bent,1,81,25,Tub 1
Bent,1,82,25,Tub 1
Bent,1,83,25,Tub 1
Bent,1,84,25,Tub 1
Bent,1,85,25,Tub 1
Bent,1,86,25,Tub 1
Bent,1,87,25,Tub 1
Bent,1,88,25,Tub 1
Bent,1,89,25,Tub 1
Bent,1,90,25,Tub 1
Bent,1,91,25,Tub 1
Bent,1,92,20,Tub 1
