County,Tabulator ID,Batch,# of Ballot Cards,Location
Conejos,2,1,25,Box 1
Conejos,2,2,25,Box 1
Conejos,2,3,25,Box 1
Conejos,2,4,25,Box 1
Conejos,2,5,25,Box 1
Conejos,2,6,25,Box 1
Conejos,2,7,25,Box 1
Conejos,2,8,25,Box 1
Conejos,2,9,15,Box 1
Conejos,2,10,15,Box 1
Conejos,2,11,15,Box 1
Conejos,2,12,15,Box 1
Conejos,2,13,15,Box 1
Conejos,2,14,15,Box 1
Conejos,2,15,15,Box 1
Conejos,2,16,15,Box 1
Conejos,2,17,15,Box 1
Conejos,2,18,15,Box 1
Conejos,2,19,15,Box 1
Conejos,2,20,15,Box 1
Conejos,2,21,15,Box 1
Conejos,2,22,15,Box 1
Conejos,2,23,15,Box 1
Conejos,2,24,15,Box 1
Conejos,2,25,15,Box 1
Conejos,2,26,15,Box 1
Conejos,2,27,15,Box 1
Conejos,2,28,15,Box 1
Conejos,2,29,15,Box 1
Conejos,2,30,15,Box 1
Conejos,2,31,15,Box 1
Conejos,2,32,15,Box 1
Conejos,2,33,15,Box 1
Conejos,2,34,15,Box 1
Conejos,2,35,15,Box 1
Conejos,2,36,15,Box 1
Conejos,2,37,15,Box 1
Conejos,2,38,15,Box 1
Conejos,2,39,15,Box 1
Conejos,2,40,15,Box 1
Conejos,2,41,15,Box 1
Conejos,2,42,15,Box 1
Conejos,2,43,15,Box 1
Conejos,2,44,15,Box 1
Conejos,2,45,15,Box 1
Conejos,2,46,15,Box 1
Conejos,2,47,15,Box 1
Conejos,2,48,15,Box 1
Conejos,2,49,15,Box 1
Conejos,2,50,15,Box 1
Conejos,2,51,15,Box 1
Conejos,2,52,15,Box 1
Conejos,2,53,15,Box 1
Conejos,2,54,15,Box 1
Conejos,2,55,15,Box 1
Conejos,2,56,15,Box 1
Conejos,2,57,15,Box 1
Conejos,2,58,15,Box 1
Conejos,2,59,15,Box 1
Conejos,2,60,15,Box 1
Conejos,2,61,15,Box 1
Conejos,2,62,15,Box 1
Conejos,2,63,15,Box 1
Conejos,2,64,15,Box 1
Conejos,2,65,15,Box 1
Conejos,2,66,15,Box 1
Conejos,2,67,15,Box 1
Conejos,2,68,15,Box 1
Conejos,2,69,15,Box 1
Conejos,2,70,15,Box 1
Conejos,2,71,15,Box 1
Conejos,2,72,15,Box 1
Conejos,2,73,15,Box 1
Conejos,2,74,15,Box 1
Conejos,2,75,15,Box 1
Conejos,2,76,15,Box 1
Conejos,2,77,15,Box 1
Conejos,2,78,15,Box 1
Conejos,2,79,15,Box 1
Conejos,2,80,15,Box 1
Conejos,2,81,15,Box 1
Conejos,2,82,15,Box 2
Conejos,2,83,15,Box 2
Conejos,2,84,15,Box 2
Conejos,2,85,15,Box 2
Conejos,2,86,15,Box 2
Conejos,2,87,15,Box 2
Conejos,2,88,15,Box 2
Conejos,2,89,15,Box 2
Conejos,2,90,15,Box 2
Conejos,2,91,15,Box 2
Conejos,2,92,15,Box 2
Conejos,2,93,15,Box 2
Conejos,2,94,15,Box 2
Conejos,2,95,15,Box 2
Conejos,2,96,15,Box 2
Conejos,2,97,15,Box 2
Conejos,2,98,15,Box 2
Conejos,2,99,15,Box 2
Conejos,2,100,15,Box 2
Conejos,2,101,15,Box 2
Conejos,2,102,15,Box 2
Conejos,2,103,15,Box 2
Conejos,2,104,15,Box 2
Conejos,2,105,15,Box 2
Conejos,2,106,15,Box 2
Conejos,2,107,15,Box 2
Conejos,2,108,15,Box 2
Conejos,2,109,15,Box 2
Conejos,2,110,15,Box 2
Conejos,2,111,15,Box 2
Conejos,2,112,15,Box 2
Conejos,2,113,15,Box 2
Conejos,2,114,15,Box 2
Conejos,2,115,15,Box 2
Conejos,2,116,15,Box 2
Conejos,2,117,15,Box 2
Conejos,2,118,15,Box 2
Conejos,2,119,15,Box 2
Conejos,2,120,15,Box 2
Conejos,2,121,15,Box 2
Conejos,2,122,15,Box 2
Conejos,2,123,15,Box 2
Conejos,2,124,15,Box 2
Conejos,2,125,15,Box 2
Conejos,2,126,15,Box 2
Conejos,2,127,15,Box 2
Conejos,2,128,15,Box 2
Conejos,2,129,15,Box 2
Conejos,2,130,15,Box 2
Conejos,2,131,15,Box 2
Conejos,2,132,15,Box 2
Conejos,2,133,15,Box 2
Conejos,2,134,15,Box 2
Conejos,2,135,15,Box 2
Conejos,2,136,15,Box 2
Conejos,2,137,15,Box 2
Conejos,2,138,15,Box 2
Conejos,2,139,15,Box 2
Conejos,2,140,15,Box 2
Conejos,2,141,15,Box 2
Conejos,2,142,15,Box 2
Conejos,2,143,15,Box 2
Conejos,2,144,15,Box 2
Conejos,2,145,15,Box 2
Conejos,2,146,15,Box 2
Conejos,2,147,15,Box 2
Conejos,2,148,15,Box 2
Conejos,2,149,15,Box 2
Conejos,2,150,15,Box 2
Conejos,2,151,15,Box 2
Conejos,2,152,15,Box 2
Conejos,2,153,15,Box 2
Conejos,2,154,15,Box 2
Conejos,2,155,15,Box 2
Conejos,2,156,15,Box 2
Conejos,2,157,15,Box 2
Conejos,2,158,15,Box 2
Conejos,2,159,15,Box 2
Conejos,2,160,15,Box 2
Conejos,2,161,15,Box 2
Conejos,2,162,15,Box 2
Conejos,2,163,15,Box 2
Conejos,2,164,15,Box 2
Conejos,2,165,15,Box 2
Conejos,2,166,15,Box 2
Conejos,2,167,15,Box 2
Conejos,2,168,15,Box 2
Conejos,2,169,15,Box 2
Conejos,2,170,15,Box 2
Conejos,2,171,15,Box 3
Conejos,2,172,15,Box 3
Conejos,2,173,15,Box 3
Conejos,2,174,15,Box 3
Conejos,2,175,15,Box 3
Conejos,2,176,15,Box 3
Conejos,2,177,15,Box 3
Conejos,2,178,16,Box 3
Conejos,2,179,15,Box 3
Conejos,2,180,15,Box 3
Conejos,2,181,15,Box 3
Conejos,2,182,15,Box 3
Conejos,2,183,15,Box 3
Conejos,2,184,15,Box 3
Conejos,2,185,15,Box 3
Conejos,2,186,15,Box 3
Conejos,2,187,15,Box 3
Conejos,2,188,15,Box 3
Conejos,2,189,15,Box 3
Conejos,2,190,15,Box 3
Conejos,2,191,15,Box 3
Conejos,2,192,15,Box 3
Conejos,2,193,15,Box 3
Conejos,2,194,15,Box 3
Conejos,2,195,15,Box 3
Conejos,2,196,15,Box 3
Conejos,2,197,15,Box 3
Conejos,2,198,15,Box 3
Conejos,2,199,15,Box 3
Conejos,2,200,15,Box 3
Conejos,2,201,15,Box 3
Conejos,2,202,15,Box 3
Conejos,2,203,15,Box 3
Conejos,2,204,15,Box 3
