County,Device ID,Batch,# of Ballots,Location
Delta,1,1,50,1
Delta,1,2,49,1
Delta,1,3,50,1
Delta,1,4,49,1
Delta,1,5,49,1
Delta,1,6,51,1
Delta,1,7,49,1
Delta,1,8,51,1
Delta,1,9,50,1
Delta,1,10,44,1
Delta,1,11,50,1
Delta,1,12,48,1
Delta,1,13,47,1
Delta,1,14,50,1
Delta,1,15,31,1
Delta,1,16,52,1
Delta,1,17,41,1
Delta,1,18,50,2
Delta,1,19,50,2
Delta,1,20,50,2
Delta,1,21,51,2
Delta,1,22,50,2
Delta,1,23,50,2
Delta,1,24,49,2
Delta,1,25,49,2
Delta,1,26,39,2
Delta,1,27,27,2
Delta,1,28,46,2
Delta,1,29,50,2
Delta,1,30,50,2
Delta,1,31,50,2
Delta,1,32,50,2
Delta,1,33,49,2
Delta,1,34,56,2
Delta,1,35,46,2
Delta,1,36,48,2
Delta,1,37,49,2
Delta,1,38,47,2
Delta,1,39,50,2
Delta,1,40,47,3
Delta,1,41,52,3
Delta,1,42,50,3
Delta,1,43,48,3
Delta,1,44,50,3
Delta,1,45,44,3
Delta,1,46,52,3
Delta,1,47,53,3
Delta,1,48,50,3
Delta,1,49,50,3
Delta,1,50,50,3
Delta,1,51,49,3
Delta,1,52,49,3
Delta,1,53,50,3
Delta,1,54,49,3
Delta,1,55,18,4
Delta,1,56,54,4
Delta,1,57,49,4
Delta,1,58,48,4
Delta,1,59,50,4
Delta,1,60,45,4
Delta,1,61,50,4
Delta,1,62,49,4
Delta,1,63,50,4
Delta,1,64,49,4
Delta,1,65,49,4
Delta,1,66,50,4
Delta,1,67,47,4
Delta,1,68,46,4
Delta,1,69,50,4
Delta,1,70,50,4
Delta,1,71,50,4
Delta,1,72,44,4
Delta,1,73,50,4
Delta,1,74,50,4
Delta,1,75,50,4
Delta,1,76,53,5
Delta,1,77,53,5
Delta,1,78,50,5
Delta,1,79,49,5
Delta,1,80,50,5
Delta,1,81,48,5
Delta,1,82,50,5
Delta,1,83,48,5
Delta,1,84,48,5
Delta,1,85,48,5
Delta,1,86,49,5
Delta,1,87,50,5
Delta,1,88,50,5
Delta,1,89,50,5
Delta,1,90,50,5
Delta,1,91,50,5
Delta,1,92,50,5
Delta,1,93,26,6
Delta,1,94,48,6
Delta,1,95,46,6
Delta,1,96,49,6
Delta,1,97,49,6
Delta,1,98,50,6
Delta,1,99,45,6
Delta,1,100,43,6
Delta,1,101,38,6
Delta,1,102,50,6
Delta,1,103,50,6
Delta,1,104,55,6
Delta,1,105,48,6
Delta,1,106,51,6
Delta,1,107,50,6
Delta,1,108,48,6
Delta,1,109,50,6
Delta,1,110,50,6
Delta,1,111,22,7
Delta,1,112,50,7
Delta,1,113,42,7
Delta,1,114,50,7
Delta,1,115,41,7
Delta,1,116,47,7
Delta,1,117,50,7
Delta,1,118,45,7
Delta,1,119,48,7
Delta,1,120,53,7
Delta,1,121,49,7
Delta,1,122,47,7
Delta,1,123,49,7
Delta,1,124,49,7
Delta,1,125,50,7
Delta,1,126,52,7
Delta,1,127,50,7
Delta,1,128,43,7
Delta,1,129,43,7
Delta,1,130,48,7
Delta,1,131,49,7
Delta,1,132,49,8
Delta,1,133,49,8
Delta,1,134,53,8
Delta,1,135,49,8
Delta,1,136,49,8
Delta,1,137,50,8
Delta,1,138,50,8
Delta,1,139,52,8
Delta,1,140,43,8
Delta,1,141,42,8
Delta,1,142,52,8
Delta,1,143,52,8
Delta,1,144,48,8
Delta,1,145,49,8
Delta,1,146,47,8
Delta,1,147,49,8
Delta,1,148,50,8
Delta,1,149,50,8
Delta,1,150,53,8
Delta,1,151,49,8
Delta,1,152,29,9
Delta,1,153,50,9
Delta,1,154,49,9
Delta,1,155,54,9
Delta,1,156,47,9
Delta,1,157,47,9
Delta,1,158,47,9
Delta,1,159,49,9
Delta,1,160,49,9
Delta,1,161,49,9
Delta,1,162,50,9
Delta,1,163,50,9
Delta,1,164,40,9
Delta,1,165,50,9
Delta,1,166,48,9
Delta,1,167,49,9
Delta,1,168,48,9
Delta,1,169,6,9
Delta,1,170,9,9
Delta,1,171,14,9
Delta,1,172,31,9
Delta,1,173,40,10
Delta,1,174,46,10
Delta,1,175,50,10
Delta,1,176,50,10
Delta,1,177,49,10
Delta,1,178,47,10
Delta,1,179,47,10
Delta,1,180,46,10
Delta,1,181,48,10
Delta,1,182,47,10
Delta,1,183,48,10
Delta,1,184,49,10
Delta,1,185,50,10
Delta,1,186,52,10
Delta,1,187,50,10
Delta,1,188,49,10
Delta,1,189,49,10
Delta,1,190,50,10
Delta,1,191,50,10
Delta,1,192,54,10
Delta,1,193,8,10
Delta,1,194,17,11
Delta,1,195,50,11
Delta,1,196,51,11
Delta,1,197,50,11
Delta,1,198,49,11
Delta,1,199,47,11
Delta,1,200,50,11
Delta,1,201,51,11
Delta,1,202,47,11
Delta,1,203,48,11
Delta,1,204,50,11
Delta,1,205,50,11
Delta,1,206,50,11
Delta,1,207,51,11
Delta,1,208,55,11
Delta,1,209,51,11
Delta,1,210,65,11
Delta,1,211,50,12
Delta,1,212,58,12
Delta,1,213,50,12
Delta,1,214,58,12
Delta,1,215,50,12
Delta,1,216,49,12
Delta,1,217,50,12
Delta,1,218,50,12
Delta,1,219,50,12
Delta,1,220,50,12
Delta,1,221,50,12
Delta,1,222,45,12
Delta,1,223,50,12
Delta,1,224,49,12
Delta,1,225,50,12
Delta,1,226,52,12
Delta,1,227,13,13
Delta,1,228,49,13
Delta,1,229,47,13
Delta,1,230,50,13
Delta,1,231,55,13
Delta,1,232,50,13
Delta,1,233,49,13
Delta,1,234,50,13
Delta,1,235,48,13
Delta,1,236,52,13
Delta,1,237,49,13
Delta,1,238,50,13
Delta,1,239,44,13
Delta,1,240,49,13
Delta,1,241,50,13
Delta,1,242,53,13
Delta,1,243,8,13
Delta,1,244,25,14
Delta,1,245,53,14
Delta,1,246,51,14
Delta,1,247,50,14
Delta,1,248,50,14
Delta,1,249,50,14
Delta,1,250,50,14
Delta,1,251,50,14
Delta,1,252,50,14
Delta,1,253,46,14
Delta,1,254,48,14
Delta,1,255,50,14
Delta,1,256,52,14
Delta,1,257,40,14
Delta,1,258,50,14
Delta,1,259,49,14
Delta,1,260,32,15
Delta,1,261,50,15
Delta,1,262,49,15
Delta,1,263,52,15
Delta,1,264,47,15
Delta,1,265,50,15
Delta,1,266,42,15
Delta,1,267,48,15
Delta,1,268,50,15
Delta,1,269,50,15
Delta,1,270,55,15
Delta,1,271,50,15
Delta,1,272,50,15
Delta,1,273,53,15
Delta,1,274,51,15
Delta,1,275,52,16
Delta,1,276,24,16
Delta,1,277,50,16
Delta,1,278,48,16
Delta,1,279,50,16
Delta,1,280,51,16
Delta,1,281,50,16
Delta,1,282,50,16
Delta,1,283,57,16
Delta,1,284,50,16
Delta,1,285,57,16
Delta,1,286,49,16
Delta,1,287,50,16
Delta,1,288,49,16
Delta,1,289,45,16
Delta,1,290,48,16
Delta,1,291,49,16
Delta,1,292,45,16
Delta,1,293,24,17
Delta,1,294,50,17
Delta,1,295,59,17
Delta,1,296,57,17
Delta,1,297,50,17
Delta,1,298,50,17
Delta,1,299,57,17
Delta,1,300,48,17
Delta,1,301,49,17
Delta,1,302,54,17
Delta,1,303,47,17
Delta,1,304,50,17
Delta,1,305,47,17
Delta,1,306,49,17
Delta,1,307,46,17
Delta,1,308,49,17
Delta,1,309,45,17
Delta,1,310,53,17
Delta,1,311,48,17
Delta,1,312,49,17
Delta,1,313,46,17
Delta,1,314,54,17
Delta,1,315,46,17
Delta,1,316,49,18
Delta,1,317,49,18
Delta,1,318,52,18
Delta,1,319,49,18
