County,Tabulator ID,Batch,# of Ballots,Location
Douglas,1,GEN-0001,36,106
Douglas,1,GEN-0002,23,110
Douglas,1,GEN-0003,30,55
Douglas,1,GEN-0004,100,14
Douglas,1,GEN-0005,100,14
Douglas,1,GEN-0006,100,35
Douglas,1,GEN-0007,100,16
Douglas,1,GEN-0008,100,14
Douglas,1,GEN-0009,100,57
Douglas,1,GEN-0010,100,16
Douglas,1,GEN-0011,100,110
Douglas,1,GEN-0012,100,88
Douglas,1,GEN-0013,100,97
Douglas,1,GEN-0014,100,47
Douglas,1,GEN-0015,100,16
Douglas,1,GEN-0016,100,8
Douglas,1,GEN-0017,100,14
Douglas,1,GEN-0018,100,14
Douglas,1,GEN-0019,100,16
Douglas,1,GEN-0020,100,88
Douglas,1,GEN-0021,100,51
Douglas,1,GEN-0022,100,12
Douglas,1,GEN-0023,100,19
Douglas,1,GEN-0024,100,88
Douglas,1,GEN-0025,100,14
Douglas,1,GEN-0026,100,14
Douglas,1,GEN-0027,100,14
Douglas,1,GEN-0028,100,97
Douglas,1,GEN-0029,100,14
Douglas,1,GEN-0030,100,35
Douglas,1,GEN-0031,100,51
Douglas,1,GEN-0032,100,32
Douglas,1,GEN-0033,100,14
Douglas,1,GEN-0034,100,28
Douglas,1,GEN-0035,100,16
Douglas,1,GEN-0036,100,28
Douglas,1,GEN-0037,100,35
Douglas,1,GEN-0038,77,30
Douglas,1,GEN-0039,100,25
Douglas,1,GEN-0040,100,28
Douglas,1,GEN-0041,100,35
Douglas,1,GEN-0042,100,51
Douglas,1,GEN-0043,100,88
Douglas,1,GEN-0044,100,97
Douglas,1,GEN-0045,100,16
Douglas,1,GEN-0046,100,47
Douglas,1,GEN-0047,100,81
Douglas,1,GEN-0048,100,14
Douglas,1,GEN-0049,100,47
Douglas,1,GEN-0050,100,97
Douglas,1,GEN-0051,100,16
Douglas,1,GEN-0052,100,88
Douglas,1,GEN-0053,100,16
Douglas,1,GEN-0054,100,12
Douglas,1,GEN-0055,100,35
Douglas,1,GEN-0056,100,81
Douglas,1,GEN-0057,100,35
Douglas,1,GEN-0058,100,51
Douglas,1,GEN-0059,100,88
Douglas,1,GEN-0060,100,54
Douglas,1,GEN-0061,100,37
Douglas,1,GEN-0062,100,110
Douglas,1,GEN-0063,100,28
Douglas,1,GEN-0064,100,28
Douglas,1,GEN-0065,100,35
Douglas,1,GEN-0066,100,40
Douglas,1,GEN-0067,100,54
Douglas,1,GEN-0068,100,47
Douglas,1,GEN-0069,100,8
Douglas,1,GEN-0070,100,16
Douglas,1,GEN-0071,100,47
Douglas,1,GEN-0072,100,32
Douglas,1,GEN-0073,100,28
Douglas,1,GEN-0074,100,40
Douglas,1,GEN-0075,100,16
Douglas,1,GEN-0076,100,44
Douglas,1,GEN-0077,100,35
Douglas,1,GEN-0078,100,16
Douglas,1,GEN-0079,100,16
Douglas,1,GEN-0080,100,97
Douglas,1,GEN-0081,100,54
Douglas,1,GEN-0082,100,12
Douglas,1,GEN-0083,100,40
Douglas,1,GEN-0084,100,54
Douglas,1,GEN-0085,100,10
Douglas,1,GEN-0086,100,10
Douglas,1,GEN-0087,100,53
Douglas,1,GEN-0088,100,16
Douglas,1,GEN-0089,100,8
Douglas,1,GEN-0090,100,35
Douglas,1,GEN-0091,100,51
Douglas,1,GEN-0092,100,47
Douglas,1,GEN-0093,100,27
Douglas,1,GEN-0094,100,51
Douglas,1,GEN-0095,100,35
Douglas,1,GEN-0096,100,47
Douglas,1,GEN-0097,100,20
Douglas,1,GEN-0098,100,25
Douglas,1,GEN-0099,100,25
Douglas,1,GEN-0100,100,35
Douglas,1,GEN-0101,100,54
Douglas,1,GEN-0102,100,47
Douglas,1,GEN-0103,100,35
Douglas,1,GEN-0104,100,54
Douglas,1,GEN-0105,100,47
Douglas,1,GEN-0106,100,45
Douglas,1,GEN-0107,100,40
Douglas,1,GEN-0108,21,97
Douglas,1,GEN-0109,100,110
Douglas,1,GEN-0110,26,264
Douglas,1,GEN-0112,20,158
Douglas,1,GEN-0113,16,25
Douglas,1,GEN-0114,19,201
Douglas,1,GEN-0115,18,225
Douglas,1,GEN-0116,22,225
Douglas,1,GEN-0117,43,308
Douglas,1,GEN-0118,17,267
Douglas,1,GEN-0119,21,268
Douglas,1,GEN-0120,16,267
Douglas,1,GEN-0121,27,268
Douglas,1,GEN-0122,24,296
Douglas,1,GEN-0124,100,53
Douglas,1,GEN-0125,100,32
Douglas,1,GEN-0126,100,37
Douglas,1,GEN-0127,100,35
Douglas,1,GEN-0128,67,32
Douglas,1,GEN-0129,44,266
Douglas,1,GEN-0130,36,308
Douglas,1,GEN-0131,100,81
Douglas,1,GEN-0132,100,110
Douglas,1,GEN-0133,100,16
Douglas,1,GEN-0134,100,12
Douglas,1,GEN-0135,100,45
Douglas,1,GEN-0136,99,47
Douglas,1,GEN-0137,100,32
Douglas,1,GEN-0138,100,8
Douglas,1,GEN-0139,100,44
Douglas,1,GEN-0140,100,24
Douglas,1,GEN-0141,100,81
Douglas,1,GEN-0142,100,10
Douglas,1,GEN-0143,100,25
Douglas,1,GEN-0144,100,10
Douglas,1,GEN-0145,100,12
Douglas,1,GEN-0146,100,31
Douglas,1,GEN-0147,100,51
Douglas,1,GEN-0148,100,37
Douglas,1,GEN-0149,100,45
Douglas,1,GEN-0150,100,10
Douglas,1,GEN-0151,100,49
Douglas,1,GEN-0152,100,10
Douglas,1,GEN-0153,100,12
Douglas,1,GEN-0154,100,44
Douglas,1,GEN-0155,100,12
Douglas,1,GEN-0156,100,31
Douglas,1,GEN-0157,100,32
Douglas,1,GEN-0158,100,37
Douglas,1,GEN-0159,100,51
Douglas,1,GEN-0160,100,12
Douglas,1,GEN-0161,100,45
Douglas,1,GEN-0162,100,31
Douglas,1,GEN-0163,100,25
Douglas,1,GEN-0164,54,40
Douglas,1,GEN-0165,100,49
Douglas,1,GEN-0166,100,49
Douglas,1,GEN-0167,100,32
Douglas,1,GEN-0168,100,37
Douglas,1,GEN-0169,100,42
Douglas,1,GEN-0170,100,47
Douglas,1,GEN-0171,100,42
Douglas,1,GEN-0172,100,55
Douglas,1,GEN-0173,100,53
Douglas,1,GEN-0174,100,12
Douglas,1,GEN-0175,100,42
Douglas,1,GEN-0176,100,30
Douglas,1,GEN-0177,100,45
Douglas,1,GEN-0178,100,98
Douglas,1,GEN-0179,48,55
Douglas,1,GEN-0180,100,20
Douglas,1,GEN-0181,100,42
Douglas,1,GEN-0182,100,20
Douglas,1,GEN-0183,100,47
Douglas,1,GEN-0184,100,20
Douglas,1,GEN-0185,100,28
Douglas,1,GEN-0186,100,44
Douglas,1,GEN-0187,100,42
Douglas,1,GEN-0188,100,20
Douglas,1,GEN-0189,100,44
Douglas,1,GEN-0190,100,37
Douglas,1,GEN-0191,100,45
Douglas,1,GEN-0192,100,45
Douglas,1,GEN-0193,100,45
Douglas,1,GEN-0194,100,27
Douglas,1,GEN-0195,100,24
Douglas,1,GEN-0196,100,44
Douglas,1,GEN-0197,100,45
Douglas,1,GEN-0198,100,44
Douglas,1,GEN-0199,100,47
Douglas,1,GEN-0200,100,44
Douglas,1,GEN-0201,100,45
Douglas,1,GEN-0202,46,35
Douglas,1,GEN-0203,100,49
Douglas,1,GEN-0204,100,49
Douglas,1,GEN-0205,100,45
Douglas,1,GEN-0206,100,40
Douglas,1,GEN-0207,100,49
Douglas,1,GEN-0208,100,25
Douglas,1,GEN-0209,100,25
Douglas,1,GEN-0210,100,28
Douglas,1,GEN-0211,100,55
Douglas,1,GEN-0212,100,49
Douglas,1,GEN-0213,100,55
Douglas,1,GEN-0214,100,25
Douglas,1,GEN-0215,100,12
Douglas,1,GEN-0216,100,12
Douglas,1,GEN-0217,100,40
Douglas,1,GEN-0218,100,44
Douglas,1,GEN-0219,100,28
Douglas,1,GEN-0220,100,25
Douglas,1,GEN-0221,100,20
Douglas,1,GEN-0222,100,12
Douglas,1,GEN-0223,47,25
Douglas,1,GEN-0224,100,20
Douglas,1,GEN-0225,49,12
Douglas,1,GEN-0226,100,25
Douglas,1,GEN-0227,100,49
Douglas,1,GEN-0228,100,31
Douglas,1,GEN-0229,100,61
Douglas,1,GEN-0230,100,20
Douglas,1,GEN-0231,100,20
Douglas,1,GEN-0232,100,20
Douglas,1,GEN-0233,100,27
Douglas,1,GEN-0234,100,20
Douglas,1,GEN-0235,100,32
Douglas,1,GEN-0236,100,12
Douglas,1,GEN-0237,100,28
Douglas,1,GEN-0238,100,14
Douglas,1,GEN-0239,100,37
Douglas,1,GEN-0240,100,14
