County,Tabulator ID,Batch,# of Ballot Cards,Location
Huerfano,1,1,2,Box 1
Huerfano,1,2,2,Box 1
Huerfano,1,3,1,Box 1
Huerfano,1,4,11,Box 1
Huerfano,1,5,1,Box 1
Huerfano,1,6,3,Box 1
Huerfano,1,7,2,Box 1
Huerfano,1,8,23,Box1
Huerfano,1,9,25,Box 1
Huerfano,1,10,25,Box 1
Huerfano,1,11,25,Box 1
Huerfano,1,12,25,Box 1
Huerfano,1,13,25,Box 1
Huerfano,1,14,25,Box 1
Huerfano,1,15,25,Box 1
Huerfano,1,16,23,Box1
Huerfano,1,17,25,Box 1
Huerfano,1,18,25,Box 2
Huerfano,1,19,25,Box 2
Huerfano,1,20,12,Box 2
Huerfano,1,21,24,Box 2
Huerfano,1,22,15,Box 2
Huerfano,1,23,25,Box 2
Huerfano,1,24,24,Box 2
Huerfano,1,25,3,Box 2
Huerfano,1,26,24,Box 2
Huerfano,1,27,25,Box 2
Huerfano,1,28,6,Box 2
Huerfano,1,30,6,Box 2
Huerfano,1,31,7,Box 2
Huerfano,1,32,26,Box 3
Huerfano,1,33,25,Box 3
Huerfano,1,34,25,Box 3
Huerfano,1,35,25,Box 3
Huerfano,1,36,25,Box 3
Huerfano,1,37,25,Box 3
Huerfano,1,38,25,Box 3
Huerfano,1,39,25,Box 3
Huerfano,1,40,25,Box 4
Huerfano,1,41,25,Box 4
Huerfano,1,42,25,Box 4
Huerfano,1,43,25,Box 4
Huerfano,1,44,25,Box 4
Huerfano,1,45,25,Box 4
Huerfano,1,46,25,Box 4
Huerfano,1,47,25,Box 4
Huerfano,1,48,25,Box 5
Huerfano,1,49,25,Box 5
Huerfano,1,50,7,Box 5
Huerfano,1,51,25,Box 5
Huerfano,1,52,20,Box 5
Huerfano,1,53,16,Box 5
Huerfano,1,54,25,Box 5
Huerfano,1,55,25,Box 5 
Huerfano,1,56,25,Box 5
Huerfano,1,57,25,Box 5
Huerfano,1,58,25,Box 5
Huerfano,1,59,9,Box 5
Huerfano,1,60,25,Box 6
Huerfano,1,61,25,Box 6
Huerfano,1,62,23,Box 6
Huerfano,1,63,20,Box 6
Huerfano,1,64,25,Box 7
Huerfano,1,65,3,Box 7
Huerfano,1,66,24,Box 7
Huerfano,1,67,25,Box 7
Huerfano,1,68,23,Box 7
Huerfano,1,69,9,Box 7
Huerfano,1,70,25,Box 7
Huerfano,1,71,8,Box 7
Huerfano,1,72,25,Box 7
Huerfano,1,73,25,Box 7
Huerfano,1,74,25,Box 7
Huerfano,1,75,22,Box 7
Huerfano,1,76,16,Box 8
Huerfano,1,77,4,Box 8
Huerfano,1,78,25,Box 8
Huerfano,1,79,25,Box 8
Huerfano,1,80,25,Box 8
Huerfano,1,81,25,Box 8
Huerfano,1,82,25,Box 8
Huerfano,1,83,25,Box 8
Huerfano,1,84,11,Box 8
Huerfano,1,85,24,Box 9
Huerfano,1,86,25,Box 9
Huerfano,1,87,25,Box 9
Huerfano,1,88,25,Box 9
Huerfano,1,89,22,Box 9
Huerfano,1,90,25,Box 9
Huerfano,1,91,15,Box 9
