County,Tabulator ID,Batch,# of Ballot Cards,Location
JACKSON,2,1,25,BIN 1
JACKSON,2,2,25,BIN 1
JACKSON,2,3,25,BIN 1
JACKSON,2,4,25,BIN 1
JACKSON,2,5,25,BIN 1
JACKSON,2,6,25,BIN 1
JACKSON,2,7,25,BIN 1
JACKSON,2,8,25,BIN 1
JACKSON,2,9,25,BIN 1
JACKSON,2,10,25,BIN 1
JACKSON,2,11,25,BIN 1
JACKSON,2,12,25,BIN 1
JACKSON,2,13,25,BIN 1
JACKSON,2,14,25,BIN 1
JACKSON,2,15,25,BIN 1
JACKSON,2,16,25,BIN 1
JACKSON,2,17,25,BIN 1
JACKSON,2,18,25,BIN 1
JACKSON,2,19,25,BIN 1
JACKSON,2,20,25,BIN 1
JACKSON,2,21,25,BIN 1
JACKSON,2,22,25,BIN 1
JACKSON,2,23,25,BIN 1
JACKSON,2,24,25,BIN 1
JACKSON,2,25,25,BIN 1
JACKSON,2,26,25,BIN 1
JACKSON,2,27,25,BIN 1
JACKSON,2,28,25,BIN 1
JACKSON,2,29,25,BIN 1
JACKSON,2,30,25,BIN 1
JACKSON,2,31,25,BIN 1
JACKSON,2,32,15,BIN 1
JACKSON,2,33,25,BIN 1
JACKSON,2,34,25,BIN 1
JACKSON,2,35,25,BIN 1
JACKSON,2,36,21,BIN 1
JACKSON,2,37,3,BIN 1
