County,Tabulator ID,Batch,# of Ballot Cards,Location
Lincoln,2,1,25,Lock Box #4
Lincoln,2,2,25,Lock Box #4
Lincoln,2,3,25,Lock Box #4
Lincoln,2,4,25,Lock Box #4
Lincoln,2,5,25,Lock Box #4
Lincoln,2,6,25,Lock Box #4
Lincoln,2,7,25,Lock Box #4
Lincoln,2,8,25,Lock Box #4
Lincoln,2,9,25,Lock Box #4
Lincoln,2,10,25,Lock Box #4
Lincoln,2,11,25,Lock Box #4
Lincoln,2,12,25,Lock Box #4
Lincoln,2,13,25,Lock Box #4
Lincoln,2,14,25,Lock Box #4
Lincoln,2,15,25,Lock Box #4
Lincoln,2,16,25,Lock Box #4
Lincoln,2,17,25,Lock Box #4
Lincoln,2,18,25,Lock Box #4
Lincoln,2,19,25,Lock Box #4
Lincoln,2,20,25,Lock Box #4
Lincoln,2,21,25,Lock Box #4
Lincoln,2,22,25,Lock Box #4
Lincoln,2,23,25,Lock Box #4
Lincoln,2,24,25,Lock Box #4
Lincoln,2,25,25,Lock Box #4
Lincoln,2,26,25,Lock Box #4
Lincoln,2,27,25,Lock Box #4
Lincoln,2,28,25,Lock Box #4
Lincoln,2,29,25,Lock Box #4
Lincoln,2,30,25,Lock Box #4
Lincoln,2,31,25,Lock Box #4
Lincoln,2,32,25,Lock Box #4
Lincoln,2,33,25,Lock Box #4
Lincoln,2,34,25,Lock Box #4
Lincoln,2,35,25,Lock Box #4
Lincoln,2,36,25,Lock Box #4
Lincoln,2,37,25,Lock Box #4
Lincoln,2,38,25,Lock Box #4
Lincoln,2,39,25,Lock Box #4
Lincoln,2,40,25,Lock Box #4
Lincoln,2,41,25,Lock Box #2
Lincoln,2,42,25,Lock Box #2
Lincoln,2,43,25,Lock Box #2
Lincoln,2,44,25,Lock Box #2
Lincoln,2,45,25,Lock Box #2
Lincoln,2,46,25,Lock Box #2
Lincoln,2,47,25,Lock Box #2
Lincoln,2,48,25,Lock Box #2
Lincoln,2,49,25,Lock Box #2
Lincoln,2,50,25,Lock Box #2
Lincoln,2,51,25,Lock Box #2
Lincoln,2,52,25,Lock Box #2
Lincoln,2,53,25,Lock Box #2
Lincoln,2,54,25,Lock Box #2
Lincoln,2,55,25,Lock Box #2
Lincoln,2,56,25,Lock Box #2
Lincoln,2,57,25,Lock Box #2
Lincoln,2,58,25,Lock Box #2
Lincoln,2,59,25,Lock Box #2
Lincoln,2,60,25,Lock Box #2
Lincoln,2,61,25,Lock Box #2
Lincoln,2,62,25,Lock Box #2
Lincoln,2,63,25,Lock Box #2
Lincoln,2,64,25,Lock Box #2
Lincoln,2,65,25,Lock Box #2
Lincoln,2,66,25,Lock Box #2
Lincoln,2,67,25,Lock Box #2
Lincoln,2,68,25,Lock Box #2
Lincoln,2,69,25,Lock Box #2
Lincoln,2,70,25,Lock Box #2
Lincoln,2,71,25,Lock Box #2
Lincoln,2,72,25,Lock Box #2
Lincoln,2,73,25,Lock Box #2
Lincoln,2,74,25,Lock Box #2
Lincoln,2,75,25,Lock Box #3
Lincoln,2,76,25,Lock Box #3
Lincoln,2,77,25,Lock Box #3
Lincoln,2,78,25,Lock Box #3
Lincoln,2,79,25,Lock Box #3
Lincoln,2,80,25,Lock Box #3
Lincoln,2,81,25,Lock Box #3
Lincoln,2,82,25,Lock Box #3
Lincoln,2,83,25,Lock Box #3
Lincoln,2,84,25,Lock Box #3
Lincoln,2,85,25,Lock Box #3
Lincoln,2,86,25,Lock Box #3
Lincoln,2,87,25,Lock Box #3
Lincoln,2,88,25,Lock Box #3
Lincoln,2,89,25,Lock Box #3
Lincoln,2,90,25,Lock Box #3
Lincoln,2,91,25,Lock Box #3
Lincoln,2,92,25,Lock Box #3
Lincoln,2,93,25,Lock Box #3
Lincoln,2,94,25,Lock Box #3
Lincoln,2,95,25,Lock Box #3
Lincoln,2,96,25,Lock Box #3
Lincoln,2,97,25,Lock Box #3
Lincoln,2,98,25,Lock Box #3
Lincoln,2,99,25,Lock Box #3
Lincoln,2,100,25,Lock Box #3
Lincoln,2,101,25,Lock Box #3
Lincoln,2,102,25,Lock Box #3
Lincoln,2,103,25,Lock Box #3
Lincoln,2,104,25,Lock Box #3
Lincoln,2,105,25,Lock Box #3
Lincoln,2,106,19,Lock Box #3
Lincoln,2,107,21,Lock Box #3
